"","LocYrWNTC","LocYrWNTCCO2.x","Yield.x","Zn.x","Fe.x","protein.x","CO2.x","watering.x","fert.x","Loc.x","Yr.x","TOS.x","Cv.x","LocYrWNTCCO2.y","Yield.y","Zn.y","Fe.y","protein.y","CO2.y","watering.y","fert.y","Loc.y","Yr.y","TOS.y","Cv.y","RRYield","RRZn","RRFe","RRprotein"
"51","Horsham__Australia 2009 247 Medium TOS_2 Yitpi ","Horsham__Australia 2009 247 Medium TOS_2 Yitpi aCO2",131.025,31.5225,47.375,16.9975,"aCO2","247","Medium","Horsham__Australia","2009","TOS_2","Yitpi","Horsham__Australia 2009 247 Medium TOS_2 Yitpi eCO2",168.365,31.6375,47.4975,16.5025,"eCO2","247","Medium","Horsham__Australia","2009","TOS_2","Yitpi",0.77821993882339,0.996365073093639,0.997420916890363,1.02999545523406
"52","Horsham__Australia 2009 293 Low TOS_1 Drysdale ","Horsham__Australia 2009 293 Low TOS_1 Drysdale aCO2",295.185,30.51,39.9,14.3675,"aCO2","293","Low","Horsham__Australia","2009","TOS_1","Drysdale","Horsham__Australia 2009 293 Low TOS_1 Drysdale eCO2",277.305,33.6,38.9275,14.335,"eCO2","293","Low","Horsham__Australia","2009","TOS_1","Drysdale",1.06447774111538,0.908035714285714,1.02498233896346,1.00226717823509
"53","Horsham__Australia 2009 293 Low TOS_1 Gladius ","Horsham__Australia 2009 293 Low TOS_1 Gladius aCO2",351.0725,28.2725,39.16,15.0925,"aCO2","293","Low","Horsham__Australia","2009","TOS_1","Gladius","Horsham__Australia 2009 293 Low TOS_1 Gladius eCO2",432.1375,30.655,40.8125,14.1975,"eCO2","293","Low","Horsham__Australia","2009","TOS_1","Gladius",0.812409244742703,0.922280215299299,0.959509954058193,1.06303926747667
"54","Horsham__Australia 2009 293 Low TOS_1 H45 ","Horsham__Australia 2009 293 Low TOS_1 H45 aCO2",315.62,29.745,35.985,13.6325,"aCO2","293","Low","Horsham__Australia","2009","TOS_1","H45","Horsham__Australia 2009 293 Low TOS_1 H45 eCO2",451.0225,30.295,35.435,12.1175,"eCO2","293","Low","Horsham__Australia","2009","TOS_1","H45",0.699787704604537,0.981845188975078,1.01552137716947,1.12502578914793
"55","Horsham__Australia 2009 293 Low TOS_1 Hartog ","Horsham__Australia 2009 293 Low TOS_1 Hartog aCO2",252.6375,27.41,40.48,14.51,"aCO2","293","Low","Horsham__Australia","2009","TOS_1","Hartog","Horsham__Australia 2009 293 Low TOS_1 Hartog eCO2",225.365,33.2625,40.06,13.9225,"eCO2","293","Low","Horsham__Australia","2009","TOS_1","Hartog",1.12101479821623,0.824051108605787,1.01048427358962,1.04219788112767
"56","Horsham__Australia 2009 293 Low TOS_1 Janz ","Horsham__Australia 2009 293 Low TOS_1 Janz aCO2",287.6675,30.2925,38.0725,14.9025,"aCO2","293","Low","Horsham__Australia","2009","TOS_1","Janz","Horsham__Australia 2009 293 Low TOS_1 Janz eCO2",401.54,29.2,34.6875,13.9525,"eCO2","293","Low","Horsham__Australia","2009","TOS_1","Janz",0.716410569308164,1.03741438356164,1.09758558558559,1.0680881562444
"57","Horsham__Australia 2009 293 Low TOS_1 Silverstar ","Horsham__Australia 2009 293 Low TOS_1 Silverstar aCO2",366.805,26.6875,39.05,13.45,"aCO2","293","Low","Horsham__Australia","2009","TOS_1","Silverstar","Horsham__Australia 2009 293 Low TOS_1 Silverstar eCO2",367.065,27.0725,36.26,13.0025,"eCO2","293","Low","Horsham__Australia","2009","TOS_1","Silverstar",0.999291678585537,0.985778926955397,1.07694429123001,1.03441645837339
"58","Horsham__Australia 2009 293 Low TOS_1 Yitpi ","Horsham__Australia 2009 293 Low TOS_1 Yitpi aCO2",263.5975,31.0125,41.1325,15.285,"aCO2","293","Low","Horsham__Australia","2009","TOS_1","Yitpi","Horsham__Australia 2009 293 Low TOS_1 Yitpi eCO2",366.5125,29.8475,37.885,14.35,"eCO2","293","Low","Horsham__Australia","2009","TOS_1","Yitpi",0.719204665598036,1.03903174470224,1.08571994192952,1.06515679442509
"59","Horsham__Australia 2009 293 Low TOS_1 Zebu ","Horsham__Australia 2009 293 Low TOS_1 Zebu aCO2",386.83,27.7175,40.1675,13.935,"aCO2","293","Low","Horsham__Australia","2009","TOS_1","Zebu","Horsham__Australia 2009 293 Low TOS_1 Zebu eCO2",484.8175,24.9775,38.6775,13.04,"eCO2","293","Low","Horsham__Australia","2009","TOS_1","Zebu",0.797887865021374,1.10969872885597,1.03852368948355,1.06863496932515
"60","Horsham__Australia 2009 293 Medium TOS_1 Yitpi ","Horsham__Australia 2009 293 Medium TOS_1 Yitpi aCO2",256.6075,34.03,41.36,15.715,"aCO2","293","Medium","Horsham__Australia","2009","TOS_1","Yitpi","Horsham__Australia 2009 293 Medium TOS_1 Yitpi eCO2",305.2625,30.9775,35.7025,14.2525,"eCO2","293","Medium","Horsham__Australia","2009","TOS_1","Yitpi",0.840612587527128,1.09853926236785,1.15846229255654,1.10261357656551
"61","Walpeup__Australia 2008 110 Low TOS_1 Yitpi ","Walpeup__Australia 2008 110 Low TOS_1 Yitpi aCO2",229.135,27.14,27.675,11.52,"aCO2","110","Low","Walpeup__Australia","2008","TOS_1","Yitpi","Walpeup__Australia 2008 110 Low TOS_1 Yitpi eCO2",377.62,21.18,25.7625,10.35,"eCO2","110","Low","Walpeup__Australia","2008","TOS_1","Yitpi",0.606787246438218,1.28139754485364,1.07423580786026,1.11304347826087
"62","Walpeup__Australia 2008 158 Low TOS_2 Yitpi ","Walpeup__Australia 2008 158 Low TOS_2 Yitpi aCO2",179.045,35.155,42.3925,15.9975,"aCO2","158","Low","Walpeup__Australia","2008","TOS_2","Yitpi","Walpeup__Australia 2008 158 Low TOS_2 Yitpi eCO2",278.3,27.195,37.33,14.0375,"eCO2","158","Low","Walpeup__Australia","2008","TOS_2","Yitpi",0.643352497305066,1.29270086412944,1.13561478703456,1.13962600178094
"63","Walpeup__Australia 2009 129 Low TOS_2 Yitpi ","Walpeup__Australia 2009 129 Low TOS_2 Yitpi aCO2",121.9225,29.1575,42.32,15.375,"aCO2","129","Low","Walpeup__Australia","2009","TOS_2","Yitpi","Walpeup__Australia 2009 129 Low TOS_2 Yitpi eCO2",218.165,24.54,35.9125,13.15,"eCO2","129","Low","Walpeup__Australia","2009","TOS_2","Yitpi",0.558854536703871,1.18816218418908,1.17841977027497,1.16920152091255
"64","Walpeup__Australia 2009 232 Low TOS_1 Yitpi ","Walpeup__Australia 2009 232 Low TOS_1 Yitpi aCO2",177.955,22.815,39.9875,12.925,"aCO2","232","Low","Walpeup__Australia","2009","TOS_1","Yitpi","Walpeup__Australia 2009 232 Low TOS_1 Yitpi eCO2",227.0775,21.485,37.8525,11.5,"eCO2","232","Low","Walpeup__Australia","2009","TOS_1","Yitpi",0.783675176977023,1.06190365371189,1.05640314378178,1.12391304347826
