"","LocYrWNTC","LocYrWNTCCO2.x","Yield.x","Zn.x","Fe.x","protein.x","CO2.x","watering.x","fert.x","Loc.x","Yr.x","TOS.x","Cv.x","LocYrWNTCCO2.y","Yield.y","Zn.y","Fe.y","protein.y","CO2.y","watering.y","fert.y","Loc.y","Yr.y","TOS.y","Cv.y","RRYield","RRZn","RRFe","RRprotein"
"14","Horsham__Australia 2008 107 Low TOS_1 Yitpi ","Horsham__Australia 2008 107 Low TOS_1 Yitpi aCO2",370.4325,25.325,44.5175,14.78,"aCO2","107","Low","Horsham__Australia","2008","TOS_1","Yitpi","Horsham__Australia 2008 107 Low TOS_1 Yitpi eCO2",454.94,22.9475,43.2375,14.3375,"eCO2","107","Low","Horsham__Australia","2008","TOS_1","Yitpi",0.814244735569526,1.10360605730472,1.02960393177219,1.0308631211857
"15","Horsham__Australia 2008 107 Medium TOS_1 Yitpi ","Horsham__Australia 2008 107 Medium TOS_1 Yitpi aCO2",312.08,29.27,44.8,15.6075,"aCO2","107","Medium","Horsham__Australia","2008","TOS_1","Yitpi","Horsham__Australia 2008 107 Medium TOS_1 Yitpi eCO2",457.6175,25.135,44.5075,14.86,"eCO2","107","Medium","Horsham__Australia","2008","TOS_1","Yitpi",0.681966926527067,1.16451163715934,1.00657192607987,1.05030282637954
"16","Horsham__Australia 2008 130 Low TOS_2 Janz ","Horsham__Australia 2008 130 Low TOS_2 Janz aCO2",149.7825,37.5925,38.7925,17.2725,"aCO2","130","Low","Horsham__Australia","2008","TOS_2","Janz","Horsham__Australia 2008 130 Low TOS_2 Janz eCO2",123.7575,35.8875,40.545,16.735,"eCO2","130","Low","Horsham__Australia","2008","TOS_2","Janz",1.21029028543725,1.04750957854406,0.956776421260328,1.03211831490887
"17","Horsham__Australia 2008 130 Low TOS_2 Yitpi ","Horsham__Australia 2008 130 Low TOS_2 Yitpi aCO2",194.675,29.745,35.725,15.455,"aCO2","130","Low","Horsham__Australia","2008","TOS_2","Yitpi","Horsham__Australia 2008 130 Low TOS_2 Yitpi eCO2",203.555,32.67,36.21,15.7925,"eCO2","130","Low","Horsham__Australia","2008","TOS_2","Yitpi",0.956375426788829,0.910468319559229,0.986605909969622,0.978629096089916
"18","Horsham__Australia 2008 130 Medium TOS_2 Yitpi ","Horsham__Australia 2008 130 Medium TOS_2 Yitpi aCO2",200.5075,33.75,35.325,16.1325,"aCO2","130","Medium","Horsham__Australia","2008","TOS_2","Yitpi","Horsham__Australia 2008 130 Medium TOS_2 Yitpi eCO2",232.865,30.4275,36.5975,15.1775,"eCO2","130","Medium","Horsham__Australia","2008","TOS_2","Yitpi",0.861046099671483,1.10919398570372,0.965229865427966,1.06292208861802
"19","Horsham__Australia 2008 137 Low TOS_1 Janz ","Horsham__Australia 2008 137 Low TOS_1 Janz aCO2",262.585,31.215,42.91,17.1325,"aCO2","137","Low","Horsham__Australia","2008","TOS_1","Janz","Horsham__Australia 2008 137 Low TOS_1 Janz eCO2",467.83,21.4075,38.9875,15.1775,"eCO2","137","Low","Horsham__Australia","2008","TOS_1","Janz",0.561282944659385,1.45813383160107,1.10060916960564,1.12880909240652
"20","Horsham__Australia 2008 137 Low TOS_1 Yitpi ","Horsham__Australia 2008 137 Low TOS_1 Yitpi aCO2",402.9475,28.9375,41.825,16.31,"aCO2","137","Low","Horsham__Australia","2008","TOS_1","Yitpi","Horsham__Australia 2008 137 Low TOS_1 Yitpi eCO2",556.385,23.5375,38.535,13.9175,"eCO2","137","Low","Horsham__Australia","2008","TOS_1","Yitpi",0.724224233219803,1.22942113648433,1.08537693006358,1.17190587389977
"21","Horsham__Australia 2008 137 Medium TOS_1 Yitpi ","Horsham__Australia 2008 137 Medium TOS_1 Yitpi aCO2",341.4825,31.095,43.12,16.73,"aCO2","137","Medium","Horsham__Australia","2008","TOS_1","Yitpi","Horsham__Australia 2008 137 Medium TOS_1 Yitpi eCO2",458.72,25.115,40.8325,14.7775,"eCO2","137","Medium","Horsham__Australia","2008","TOS_1","Yitpi",0.744424703522846,1.23810471829584,1.05602155146023,1.13212654373203
"22","Horsham__Australia 2008 75 Low TOS_2 Janz ","Horsham__Australia 2008 75 Low TOS_2 Janz aCO2",128.02,31.6825,38.675,15.925,"aCO2","75","Low","Horsham__Australia","2008","TOS_2","Janz","Horsham__Australia 2008 75 Low TOS_2 Janz eCO2",203.346666666667,24.56,35.9166666666667,15.3566666666667,"eCO2","75","Low","Horsham__Australia","2008","TOS_2","Janz",0.629565274408236,1.29000407166124,1.07679814385151,1.03700889950076
"23","Horsham__Australia 2008 75 Low TOS_2 Yitpi ","Horsham__Australia 2008 75 Low TOS_2 Yitpi aCO2",190.665,28.64,37.52,14.9875,"aCO2","75","Low","Horsham__Australia","2008","TOS_2","Yitpi","Horsham__Australia 2008 75 Low TOS_2 Yitpi eCO2",169.395,29.63,38.295,15.0825,"eCO2","75","Low","Horsham__Australia","2008","TOS_2","Yitpi",1.12556450898787,0.966587917651029,0.979762371066719,0.993701309464611
