"","Crop","CO2.x","RRZnu","RRFeu","RRNu","RRPu","RRKu","RRSu","RRBu","RRCau","RRMgu","RRMnu","RRCuu","Znlow","Znhi","Felow","Fehi","Nlow","Nhi","Plow","Phi","Klow","Khi","Slow","Shi","Blow","Bhi","Calow","Cahi","Mglow","Mghi","Mnlow","Mnhi","Culow","Cuhi"
"1","Field_peas","eCO2",1.20239580704501,1.22613063711719,1.26134017381103,1.23121064510539,1.304757466408,1.25363198716143,1.26052463549184,1.26501146824828,1.29197756575991,1.25898536781706,1.25552719365713,1.06279636100201,1.341995253088,1.08827118829701,1.36399008593736,1.11223289612523,1.41044745149683,1.09429153571118,1.36812975449961,1.15519405665468,1.45432087616133,1.11172422835657,1.3955397459663,1.08727588147471,1.43377338950896,1.07219751962893,1.45782541686762,1.12638460151307,1.45757053000675,1.10849931478791,1.40947142084622,1.09304367212846,1.41801071518579
"2","rice","eCO2",1.11817620991417,1.11626961773385,1.09448699262025,1.15138147719958,1.17864217955674,1.0890147085692,1.21878342206028,1.3805313376584,1.15629150530721,1.0373773301582,1.052992740682,1.0752064222592,1.16114599756915,1.05262188115385,1.17991735431385,1.03830599558762,1.15066798965287,1.08625970510038,1.21650324929878,1.10058700439079,1.25669735472269,1.02811615063491,1.14991326650349,1.13393655047642,1.30363029364414,1.10646096821924,1.65460170709757,1.08156427878981,1.2310187318246,0.962221514953685,1.11253314536272,0.918038290710052,1.18794719065394
"3","sorghum","eCO2",1.08700167093573,1.11766798660763,1.10018186007645,1.10362449379049,1.13053718699492,1.09577167577016,1.09937756565891,1.21906001213573,1.09924485652501,1.1199422769039,1.07563934148529,0.867553116071238,1.30645022580022,0.935656226266362,1.29967974694891,0.869506000196882,1.33085771995602,0.863977382110506,1.34327160547048,0.886180620531466,1.37489375345838,0.883359839815752,1.30818351172456,0.867984447389422,1.3307706839284,1.17292797387012,1.26519205040134,0.881349504401376,1.31714020864865,0.883633165079672,1.35625138872813,0.850838849612603,1.30043983335797
"4","wheat","eCO2",1.16527031596219,1.22587416688839,1.20547644882222,NA,NA,NA,NA,NA,NA,NA,NA,1.12003427381975,1.21050635810463,1.16683055672766,1.28491777704912,1.1491953810089,1.26175751663555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
