"","CO2","Zn","Fe","protein","SE wheatNutSD.CO2","SE Zn","SE Fe","SE protein"
"1","aCO2",31.3697647058824,40.8909803921569,15.3268235294118,"aCO2",0.417909432467477,0.374415752065138,0.109321071181515
"2","eCO2",28.3570588235294,38.8287843137255,14.3506274509804,"eCO2",0.380634601991733,0.362564130248857,0.107471974983924
