Belgium,"Age population, age 0, female, interpolated",64449
Belgium,"Age population, age 0, male, interpolated",67595
Belgium,"Age population, age 01, female, interpolated",64930
Belgium,"Age population, age 01, male, interpolated",68119
Belgium,"Age population, age 02, female, interpolated",64086
Belgium,"Age population, age 02, male, interpolated",67205
Belize,"Age population, age 0, female, interpolated",3731
Belize,"Age population, age 0, male, interpolated",3815
Belize,"Age population, age 01, female, interpolated",3703
Belize,"Age population, age 01, male, interpolated",3789
Belize,"Age population, age 02, female, interpolated",3705
Belize,"Age population, age 02, male, interpolated",3795
Benin,"Age population, age 0, female, interpolated",166089
Benin,"Age population, age 0, male, interpolated",170749
Benin,"Age population, age 01, female, interpolated",162297
Benin,"Age population, age 01, male, interpolated",166726
Benin,"Age population, age 02, female, interpolated",158361
Benin,"Age population, age 02, male, interpolated",162392
Bermuda,"Age population, age 0, female, interpolated",
Bermuda,"Age population, age 0, male, interpolated",
Bermuda,"Age population, age 01, female, interpolated",
Bermuda,"Age population, age 01, male, interpolated",
Bermuda,"Age population, age 02, female, interpolated",
Bermuda,"Age population, age 02, male, interpolated",
Bhutan,"Age population, age 0, female, interpolated",7011
Bhutan,"Age population, age 0, male, interpolated",7277
Bhutan,"Age population, age 01, female, interpolated",6935
Bhutan,"Age population, age 01, male, interpolated",7189
Bhutan,"Age population, age 02, female, interpolated",6876
Bhutan,"Age population, age 02, male, interpolated",7120
Bolivia,"Age population, age 0, female, interpolated",123443
Bolivia,"Age population, age 0, male, interpolated",128647
Bolivia,"Age population, age 01, female, interpolated",122414
Bolivia,"Age population, age 01, male, interpolated",127524
Bolivia,"Age population, age 02, female, interpolated",123139
Bolivia,"Age population, age 02, male, interpolated",128201
Bosnia and Herzegovina,"Age population, age 0, female, interpolated",14924
Bosnia and Herzegovina,"Age population, age 0, male, interpolated",15558
Bosnia and Herzegovina,"Age population, age 01, female, interpolated",14025
Bosnia and Herzegovina,"Age population, age 01, male, interpolated",14751
Bosnia and Herzegovina,"Age population, age 02, female, interpolated",14936
Bosnia and Herzegovina,"Age population, age 02, male, interpolated",15853
Botswana,"Age population, age 0, female, interpolated",23399
Botswana,"Age population, age 0, male, interpolated",23869
Botswana,"Age population, age 01, female, interpolated",23332
Botswana,"Age population, age 01, male, interpolated",23784
Botswana,"Age population, age 02, female, interpolated",22973
Botswana,"Age population, age 02, male, interpolated",23400
Brazil,"Age population, age 0, female, interpolated",1358732
Brazil,"Age population, age 0, male, interpolated",1418042
Brazil,"Age population, age 01, female, interpolated",1360552
Brazil,"Age population, age 01, male, interpolated",1419194
Brazil,"Age population, age 02, female, interpolated",1432871
Brazil,"Age population, age 02, male, interpolated",1493773
Brunei Darussalam,"Age population, age 0, female, interpolated",2945
Brunei Darussalam,"Age population, age 0, male, interpolated",3171
Brunei Darussalam,"Age population, age 01, female, interpolated",3047
Brunei Darussalam,"Age population, age 01, male, interpolated",3262
Brunei Darussalam,"Age population, age 02, female, interpolated",3273
Brunei Darussalam,"Age population, age 02, male, interpolated",3462
Bulgaria,"Age population, age 0, female, interpolated",33929
Bulgaria,"Age population, age 0, male, interpolated",35901
Bulgaria,"Age population, age 01, female, interpolated",33991
Bulgaria,"Age population, age 01, male, interpolated",35903
Bulgaria,"Age population, age 02, female, interpolated",33536
Bulgaria,"Age population, age 02, male, interpolated",35473
Burkina Faso,"Age population, age 0, female, interpolated",302205
Burkina Faso,"Age population, age 0, male, interpolated",313627
Burkina Faso,"Age population, age 01, female, interpolated",292953
Burkina Faso,"Age population, age 01, male, interpolated",303864
Burkina Faso,"Age population, age 02, female, interpolated",282051
Burkina Faso,"Age population, age 02, male, interpolated",292295
Burundi,"Age population, age 0, female, interpolated",196658
Burundi,"Age population, age 0, male, interpolated",199129
Burundi,"Age population, age 01, female, interpolated",187526
Burundi,"Age population, age 01, male, interpolated",189386
Burundi,"Age population, age 02, female, interpolated",176081
Burundi,"Age population, age 02, male, interpolated",177051
Cabo Verde,"Age population, age 0, female, interpolated",4956
Cabo Verde,"Age population, age 0, male, interpolated",5065
Cabo Verde,"Age population, age 01, female, interpolated",4922
Cabo Verde,"Age population, age 01, male, interpolated",5012
Cabo Verde,"Age population, age 02, female, interpolated",4895
Cabo Verde,"Age population, age 02, male, interpolated",4949
Cambodia,"Age population, age 0, female, interpolated",165612
Cambodia,"Age population, age 0, male, interpolated",176630
Cambodia,"Age population, age 01, female, interpolated",161672
Cambodia,"Age population, age 01, male, interpolated",172863
Cambodia,"Age population, age 02, female, interpolated",157732
Cambodia,"Age population, age 02, male, interpolated",167290
Cameroon,"Age population, age 0, female, interpolated",367194
Cameroon,"Age population, age 0, male, interpolated",374123
Cameroon,"Age population, age 01, female, interpolated",358303
Cameroon,"Age population, age 01, male, interpolated",364651
Cameroon,"Age population, age 02, female, interpolated",348131
Cameroon,"Age population, age 02, male, interpolated",353936
Canada,"Age population, age 0, female, interpolated",195177
Canada,"Age population, age 0, male, interpolated",203815
Canada,"Age population, age 01, female, interpolated",193742
Canada,"Age population, age 01, male, interpolated",202214
Canada,"Age population, age 02, female, interpolated",188543
Canada,"Age population, age 02, male, interpolated",197838
Caribbean small states,"Age population, age 0, female, interpolated",
Caribbean small states,"Age population, age 0, male, interpolated",
Caribbean small states,"Age population, age 01, female, interpolated",
Caribbean small states,"Age population, age 01, male, interpolated",
Caribbean small states,"Age population, age 02, female, interpolated",
Caribbean small states,"Age population, age 02, male, interpolated",
Cayman Islands,"Age population, age 0, female, interpolated",
Cayman Islands,"Age population, age 0, male, interpolated",
Cayman Islands,"Age population, age 01, female, interpolated",
Cayman Islands,"Age population, age 01, male, interpolated",
Cayman Islands,"Age population, age 02, female, interpolated",
Cayman Islands,"Age population, age 02, male, interpolated",
Central African Republic,"Age population, age 0, female, interpolated",68309
Central African Republic,"Age population, age 0, male, interpolated",68842
Central African Republic,"Age population, age 01, female, interpolated",66310
Central African Republic,"Age population, age 01, male, interpolated",66601
Central African Republic,"Age population, age 02, female, interpolated",65036
Central African Republic,"Age population, age 02, male, interpolated",65059
Chad,"Age population, age 0, female, interpolated",252195
Chad,"Age population, age 0, male, interpolated",256925
Chad,"Age population, age 01, female, interpolated",242959
Chad,"Age population, age 01, male, interpolated",247421
Chad,"Age population, age 02, female, interpolated",232766
Chad,"Age population, age 02, male, interpolated",237051
Channel Islands,"Age population, age 0, female, interpolated",716
Channel Islands,"Age population, age 0, male, interpolated",862
Channel Islands,"Age population, age 01, female, interpolated",728
Channel Islands,"Age population, age 01, male, interpolated",874
Channel Islands,"Age population, age 02, female, interpolated",761
Channel Islands,"Age population, age 02, male, interpolated",841
Chile,"Age population, age 0, female, interpolated",120621
Chile,"Age population, age 0, male, interpolated",125253
Chile,"Age population, age 01, female, interpolated",121043
Chile,"Age population, age 01, male, interpolated",125665
Chile,"Age population, age 02, female, interpolated",120309
Chile,"Age population, age 02, male, interpolated",124883
China,"Age population, age 0, female, interpolated",8358599
China,"Age population, age 0, male, interpolated",9806697
China,"Age population, age 01, female, interpolated",8243009
China,"Age population, age 01, male, interpolated",9700848
China,"Age population, age 02, female, interpolated",8050880
China,"Age population, age 02, male, interpolated",9464951
Colombia,"Age population, age 0, female, interpolated",445246
Colombia,"Age population, age 0, male, interpolated",465096
Colombia,"Age population, age 01, female, interpolated",446392
Colombia,"Age population, age 01, male, interpolated",466090
Colombia,"Age population, age 02, female, interpolated",443630
Colombia,"Age population, age 02, male, interpolated",462959
Comoros,"Age population, age 0, female, interpolated",11585
Comoros,"Age population, age 0, male, interpolated",12062
Comoros,"Age population, age 01, female, interpolated",11386
Comoros,"Age population, age 01, male, interpolated",11853
Comoros,"Age population, age 02, female, interpolated",11163
Comoros,"Age population, age 02, male, interpolated",11616
"Congo, Dem. Rep.","Age population, age 0, female, interpolated",1233307
"Congo, Dem. Rep.","Age population, age 0, male, interpolated",1244065
"Congo, Dem. Rep.","Age population, age 01, female, interpolated",1189332
"Congo, Dem. Rep.","Age population, age 01, male, interpolated",1197881
"Congo, Dem. Rep.","Age population, age 02, female, interpolated",1139655
"Congo, Dem. Rep.","Age population, age 02, male, interpolated",1147221
"Congo, Rep.","Age population, age 0, female, interpolated",74857
"Congo, Rep.","Age population, age 0, male, interpolated",76315
"Congo, Rep.","Age population, age 01, female, interpolated",72326
"Congo, Rep.","Age population, age 01, male, interpolated",73639
"Congo, Rep.","Age population, age 02, female, interpolated",69654
"Congo, Rep.","Age population, age 02, male, interpolated",70816
Costa Rica,"Age population, age 0, female, interpolated",34481
Costa Rica,"Age population, age 0, male, interpolated",36108
Costa Rica,"Age population, age 01, female, interpolated",34358
Costa Rica,"Age population, age 01, male, interpolated",36005
Costa Rica,"Age population, age 02, female, interpolated",35038
Costa Rica,"Age population, age 02, male, interpolated",36746
Cote d'Ivoire,"Age population, age 0, female, interpolated",319802
Cote d'Ivoire,"Age population, age 0, male, interpolated",323543
Cote d'Ivoire,"Age population, age 01, female, interpolated",305093
Cote d'Ivoire,"Age population, age 01, male, interpolated",308427
Cote d'Ivoire,"Age population, age 02, female, interpolated",296279
Cote d'Ivoire,"Age population, age 02, male, interpolated",299198
Croatia,"Age population, age 0, female, interpolated",23473
Croatia,"Age population, age 0, male, interpolated",24793
Croatia,"Age population, age 01, female, interpolated",23392
Croatia,"Age population, age 01, male, interpolated",24694
Croatia,"Age population, age 02, female, interpolated",21796
Croatia,"Age population, age 02, male, interpolated",22995
Cuba,"Age population, age 0, female, interpolated",48612
Cuba,"Age population, age 0, male, interpolated",51199
Cuba,"Age population, age 01, female, interpolated",49521
Cuba,"Age population, age 01, male, interpolated",52261
Cuba,"Age population, age 02, female, interpolated",52729
Cuba,"Age population, age 02, male, interpolated",55881
Curacao,"Age population, age 0, female, interpolated",828
Curacao,"Age population, age 0, male, interpolated",889
Curacao,"Age population, age 01, female, interpolated",842
Curacao,"Age population, age 01, male, interpolated",897
Curacao,"Age population, age 02, female, interpolated",873
Curacao,"Age population, age 02, male, interpolated",918
Cyprus,"Age population, age 0, female, interpolated",6457
Cyprus,"Age population, age 0, male, interpolated",6889
