"","pred","se","p","elevated","fieldpots","experiments","plant"
"1","0.920571043841237","0.0386240736004642","1.47947714490898e-125","588.77397260274","0.794520547945205","146","Wheat"
"2","0.924991483223464","0.0378976532984124","1.41957269865999e-131","596.31914893617","0.893617021276596","47","Rice"
"3","0.861118902","0.0781872961027684","3.28824822487913e-28","630.941176470588","0.411764705882353","17","Barley"
"4","0.956870944","0.172282350735646","2.79068519606902e-08","550","1","4","Maize"
"5","1.00261891758065","0.127385153074153","3.52472262563336e-15","561","1","4","Sorghum"
"6","0.915265392641176","0.028871727816583","1.50060182272719e-220","593.153110047847","0.77511961722488","209","C3"
"7","0.979381851634921","0.107641616877727","9.15519344613179e-20","555.5","1","8","C4"
"8","0.918103999047787","0.0279804638809391","3.92871480603341e-236","591.764976958525","0.783410138248848","217","Grain"
"9","0.936668660552632","0.0862545041860555","1.80007501077739e-27","625.261538461538","0.769230769230769","13","Root"
"10","0.93229403440625","0.0964076925996199","4.03083074059591e-22","612.581818181818","0.909090909090909","11","Potato"
"11","0.96","0.184512751591862","1.96210444261776e-07","695","0","2","Sugarbeet"
"12","0.9701329595","0.0574780826462912","6.49772829502606e-64","616.444444444444","0.555555555555556","18","Pulse"
"13","0.969286173217391","0.0630986220898748","2.96871306543806e-53","584.615384615385","0.769230769230769","13","Peas"
"14","0.96018227925","0.167391105647821","9.68467847399898e-09","699","0","4","Beans"
"15","1.067686015","0.138884399771897","1.4993497045976e-14","700","0","2","Chickpea"
"16","1.00125130270504","0.0330447243812103","1.15039892642303e-201","572.744186046512","0.790697674418605","43","Oil"
"17","1.00042118184746","0.0344895872024442","5.45259417255359e-185","573.055555555556","0.861111111111111","36","Soy"
"18","0.960392799590909","0.167688725904558","1.02080504530986e-08","585.5","0.375","8","Mustard"
"19","0.83109783","0.188327766805641","1.01929500296662e-05","650","0.5","2","Veg"
