"","pred","se","ci.lb","ci.ub","cr.lb","cr.ub","slab","digits","method"
"predict.mr.d.metaplantsfieldC3",-7.0554316481155,0.534162849868332,-8.10237159573671,-6.0084917004943,-18.9395955810401,4.82873228480914,1,4,REML
"predict.mr.d.metaplantsfieldC4",-1.98237497932221,2.91655852147858,-7.69872464022363,3.7339746815792,-18.906632388184,14.9418824295395,1,4,REML
"predict.mr.d.metaplantsfieldRoot",-4.34201549147899,2.07211627382896,-8.40328875996308,-0.280742222994893,-18.68368471332,9.99965373036203,1,4,REML
"predict.mr.d.metaplantsfieldOil",0.0814181801312985,1.03982177843833,-1.95659505594821,2.1194314162108,-14.8527975663124,15.015633926575,1,4,REML
"predict.mr.d.metaplantsfieldVeg",-27.65527915896,9.81848721552363,-46.8991604840532,-8.41139783386669,-64.0572159635404,8.74665764562048,1,4,REML
