"","pred","se","p","elevated","fieldpots","experiments","plant"
"1","0.92685884151663","0.0422670747474089","1.38550487916512e-106","582.925619834711","0.752066115702479","121","Wheat"
"2","0.924991483223464","0.021524408085694","0","596.31914893617","0.893617021276596","47","Rice"
"3","0.861118902","0.0298252959541807","2.67554801840804e-183","630.941176470588","0.411764705882353","17","Barley"
"4","0.956870944","0.0302340825890253","7.88941941499125e-220","550","1","4","Maize"
"5","1.00261891758065","0.0172844433914048","0","561","1","4","Sorghum"
"6","0.919375926094427","0.0255239068980012","4.04124518536835e-284","589.902173913043","0.744565217391304","184","C3"
"7","0.979381851634921","0.0473548397143644","5.05527846845699e-95","555.5","1","8","C4"
"8","0.922165869495942","0.0239900310071161","0","588.46875","0.755208333333333","192","Grain"
"9","0.937428571428571","0.0478811499822185","2.37078348954689e-85","653.975","0.25","4","Root"
"10","0.935067743774194","0.0261126320494397","7.99416380562508e-281","612.825","0.916666666666667","12","Potato"
"11","0.96","0.0274252757506648","1.94160424183165e-268","695","0","2","Sugarbeet"
"12","0.9701329595","0.0419903454523714","4.24854300083056e-118","616.444444444444","0.555555555555556","18","Pulse"
"13","1.08165251195966","0.0517569040512517","d and f <0.1","584.615384615385","0.769230769230769","13","Peas"
"14","0.96018227925","0.0379740858641362","4.64741460830171e-141","699","0","4","Beans"
"15","1.067686015","0.0136791081580635","0","700","0","2","Chickpea"
"16","1.00125130270504","0.0355923729375932","4.08578674812294e-174","572.744186046512","0.790697674418605","43","Oil"
"17","1.00042118184746","0.046604529756318","3.22466406034073e-102","573.055555555556","0.861111111111111","36","Soy"
"18","0.960392799590909","0.173366112816085","3.03024725175671e-08","585.5","0.375","8","Mustard"
"19","0.83109783","0.0396891302814763","2.30550202314457e-97","650","0.5","2","Veg"
