"","Plant_Type","pred","se","ppm","potsfield"
"1","C3_cereal","0.927198127513351","0.00539501571884212","550","1"
"2","C4_cereal","0.986758067458069","0.0312042975687379","550","1"
"3","oilcrop","0.991630959398755","0.00925565077837859","550","1"
"4","pulses","0.982800974888951","0.0240677866067229","550","1"
"5","root_vegetable","0.862069646033604","0.0511746640569559","550","1"
"6","vegetable","0.812719254056671","0.0737539065137644","550","1"
"7","all grains","0.93016446446256","0.00538935954545171","550","1"
