"","pred","se","ci.lb","ci.ub","cr.lb","cr.ub","slab","digits","method"
"predict.mr.metaplantsC3",-7.07542436738877,0.57798029509355,-8.20824492954596,-5.94260380523158,-17.522557842481,3.37170910770348,1,4,REML
"predict.mr.metaplantsC4",c(-1.20651905662154, 29.362505595833),c(3.09927072767801, 21.3087754474529),c(-7.28097806120968, -12.401926835826),c(4.8679399479666, 71.1269380274921),c(-16.3882887572774, -14.658567714389),c(13.9752506440343, 73.3835789060551),1:2,4,REML
"predict.mr.metaplantsRoot",-12.6309269125113,6.01737275839167,-24.4247608005114,-0.837093024511217,-27.8793733943007,2.61751956927808,1,4,REML
"predict.mr.metaplantsPulse",-2.15490407661465,2.32314102795898,-6.70817682242161,2.39836866919231,-16.5012999687798,12.1914918155505,1,4,REML
"predict.mr.metaplantsOil",-0.917953680188565,0.943528827680098,-2.76723620081686,0.931328840439726,-13.7966265934169,11.9607192330398,1,4,REML
"predict.mr.metaplantsVeg",-14.583043227305,8.38592975183299,-31.0191635177805,1.8530770631706,-44.3926539024106,15.2265674478007,1,4,REML
