"","summary.metaplants1.Author.","summary.metaplants2.Author.","summary.metaplants3.Author.","summary.metaplants7.Author.","summary.metaplants9.Author.","summary.metaplants10.Author.","summary.metaplants12.Author.","summary.metaplants13.Author.","summary.metaplants15.Author.","summary.metaplants18.Author.","summary.metaplants20.Author.","summary.metaplantsC3.Author.","summary.metaplantsC4.Author.","summary.metaplantsRoot.Author.","summary.metaplantsOil.Author.","summary.metaplantsVeg.Author."
"Prior_et_al._2003,_2008",0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0
"reddy_et_al_2004_brassica",0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2
"Rogers_et_al._1986",0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0
"Rogers_et_al._1996",6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Rosenthal_et_al._2012",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"roy_et_al_2012_rice",0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Sæbø_and_Mortensen_1996",1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
"Seneweera_et_al._1996,_Seneweera_&_Conroy_1997_",0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Seneweera_et_al._2011",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Shivashankar_and_Vlassak_1978",0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
"Singh_et_al_2013",0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"sun_et_al_2012_strawberry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas_et_al._2001;_2003",0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
"Thomas_et_al._2009",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Thompson_and_Woodward_1994",1,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0
"van_Oijen_et_al._1999",4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Weigel_and_Manderscheid_2005",4,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0
"Wieser_et_al_2008,_Erbs_et_al._2010,_Wroblewitz_et_al_2013",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Wieser_et_al_2008_not_averaged",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
