"","Plant_Type","pred","se","ppm","potsfield"
"1","C3_cereal","0.929230549679926","0.192808439478325","550","1"
"2","C4_cereal","0.98172804379313","0.0516983294715439","550","1"
"3","oilcrop","1.00157111740278","0.0792994660867232","550","1"
"4","pulses","0.981222078222295","0.0496358819860393","550","1"
"5","root_vegetable","0.923639901511644","0.204789911991387","550","1"
"6","vegetable","0.789082515942308","0.115727987489973","550","1"
"7","all grains","0.931784890116162","0.232784290228211","550","1"
