,country,protein.amb.g,protein.amb.cal,protein.co2.g,protein.co2.cal,protein.co2.g.SE,countrycode,energy,protein.percent.decrease,protein.percent.decrease.SE,protein.calorie.ratio.difference,protein.calorie.ratio.SE,order.by.protein.percent,order.by.energy.difference,,gproteinCiub,gproteinCilb,,ratiodifferenceCiub,ratiodifferenceCilb
30,Brunei Darussalam,77,327.25,74.55357364,316.852688,0.242665917,BRN,2837,-3.177177092,0.315150541,-0.366489673,0.036352843,163,160,0.61769506,-2.559482032,-3.794872152,0.071251572,-0.295238101,-0.437741245
190,Slovenia,93,395.25,90.06233933,382.7649421,0.380670718,SVN,3111,-3.158774916,0.409323353,-0.401319764,0.052004196,164,122,0.802273772,-2.356501144,-3.961048688,0.101928224,-0.29939154,-0.503247988
35,Cabo Verde,74,314.5,71.66622843,304.5814708,0.75775734,CPV,2674,-3.153745366,1.023996405,-0.370924801,0.120436376,165,155,2.007032954,-1.146712412,-5.16077832,0.236055297,-0.134869504,-0.606980098
206,Switzerland,89,378.25,86.20217391,366.3592391,0.325480826,CHE,3438,-3.143624817,0.365708793,-0.345862736,0.040235413,166,178,0.716789234,-2.426835583,-3.860414051,0.078861409,-0.267001327,-0.424724145
72,Eritrea,50.2,213.35,48.62939085,206.6749111,0.797150465,ERI,1640,-3.128703492,1.587949133,-0.407017616,0.206578627,167,115,3.112380301,-0.016323191,-6.241083793,0.404894109,-0.002123507,-0.811911725
38,Canada,100,425,96.9082268,411.8599639,0.431616116,CAN,3361,-3.091773197,0.431616116,-0.390956147,0.054578057,168,134,0.845967587,-2.24580561,-3.937740784,0.106972992,-0.283983155,-0.497929139
104,Japan,80,340,77.53026036,329.5036065,0.316943259,JPN,2629,-3.087174552,0.396179074,-0.399254221,0.051236548,169,126,0.776510985,-2.310663567,-3.863685537,0.100423634,-0.298830587,-0.499677855
205,Sweden,100,425,96.92380947,411.9261902,0.307375261,SWE,3092,-3.076190534,0.307375261,-0.422826965,0.042249187,170,103,0.602455512,-2.473735022,-3.678646046,0.082808407,-0.340018558,-0.505635372
172,Republic of Moldova,68,289,65.91640409,280.1447174,0.573880441,MDA,2775,-3.064111635,0.843941825,-0.319109284,0.087891599,171,193,1.654125977,-1.409985658,-4.718237612,0.172267534,-0.14684175,-0.491376818
214,Trinidad and Tobago,73,310.25,70.76362608,300.7454108,0.315387033,TTO,2845,-3.063525921,0.432037032,-0.334080463,0.047114056,172,184,0.846792583,-2.216733338,-3.910318504,0.09234355,-0.241736913,-0.426424013
87,Grenada,68,289,65.97910032,280.4111764,0.25727405,GRD,2407,-2.971911294,0.378344192,-0.356826907,0.045426453,173,167,0.741554616,-2.230356678,-3.71346591,0.089035848,-0.267791059,-0.445862755
148,New Zealand,97,412.25,94.1251808,400.0320184,0.407182799,NZL,3111,-2.963731136,0.419776082,-0.392734864,0.055626065,174,131,0.822761121,-2.140970015,-3.786492257,0.109027087,-0.283707777,-0.501761951
123,Malawi,65,276.25,63.07669587,268.0759574,1.310486034,MWI,2325,-2.958929432,2.016132359,-0.351571723,0.23955121,175,172,3.951619424,0.992689992,-6.910548856,0.469520372,0.117948649,-0.821092095
211,Timor-Leste,54,229.5,52.41408368,222.7598557,0.963574822,TLS,2063,-2.936882069,1.784397819,-0.326715674,0.198506689,176,187,3.497419725,0.560537656,-6.434301794,0.38907311,0.062357436,-0.715788784
154,Northern America,101,429.25,98.05128672,416.7179685,0.459465743,,3562,-2.919518102,0.454916577,-0.351825701,0.054821151,177,171,0.891636491,-2.027881611,-3.811154593,0.107449456,-0.244376245,-0.459275157
116,Lesotho,74,314.5,71.84633459,305.346922,1.460919344,LSO,2585,-2.910358665,1.974215329,-0.354084255,0.240189834,178,168,3.869462045,0.95910338,-6.77982071,0.470772075,0.11668782,-0.82485633
149,Nicaragua,60,255,58.25438317,247.5811285,2.058581233,NIC,2520,-2.90936139,3.430968722,-0.294399664,0.347181359,179,201,6.724698695,3.815337305,-9.634060085,0.680475464,0.3860758,-0.974875128
147,New Caledonia,78,331.5,75.73155905,321.859126,0.267952788,NCL,2733,-2.908257628,0.343529215,-0.352757923,0.041668472,180,169,0.673317261,-2.234940367,-3.581574889,0.081670205,-0.271087718,-0.434428128
200,Spain,98,416.5,95.18331911,404.5291062,0.386591276,ESP,3118,-2.874164169,0.394480894,-0.383928601,0.052694449,181,145,0.773182552,-2.100981617,-3.647346721,0.10328112,-0.280647481,-0.487209721
162,Panama,69,293.25,67.02669552,284.863456,0.270347759,PAN,2587,-2.859861559,0.391808346,-0.324180287,0.044413528,182,188,0.767944358,-2.091917201,-3.627805917,0.087050515,-0.237129772,-0.411230802
164,Paraguay,65,276.25,63.15022195,268.3884433,1.031494278,PRY,2610,-2.845812386,1.586914274,-0.30120907,0.167963628,183,198,3.110351977,0.264539591,-5.956164363,0.329208711,0.027999641,-0.630417781
168,Polynesia,85,361.25,82.60117264,351.0549837,0.243645244,,2815,-2.822149838,0.286641464,-0.362167541,0.036784806,184,162,0.561817269,-2.260332569,-3.383967107,0.07209822,-0.290069321,-0.434265761
224,United States of America,100,425,97.22701167,413.2147996,0.434984113,USA,3587,-2.772988332,0.434984113,-0.32855312,0.051538402,185,186,0.852568861,-1.920419471,-3.625557193,0.101015268,-0.227537852,-0.429568388
9,Argentina,92,391,89.46946571,380.2452293,0.275461521,ARG,3093,-2.75058075,0.299414697,-0.347713247,0.037850355,186,174,0.586852806,-2.163727944,-3.337433556,0.074186696,-0.273526551,-0.421899943
145,Netherlands,98,416.5,95.30861655,405.0616203,0.344823599,NLD,3080,-2.746309644,0.351860815,-0.371375963,0.047581178,187,154,0.689647197,-2.056662447,-3.435956841,0.093259109,-0.278116854,-0.464635072
88,Guatemala,54,229.5,52.52225229,223.2195722,1.487176292,GTM,2443,-2.736569835,2.75403017,-0.257078501,0.258718757,188,209,5.397899133,2.661329298,-8.134468968,0.507088764,0.250010263,-0.764167265
176,Saint Kitts and Nevis,73,310.25,71.01701683,301.8223215,0.23825955,KNA,2429,-2.716415301,0.326382945,-0.346960826,0.041688064,189,175,0.639710572,-2.076704729,-3.356125873,0.081708605,-0.265252221,-0.428669431
50,Colombia,57,242.25,55.4596935,235.7036974,0.486821713,COL,2543,-2.702292104,0.854073181,-0.257424405,0.081360294,190,208,1.673983435,-1.028308669,-4.376275539,0.159466176,-0.097958229,-0.416890581
228,Venezuela (Bolivarian Republic of),80,340,77.85545266,330.8856738,0.595009676,VEN,2836,-2.680684175,0.743762094,-0.321379626,0.089167529,191,191,1.457773704,-1.222910471,-4.138457879,0.174768357,-0.146611269,-0.496147983
5,Americas,86,365.5,83.72445854,355.8289488,0.73180049,,3162,-2.645978448,0.850930802,-0.305852347,0.098360281,192,197,1.667824372,-0.978154076,-4.31380282,0.192786151,-0.113066196,-0.498638498
47,"China, Macao SAR",85,361.25,82.75376276,351.7034917,0.30426562,MAC,2752,-2.642632044,0.357959553,-0.346893469,0.046988695,193,176,0.701600724,-1.94103132,-3.344232768,0.092097842,-0.254795627,-0.438991311
177,Saint Lucia,80,340,77.90216366,331.0841956,0.388642384,LCA,2575,-2.622295424,0.48580298,-0.346244833,0.06414486,194,177,0.952173841,-1.670121583,-3.574469265,0.125723926,-0.220520907,-0.471968759
12,Australia,99,420.75,96.41250364,409.7531404,0.28031267,AUS,3198,-2.613632692,0.283144111,-0.343866778,0.037252309,195,180,0.554962458,-2.058670234,-3.16859515,0.073014526,-0.270852252,-0.416881304
82,Gambia,70,297.5,68.18225797,289.7745964,0.622893703,GMB,2843,-2.596774324,0.889848147,-0.271734211,0.093116364,196,205,1.744102368,-0.852671956,-4.340876692,0.182508073,-0.089226138,-0.454242284
24,Bermuda,88,374,85.71960489,364.3083208,0.332271655,BMU,2705,-2.591358082,0.377581426,-0.358287587,0.052205343,197,164,0.740059595,-1.851298487,-3.331417677,0.102322472,-0.255965115,-0.460610059
195,South Africa,73,310.25,71.11582807,302.2422693,0.722975962,ZAF,2954,-2.581057433,0.99037803,-0.27108093,0.104016515,198,207,1.941140939,-0.639916494,-4.522198372,0.203872369,-0.067208561,-0.474953299
197,Southern Africa,72,306,70.14953784,298.1355358,0.694625951,,2874,-2.570086333,0.964758266,-0.27364176,0.102719565,199,204,1.890926201,-0.679160132,-4.461012534,0.201330347,-0.072311413,-0.474972107
19,Barbados,81,344.25,78.92146467,335.4162249,0.316303646,BRB,2960,-2.566092996,0.390498328,-0.298438349,0.045415219,200,200,0.765376723,-1.800716273,-3.331469719,0.089013829,-0.20942452,-0.387452178
46,"China, Hong Kong SAR",109,463.25,106.2047132,451.370031,0.419662443,HKG,3094,-2.564483328,0.385011415,-0.383967971,0.05764594,201,144,0.754622373,-1.809860955,-3.319105701,0.112986042,-0.270981929,-0.496954013
28,Botswana,58,246.5,56.51462876,240.1871722,0.509879154,BWA,2242,-2.56098489,0.87910199,-0.281571265,0.096654166,202,203,1.7230399,-0.83794499,-4.28402479,0.189442165,-0.0921291,-0.47101343
13,Australia & New Zealand,100,425,97.4967037,414.3609907,0.289653244,,3184,-2.503296299,0.289653244,-0.334139738,0.038662886,203,183,0.567720358,-1.935575941,-3.071016657,0.075779257,-0.258360481,-0.409918995
125,Maldives,101,429.25,98.51043828,418.6693627,0.233264578,MDV,2663,-2.464912597,0.230955028,-0.397320215,0.03722773,204,129,0.452671855,-2.012240742,-2.917584452,0.072966351,-0.324353864,-0.470286566
8,Antigua and Barbuda,82,348.5,80.00752381,340.0319762,0.264147186,ATG,2353,-2.429849012,0.322130714,-0.359882015,0.047710393,205,163,0.631376199,-1.798472813,-3.061225211,0.09351237,-0.266369645,-0.453394385
158,Oceania,97,412.25,94.68630606,402.4168008,0.280434937,,3149,-2.385251482,0.289108183,-0.312264187,0.037848475,206,195,0.566652039,-1.818599443,-2.951903521,0.074183011,-0.238081176,-0.386447198
43,Chad,60,255,58.60222146,249.0594412,0.826559623,TCD,2050,-2.329630903,1.377599371,-0.289783356,0.171359922,207,202,2.700094767,0.370463864,-5.02972567,0.335865447,0.046082091,-0.625648803
95,Iceland,124,527,121.1311716,514.8074792,0.275870734,ISL,3262,-2.313571301,0.222476398,-0.373774395,0.035942692,208,151,0.43605374,-1.877517561,-2.749625041,0.070447676,-0.303326719,-0.444222071
70,El Salvador,63,267.75,61.54520309,261.5671131,1.611765187,SLV,2469,-2.309201448,2.55835744,-0.250420692,0.277440342,209,210,5.014380582,2.705179134,-7.32358203,0.54378307,0.293362378,-0.794203762
80,French Polynesia,91,386.75,88.95307224,378.050557,0.267282773,PYF,2796,-2.249371167,0.293717333,-0.311138877,0.040627746,210,196,0.575685973,-1.673685194,-2.82505714,0.079630382,-0.231508495,-0.390769259
235,Zambia,51,216.75,49.99226133,212.4671107,0.973398721,ZMB,1921,-1.975958173,1.908624943,-0.222951033,0.215353699,211,211,3.740904888,1.764946715,-5.716863061,0.42209325,0.199142217,-0.645044283
41,Central America,68,289,66.66807605,283.3393232,1.103257738,,2834,-1.958711688,1.622437849,-0.199741594,0.165449731,212,213,3.179978184,1.221266496,-5.138689872,0.324281473,0.124539879,-0.524023067
132,Mexico,74,314.5,72.56004025,308.3801711,1.033033681,MEX,2944,-1.945891555,1.395991461,-0.207874624,0.149130202,213,212,2.736143264,0.790251709,-4.682034819,0.292295196,0.084420572,-0.50016982
236,Zimbabwe,50,212.5,49.08158602,208.5967406,0.803682922,ZWE,2196,-1.836827964,1.607365845,-0.177744054,0.155539728,214,215,3.150437056,1.313609092,-4.98726502,0.304857867,0.127113813,-0.482601921
126,Mali,79,335.75,77.71944555,330.3076436,0.743068268,MLI,2817,-1.620955001,0.940592745,-0.193196891,0.112106501,215,214,1.84356178,0.222606779,-3.464516781,0.219728742,0.026531851,-0.412925633
193,Somalia,46,195.5,45.41781025,193.0256936,0.273212448,SOM,1680,-1.265629885,0.593940105,-0.147280144,0.069116244,216,217,1.164122606,-0.101507279,-2.429752491,0.135467838,-0.011812306,-0.282747982
202,Sudan (former),67,284.75,66.17409095,281.2398866,0.80093491,SDN,2318,-1.23270007,1.195425239,-0.151428535,0.146849584,217,216,2.343033468,1.110333398,-3.575733538,0.287825185,0.13639665,-0.43925372
32,Burkina Faso,76,323,75.69075576,321.685712,0.910770212,BFA,2634,-0.406900313,1.198381857,-0.049897039,0.146954191,218,218,2.34882844,1.941928127,-2.755728753,0.288030214,0.238133175,-0.337927253
150,Niger,80,340,79.70689872,338.7543196,1.100329326,NER,2535,-0.3663766,1.375411658,-0.049139268,0.184473358,219,219,2.69580685,2.32943025,-3.06218345,0.361567782,0.312428514,-0.41070705
6,Andorra,,,,,,ADO,,,,,,,,,,,,,
17,Bahrain,,,,,,BHR,,,,,,,,,,,,,
25,Bhutan,,,,,,BTN,,,,,,,,,,,,,
53,Cook Islands,,,,,,COK,,,,,,,,,,,,,
71,Equatorial Guinea,,,,,,GNQ,,,,,,,,,,,,,
128,Marshall Islands,,,,,,MHL,,,,,,,,,,,,,
135,Monaco,,,,,,MCO,,,,,,,,,,,,,
142,Nauru,,,,,,NRU,,,,,,,,,,,,,
152,Niue,,,,,,NIU,,,,,,,,,,,,,
159,Oman,,,,,,OMN,,,,,,,,,,,,,
161,Palau,,,,,,PLW,,,,,,,,,,,,,
163,Papua New Guinea,,,,,,PNG,,,,,,,,,,,,,
170,Qatar,,,,,,QAT,,,,,,,,,,,,,
180,San Marino,,,,,,SMR,,,,,,,,,,,,,
188,Singapore,,,,,,SGP,,,,,,,,,,,,,
213,Tonga,,,,,,TON,,,,,,,,,,,,,
218,Tuvalu,,,,,,TUV,,,,,,,,,,,,,
