,country,protein.amb.g,protein.amb.cal,protein.co2.g,protein.co2.cal,protein.co2.g.SE,countrycode,energy,protein.percent.decrease,protein.percent.decrease.SE,protein.calorie.ratio.difference,protein.calorie.ratio.SE,order.by.protein.percent,order.by.energy.difference,,gproteinCiub,gproteinCilb,,ratiodifferenceCiub,ratiodifferenceCilb
134,Middle Africa,60,255,57.65598318,245.0379285,1.211669514,,2363,-3.906694707,2.019449191,-0.42158576,0.217926172,93,106,3.958120414,0.051425707,-7.864815121,0.427135297,0.005549537,-0.848721057
120,Low Income Food Deficit Countries,57,242.25,54.77561198,232.7963509,0.513852864,,2486,-3.902435118,0.901496253,-0.380275506,0.08784693,94,146,1.766932656,-2.135502462,-5.669367774,0.172179983,-0.208095523,-0.552455489
55,Croatia,78,331.5,74.97657396,318.6504393,0.303159614,HRV,3009,-3.876187231,0.388666172,-0.427037576,0.042819155,95,98,0.761785697,-3.114401534,-4.637972928,0.083925544,-0.343112032,-0.51096312
178,Saint Vincent and the Grenadines,86,365.5,82.67295816,351.3600722,0.326279575,VCT,2899,-3.8686533,0.379394854,-0.487751908,0.047833328,96,68,0.743613914,-3.125039386,-4.612267214,0.093753323,-0.393998585,-0.581505231
102,Italy,106,450.5,101.9147682,433.1377646,0.460309967,ITA,3476,-3.853992309,0.434254686,-0.499488934,0.056280707,97,60,0.851139185,-3.002853124,-4.705131494,0.110310186,-0.389178748,-0.60979912
131,Melanesia,65,276.25,62.50904034,265.6634215,0.266471681,,2736,-3.832245628,0.409956433,-0.38693635,0.041392714,98,143,0.803514609,-3.028731019,-4.635760237,0.081129719,-0.305806631,-0.468066069
61,Denmark,100,425,96.17058019,408.7249658,0.328016898,DNK,3279,-3.829419812,0.328016898,-0.496341391,0.042515151,99,61,0.64291312,-3.186506692,-4.472332932,0.083329696,-0.413011695,-0.579671087
75,Europe,94,399.5,90.42361488,384.3003632,0.409450158,,3310,-3.804665019,0.435585274,-0.459203527,0.052572905,100,79,0.853747137,-2.950917882,-4.658412156,0.103042894,-0.356160633,-0.562246421
230,Western Africa,61,259.25,58.68746382,249.4217212,0.73762569,,2678,-3.791042926,1.209222442,-0.367000702,0.117061583,101,158,2.370075986,-1.42096694,-6.161118912,0.229440703,-0.137559999,-0.596441405
26,Bolivia (Plurinational State of),60,255,57.72731471,245.3410875,0.48311346,BOL,2220,-3.787808817,0.8051891,-0.435086148,0.092487937,102,88,1.578170636,-2.209638181,-5.365979453,0.181276357,-0.253809791,-0.616362505
124,Malaysia,71,301.75,68.33689611,290.4318085,0.295555958,MYS,2772,-3.750850548,0.416275997,-0.408304168,0.045314315,103,114,0.815900954,-2.934949594,-4.566751502,0.088816057,-0.319488111,-0.497120225
219,Uganda,51,216.75,49.09138386,208.6383814,1.189533373,UGA,2267,-3.742384582,2.332418379,-0.357812906,0.223004713,104,166,4.571540023,0.829155441,-8.313924605,0.437089237,0.079276331,-0.794902143
65,Eastern Africa,57,242.25,54.87150135,233.2038807,0.843378157,,2143,-3.734208154,1.479610801,-0.42212409,0.16725885,105,105,2.90003717,-0.834170984,-6.634245324,0.327827346,-0.094296744,-0.749951436
76,European Union,100,425,96.26697236,409.1346325,0.414198641,,3353,-3.733027636,0.414198641,-0.473169325,0.052500573,106,76,0.811829336,-2.9211983,-4.544856972,0.102901123,-0.370268202,-0.576070448
225,Uruguay,82,348.5,78.94021331,335.4959066,0.361620134,URY,2880,-3.731447185,0.441000164,-0.451531022,0.053364082,107,83,0.864360321,-2.867086864,-4.595807506,0.104593601,-0.346937421,-0.556124623
108,Kiribati,74,314.5,71.2452632,302.7923686,0.294927025,KIR,2999,-3.722617304,0.398550034,-0.390384509,0.04179526,108,135,0.781158067,-2.941459237,-4.503775371,0.08191871,-0.308465799,-0.472303219
133,Micronesia,74,314.5,71.2452632,302.7923686,0.294927025,FSM,2999,-3.722617304,0.398550034,-0.390384509,0.04179526,109,136,0.781158067,-2.941459237,-4.503775371,0.08191871,-0.308465799,-0.472303219
199,Southern Europe,97,412.25,93.3937646,396.9234995,0.401254077,,3258,-3.717768457,0.413663997,-0.470426656,0.052342843,110,77,0.810781434,-2.906987023,-4.528549891,0.102591972,-0.367834684,-0.573018628
111,Land Locked Developing Countries,63,267.75,60.67459744,257.8670391,0.567303349,,2362,-3.691115179,0.900481506,-0.41841494,0.102076174,111,108,1.764943752,-1.926171427,-5.456058931,0.200069301,-0.218345639,-0.618484241
94,Hungary,76,323,73.21814641,311.1771223,0.398979393,HUN,2911,-3.660333666,0.524972885,-0.40614489,0.058250169,112,117,1.028946855,-2.631386811,-4.689280521,0.114170331,-0.291974559,-0.520315221
37,Cameroon,67,284.75,64.55072089,274.3405638,1.511971369,CMR,2575,-3.655640458,2.256673685,-0.40424995,0.249548673,113,119,4.423080423,0.767439965,-8.078720881,0.489115399,0.084865449,-0.893365349
140,Myanmar,80,340,77.08528663,327.6124682,0.490541749,MMR,2497,-3.64339171,0.613177187,-0.496096588,0.083492288,114,62,1.201827287,-2.441564423,-4.845218997,0.163644884,-0.332451704,-0.659741472
54,Costa Rica,68,289,65.53416254,278.5201908,1.019286161,CRI,2857,-3.626231562,1.498950237,-0.366811663,0.151626398,115,159,2.937942465,-0.688289097,-6.564174027,0.29718774,-0.069623923,-0.663999403
179,Samoa,78,331.5,75.17360496,319.4878211,0.379732508,WSM,2833,-3.623583387,0.486836549,-0.42400914,0.056966578,116,102,0.954199636,-2.669383751,-4.577783023,0.111654493,-0.312354647,-0.535663633
84,Germany,98,416.5,94.45489503,401.4333039,0.36282913,DEU,3481,-3.617454052,0.370233807,-0.432826663,0.044298299,117,90,0.725658262,-2.89179579,-4.343112314,0.086824666,-0.346001997,-0.519651329
92,Haiti,41,174.25,39.5214771,167.9662777,0.7234709,HTI,2095,-3.60615342,1.764563171,-0.299939014,0.146766173,118,199,3.458543815,-0.147609605,-7.064697235,0.287661699,-0.012277315,-0.587600713
31,Bulgaria,77,327.25,74.22943173,315.4750848,0.367407507,BGR,2827,-3.598140616,0.477152606,-0.416516277,0.055234592,119,109,0.935219108,-2.662921508,-4.533359724,0.1082598,-0.308256477,-0.524776077
169,Portugal,107,454.75,103.1622847,438.4397099,0.434441899,PRT,3395,-3.586649831,0.406020466,-0.480420916,0.054385216,120,74,0.795800113,-2.790849718,-4.382449944,0.106595023,-0.373825893,-0.587015939
146,Netherlands Antilles,88.2,374.85,85.04125928,361.4253519,0.296246825,ANT,3102,-3.581338688,0.335880754,-0.432773955,0.040588298,121,91,0.658326278,-2.92301241,-4.239664966,0.079553064,-0.353220891,-0.512327019
186,Seychelles,77.6,329.8,74.82625167,318.0115696,0.337272777,SYC,2426,-3.57441795,0.434629868,-0.485920462,0.059085297,122,70,0.851874541,-2.722543409,-4.426292491,0.115807182,-0.37011328,-0.601727644
81,Gabon,79,335.75,76.20174783,323.8574283,0.629751436,GAB,2736,-3.542091351,0.797153716,-0.434670019,0.097823231,123,89,1.562421283,-1.979670068,-5.104512634,0.191733533,-0.242936486,-0.626403552
155,Northern Europe,97,412.25,93.56429965,397.6482735,0.403076446,,3313,-3.541959122,0.415542728,-0.44074031,0.051707664,124,85,0.814463747,-2.727495375,-4.356422869,0.101347021,-0.339393289,-0.542087331
130,Mauritius,85,361.25,81.9946731,348.4773607,0.33461913,MUS,3022,-3.535678704,0.393669564,-0.422655173,0.047059275,125,104,0.771592345,-2.764086359,-4.307271049,0.092236179,-0.330418994,-0.514891352
160,Pakistan,61,259.25,58.84768966,250.102681,0.290245703,PAK,2410,-3.528377613,0.475812628,-0.379556803,0.051184408,126,148,0.932592751,-2.595784862,-4.460970364,0.10032144,-0.279235363,-0.479878243
144,Net Food Importing Developing Countries,66,280.5,63.67158916,270.6042539,0.52325455,,2481,-3.527895206,0.792809924,-0.398861187,0.089634496,127,127,1.553907451,-1.973987755,-5.081802657,0.175683612,-0.223177575,-0.574544799
184,Serbia,76,323,73.3195783,311.6082078,0.609866184,SRB,2662,-3.526870659,0.802455505,-0.427941106,0.097367817,128,96,1.57281279,-1.954057869,-5.099683449,0.190840921,-0.237100185,-0.618782027
21,Belgium,98,416.5,94.5447853,401.8153375,0.513523144,BEL,3733,-3.525729283,0.524003208,-0.393374296,0.058464328,129,130,1.027046288,-2.498682995,-4.552775571,0.114590083,-0.278784213,-0.507964379
78,Finland,109,463.25,105.1571635,446.9179447,0.337977376,FIN,3221,-3.525538105,0.310070987,-0.507049217,0.044594966,130,53,0.607739135,-2.91779897,-4.13327724,0.087406133,-0.419643084,-0.59445535
204,Swaziland,53,225.25,51.13362069,217.3178879,0.581764471,SWZ,2252,-3.5214704,1.097668814,-0.352225225,0.109791252,131,170,2.151430875,-1.370039525,-5.672901275,0.215190854,-0.137034371,-0.567416079
222,United Kingdom,95,403.75,91.69190762,389.6906074,0.372348558,GBR,3337,-3.482202509,0.391945851,-0.421318329,0.047422277,132,107,0.768213868,-2.713988641,-4.250416377,0.092947663,-0.328370666,-0.514265992
58,Czech Republic,83,352.75,80.11638562,340.4946389,0.312880267,CZE,3223,-3.474234196,0.376964178,-0.38024701,0.04125787,133,147,0.738849789,-2.735384407,-4.213083985,0.080865425,-0.299381585,-0.461112435
