"","countrycode","country","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","AFG","Afghanistan",0.56191441287324,NA,3.77395172902699,NA,3.70139195793992,3.73974528797892,3.6615087802267,NA,NA,NA
"123","AFRICA","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","AGO","Angola",0.646631620863716,0.5189060482667,3.72275940617391,3.79719388926044,3.67711979913873,3.70173101900403,3.65188755072292,3.75155428222526,3.77616550209057,3.72632203380946
"125","ALB","Albania",0.599135713292891,0.500758143565517,4.02521081791948,4.07931326021737,3.957676028564,3.9847607808614,3.92983722170001,4.0117784708619,4.03886322315929,3.98393966399791
"126","Americas","Americas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","ANR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","ANT",NA,NA,0.457657321783676,NA,NA,NA,NA,NA,NA,NA,NA
"130","ARB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","ARE","United Arab Emirates",NA,0.441298172206176,NA,4.27207581407077,NA,NA,NA,4.22302365209533,4.24413694534622,4.20145495534322
"132","ARG","Argentina",0.657608912161723,0.435653040426273,4.12758068117642,4.24890863603736,4.09677194893232,4.11233429403232,4.08096358355112,4.21809990379326,4.23366224889326,4.20229153841206
"133","ARM","Armenia",0.581073022504838,0.434702311372534,3.99006015461822,4.06440003360336,3.91423073487219,3.93999100917552,3.88778928284833,3.98857061385733,4.01433088816066,3.96212916183347
"134","ASIA","Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","ATG","Antigua and Barbuda",NA,0.462057544319324,NA,4.12735791746606,NA,NA,NA,4.09852468238277,4.10862102647233,4.088325361557
"137","AUS","Australia",0.603009564895096,0.428936867281207,4.18763758478954,4.27745443441051,4.1559735406118,4.16756539896859,4.14424573363758,4.24579039023278,4.25738224858957,4.23406258325856
"138","Australia and New Zealand","Australia & New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
