YEAR,COUNTRY,SEX,Numeric
1989,CIV,MLE,21.5
1990,CIV,MLE,21.6
1991,CIV,MLE,21.6
2004,CIV,MLE,22.3
2005,CIV,MLE,22.3
2006,CIV,MLE,22.4
2007,CIV,MLE,22.5
1980,HRV,MLE,25.1
1993,HRV,MLE,25.5
1994,HRV,MLE,25.5
1995,HRV,MLE,25.5
1996,HRV,MLE,25.6
1982,CUB,MLE,22.8
1983,CUB,MLE,22.9
1984,CUB,MLE,23
1985,CUB,MLE,23.1
1998,CUB,MLE,23.8
1999,CUB,MLE,23.9
2000,CUB,MLE,24.1
2001,CUB,MLE,24.2
2002,CUB,MLE,24.3
1987,CYP,MLE,25.6
1988,CYP,MLE,25.7
1989,CYP,MLE,25.8
1990,CYP,MLE,25.9
2004,CYP,MLE,27.1
2005,CYP,MLE,27.2
2006,CYP,MLE,27.3
2007,CYP,MLE,27.4
1993,CZE,MLE,26.9
1994,CZE,MLE,26.9
1995,CZE,MLE,27
1996,CZE,MLE,27
1981,DNK,MLE,24.6
1982,DNK,MLE,24.6
1983,DNK,MLE,24.6
1984,DNK,MLE,24.6
1998,DNK,MLE,25.2
1999,DNK,MLE,25.2
2000,DNK,MLE,25.3
2001,DNK,MLE,25.4
1987,DJI,MLE,21.8
1988,DJI,MLE,21.9
1989,DJI,MLE,22
1990,DJI,MLE,22
2003,DJI,MLE,22.9
2004,DJI,MLE,23
2005,DJI,MLE,23.1
2006,DJI,MLE,23.2
2007,DJI,MLE,23.3
1992,DMA,MLE,23.2
1993,DMA,MLE,23.3
1994,DMA,MLE,23.3
1995,DMA,MLE,23.4
1981,DOM,MLE,22.9
1982,DOM,MLE,23
1983,DOM,MLE,23
1984,DOM,MLE,23.1
1998,DOM,MLE,24
1999,DOM,MLE,24.1
2000,DOM,MLE,24.2
2001,DOM,MLE,24.3
1986,TLS,MLE,20
1987,TLS,MLE,20
1988,TLS,MLE,20.1
1989,TLS,MLE,20.1
2003,TLS,MLE,20.7
2004,TLS,MLE,20.7
2005,TLS,MLE,20.7
2006,TLS,MLE,20.7
1992,ECU,MLE,24.4
1993,ECU,MLE,24.5
1994,ECU,MLE,24.6
1995,ECU,MLE,24.6
1980,EGY,MLE,24.1
1981,EGY,MLE,24.2
1982,EGY,MLE,24.3
1983,EGY,MLE,24.4
1984,EGY,MLE,24.5
1997,EGY,MLE,25.7
1998,EGY,MLE,25.8
1999,EGY,MLE,25.9
2000,EGY,MLE,26
1986,SLV,MLE,24
1987,SLV,MLE,24.1
1988,SLV,MLE,24.2
1989,SLV,MLE,24.3
2003,SLV,MLE,25.8
2004,SLV,MLE,25.9
2005,SLV,MLE,26
2006,SLV,MLE,26.1
1991,GNQ,MLE,21.2
1992,GNQ,MLE,21.3
1993,GNQ,MLE,21.3
1994,GNQ,MLE,21.3
1980,ERI,MLE,19.8
1981,ERI,MLE,19.9
1982,ERI,MLE,19.9
1983,ERI,MLE,19.9
1997,ERI,MLE,20.5
1998,ERI,MLE,20.6
1999,ERI,MLE,20.7
2000,ERI,MLE,20.7
1985,EST,MLE,24.7
1986,EST,MLE,24.7
1987,EST,MLE,24.7
1988,EST,MLE,24.7
1989,EST,MLE,24.8
2002,EST,MLE,25.5
2003,EST,MLE,25.6
2004,EST,MLE,25.7
2005,EST,MLE,25.9
1991,ETH,MLE,19.6
1992,ETH,MLE,19.6
1981,AFG,MLE,21.4
1983,AFG,MLE,21.4
1990,AFG,MLE,21.2
1992,AFG,MLE,21.1
1999,AFG,MLE,20.8
2001,AFG,MLE,20.7
2006,AFG,MLE,20.7
1980,ALB,MLE,25
1987,ALB,MLE,25.1
1989,ALB,MLE,25.2
1996,ALB,MLE,25.2
1998,ALB,MLE,25.3
2003,ALB,MLE,25.9
2005,ALB,MLE,26.2
2007,ALB,MLE,26.5
1984,DZA,MLE,22.5
1986,DZA,MLE,22.7
1993,DZA,MLE,23.2
1995,DZA,MLE,23.4
2000,DZA,MLE,23.8
2002,DZA,MLE,24
2004,DZA,MLE,24.2
1981,AND,MLE,25.7
1983,AND,MLE,25.8
1990,AND,MLE,26.1
1992,AND,MLE,26.2
1997,AND,MLE,26.6
1999,AND,MLE,26.7
2001,AND,MLE,26.9
2006,AND,MLE,27.4
1980,AGO,MLE,20.9
1987,AGO,MLE,20.9
1989,AGO,MLE,21
1996,AGO,MLE,21.2
1998,AGO,MLE,21.3
2003,AGO,MLE,21.6
2005,AGO,MLE,21.8
1984,ATG,MLE,23.6
1986,ATG,MLE,23.8
1993,ATG,MLE,24.5
1995,ATG,MLE,24.7
2000,ATG,MLE,25
2002,ATG,MLE,25.2
1981,ARG,MLE,25.4
1983,ARG,MLE,25.5
1990,ARG,MLE,25.9
1992,ARG,MLE,26.1
1997,ARG,MLE,26.6
1999,ARG,MLE,26.8
2006,ARG,MLE,27.3
1980,ARM,MLE,23.8
1987,ARM,MLE,24.1
1989,ARM,MLE,24.1
1994,ARM,MLE,24
1996,ARM,MLE,24
2003,ARM,MLE,24.5
2005,ARM,MLE,24.8
1984,AUS,MLE,25.2
1986,AUS,MLE,25.4
1991,AUS,MLE,25.9
1993,AUS,MLE,26.1
2000,AUS,MLE,26.7
2002,AUS,MLE,26.9
1981,AUT,MLE,24.8
1983,AUT,MLE,24.9
1988,AUT,MLE,25.1
1990,AUT,MLE,25.3
1997,AUT,MLE,25.7
1999,AUT,MLE,25.8
2006,AUT,MLE,26.3
1980,AZE,MLE,24.4
1985,AZE,MLE,24.6
1987,AZE,MLE,24.7
1994,AZE,MLE,24.7
1996,AZE,MLE,24.5
2003,AZE,MLE,24.8
2005,AZE,MLE,25.1
1982,BHS,MLE,24.4
1984,BHS,MLE,24.6
1986,BHS,MLE,24.9
1991,BHS,MLE,25.4
1993,BHS,MLE,25.5
2000,BHS,MLE,26.3
2002,BHS,MLE,26.6
2007,BHS,MLE,27.3
1981,BHR,MLE,24
1983,BHR,MLE,24.3
1988,BHR,MLE,24.8
1990,BHR,MLE,25.1
1997,BHR,MLE,26.2
1999,BHR,MLE,26.5
2006,BHR,MLE,27.5
1980,BGD,MLE,20.5
1985,BGD,MLE,20.3
1987,BGD,MLE,20.2
1994,BGD,MLE,20.1
1996,BGD,MLE,20.1
2003,BGD,MLE,20.3
2005,BGD,MLE,20.3
1982,BRB,MLE,24.5
1984,BRB,MLE,24.6
1991,BRB,MLE,25
1993,BRB,MLE,25.1
2000,BRB,MLE,25.7
2002,BRB,MLE,25.9
2007,BRB,MLE,26.5
1981,BLR,MLE,24.8
1988,BLR,MLE,24.9
1990,BLR,MLE,25
1997,BLR,MLE,25.1
1999,BLR,MLE,25.2
2004,BLR,MLE,25.6
2006,BLR,MLE,25.9
1985,BEL,MLE,25.2
1987,BEL,MLE,25.3
1994,BEL,MLE,25.8
1996,BEL,MLE,25.9
2001,BEL,MLE,26.2
2003,BEL,MLE,26.4
1982,BLZ,MLE,24.5
1984,BLZ,MLE,24.6
1991,BLZ,MLE,25.1
1993,BLZ,MLE,25.3
1998,BLZ,MLE,25.8
2000,BLZ,MLE,26
2007,BLZ,MLE,27
1981,BEN,MLE,20.9
1988,BEN,MLE,21.1
1990,BEN,MLE,21.2
1995,BEN,MLE,21.5
1997,BEN,MLE,21.6
2004,BEN,MLE,22.1
2006,BEN,MLE,22.3
1985,BTN,MLE,21.6
1987,BTN,MLE,21.7
1992,BTN,MLE,21.8
1994,BTN,MLE,21.9
1996,BTN,MLE,22
2001,BTN,MLE,22.3
2003,BTN,MLE,22.4
1982,BOL,MLE,23
1984,BOL,MLE,23
1989,BOL,MLE,23.2
1991,BOL,MLE,23.3
1993,BOL,MLE,23.4
1998,BOL,MLE,23.8
2000,BOL,MLE,23.9
2007,BOL,MLE,24.4
1981,BIH,MLE,25.1
1986,BIH,MLE,25.3
1988,BIH,MLE,25.3
1990,BIH,MLE,25.3
1995,BIH,MLE,25
1997,BIH,MLE,25.1
2004,BIH,MLE,26.2
2006,BIH,MLE,26.5
1985,BWA,MLE,19.7
1987,BWA,MLE,19.8
1992,BWA,MLE,20.3
1994,BWA,MLE,20.5
2001,BWA,MLE,21.2
2003,BWA,MLE,21.4
1982,BRA,MLE,22.8
1984,BRA,MLE,23
1989,BRA,MLE,23.5
1991,BRA,MLE,23.7
1998,BRA,MLE,24.5
2000,BRA,MLE,24.7
2007,BRA,MLE,25.6
1981,BRN,MLE,23.3
1986,BRN,MLE,23.4
1988,BRN,MLE,23.5
1995,BRN,MLE,23.7
1997,BRN,MLE,23.8
2004,BRN,MLE,24
2006,BRN,MLE,24.1
1983,BGR,MLE,25.3
1985,BGR,MLE,25.4
1992,BGR,MLE,25.6
1994,BGR,MLE,25.6
2001,BGR,MLE,25.9
2003,BGR,MLE,26
1980,BFA,MLE,20
1982,BFA,MLE,20
1989,BFA,MLE,20.3
1991,BFA,MLE,20.3
1998,BFA,MLE,20.6
2000,BFA,MLE,20.7
2005,BFA,MLE,21
2007,BFA,MLE,21.2
1986,BDI,MLE,21.2
1988,BDI,MLE,21.3
1995,BDI,MLE,21.4
1997,BDI,MLE,21.4
2002,BDI,MLE,21.4
2004,BDI,MLE,21.5
2006,BDI,MLE,21.6
1983,KHM,MLE,20
1985,KHM,MLE,20
1992,KHM,MLE,20.2
1994,KHM,MLE,20.3
1999,KHM,MLE,20.6
2001,KHM,MLE,20.7
2003,KHM,MLE,20.8
1980,CMR,MLE,21.8
1982,CMR,MLE,22
1989,CMR,MLE,22.5
1991,CMR,MLE,22.5
1996,CMR,MLE,22.7
1998,CMR,MLE,22.8
2000,CMR,MLE,22.9
2005,CMR,MLE,23.4
2007,CMR,MLE,23.6
1986,CAN,MLE,25.8
1988,CAN,MLE,25.9
1995,CAN,MLE,26.6
1997,CAN,MLE,26.7
2002,CAN,MLE,27.1
2004,CAN,MLE,27.2
1983,CPV,MLE,20.8
1985,CPV,MLE,21
1992,CPV,MLE,21.7
1994,CPV,MLE,21.8
1999,CPV,MLE,22.4
2001,CPV,MLE,22.6
1980,CAF,MLE,20.9
1982,CAF,MLE,20.9
1989,CAF,MLE,20.8
1991,CAF,MLE,20.8
1996,CAF,MLE,20.8
1998,CAF,MLE,20.8
2005,CAF,MLE,21
2007,CAF,MLE,21.1
1986,TCD,MLE,20.3
1988,TCD,MLE,20.4
1993,TCD,MLE,20.6
1995,TCD,MLE,20.7
2002,TCD,MLE,21
2004,TCD,MLE,21.2
1983,CHL,MLE,24.6
1985,CHL,MLE,24.7
1990,CHL,MLE,25.1
1992,CHL,MLE,25.3
1999,CHL,MLE,26.1
2001,CHL,MLE,26.3
1980,CHN,MLE,21.6
1982,CHN,MLE,21.6
1987,CHN,MLE,21.8
1989,CHN,MLE,21.9
1996,CHN,MLE,22.3
1998,CHN,MLE,22.4
2005,CHN,MLE,22.8
2007,CHN,MLE,22.9
1984,COL,MLE,22.5
1986,COL,MLE,22.6
1993,COL,MLE,23.4
1995,COL,MLE,23.6
2002,COL,MLE,24.3
2004,COL,MLE,24.5
1981,COM,MLE,21
1983,COM,MLE,21.1
1985,COM,MLE,21.1
1990,COM,MLE,21.4
1992,COM,MLE,21.5
1999,COM,MLE,21.8
2001,COM,MLE,21.8
2006,COM,MLE,22.1
1980,COG,MLE,20.6
1982,COG,MLE,20.7
1987,COG,MLE,21
1989,COG,MLE,21.1
1996,COG,MLE,21.2
1998,COG,MLE,21.3
2005,COG,MLE,21.7
2007,COG,MLE,21.8
1984,COD,MLE,20.6
1986,COD,MLE,20.6
1993,COD,MLE,20.5
1995,COD,MLE,20.4
2002,COD,MLE,19.9
2004,COD,MLE,19.8
1981,COK,MLE,26.5
1983,COK,MLE,26.9
1990,COK,MLE,28.6
1992,COK,MLE,29
1999,COK,MLE,30.5
2001,COK,MLE,30.9
2006,COK,MLE,32.1
1980,CRI,MLE,23.7
1987,CRI,MLE,24.2
1989,CRI,MLE,24.3
1996,CRI,MLE,25.1
1998,CRI,MLE,25.3
2003,CRI,MLE,25.9
2005,CRI,MLE,26.1
1984,CIV,MLE,21.3
1986,CIV,MLE,21.4
1993,CIV,MLE,21.7
1995,CIV,MLE,21.7
2000,CIV,MLE,22
2002,CIV,MLE,22.1
1981,HRV,MLE,25.2
1983,HRV,MLE,25.2
1990,HRV,MLE,25.5
1992,HRV,MLE,25.5
1997,HRV,MLE,25.6
1999,HRV,MLE,25.8
2006,HRV,MLE,26.5
1980,CUB,MLE,22.6
1987,CUB,MLE,23.2
1989,CUB,MLE,23.4
1994,CUB,MLE,23.6
1996,CUB,MLE,23.7
2003,CUB,MLE,24.4
2005,CUB,MLE,24.7
1984,CYP,MLE,25.4
1986,CYP,MLE,25.6
1991,CYP,MLE,25.9
1993,CYP,MLE,26.1
1995,CYP,MLE,26.3
2000,CYP,MLE,26.8
2002,CYP,MLE,26.9
1981,CZE,MLE,26.3
1983,CZE,MLE,26.4
1988,CZE,MLE,26.6
1990,CZE,MLE,26.7
1992,CZE,MLE,26.8
1997,CZE,MLE,27.1
1999,CZE,MLE,27.2
2006,CZE,MLE,27.8
1980,DNK,MLE,24.6
1985,DNK,MLE,24.6
1987,DNK,MLE,24.6
1989,DNK,MLE,24.7
1994,DNK,MLE,24.9
1996,DNK,MLE,25
2003,DNK,MLE,25.6
2005,DNK,MLE,25.8
1984,DJI,MLE,21.6
1986,DJI,MLE,21.7
1991,DJI,MLE,22.1
1993,DJI,MLE,22.2
2000,DJI,MLE,22.6
2002,DJI,MLE,22.8
1981,DMA,MLE,22.2
1983,DMA,MLE,22.3
1988,DMA,MLE,22.7
1990,DMA,MLE,23
1997,DMA,MLE,23.6
1999,DMA,MLE,23.8
2006,DMA,MLE,24.4
1980,DOM,MLE,22.9
1985,DOM,MLE,23.1
1987,DOM,MLE,23.2
1994,DOM,MLE,23.7
1996,DOM,MLE,23.8
2003,DOM,MLE,24.6
2005,DOM,MLE,24.9
1982,TLS,MLE,19.9
1984,TLS,MLE,20
1991,TLS,MLE,20.2
1993,TLS,MLE,20.3
2000,TLS,MLE,20.7
2002,TLS,MLE,20.7
2007,TLS,MLE,20.7
1981,ECU,MLE,23.8
1988,ECU,MLE,24.1
1990,ECU,MLE,24.3
1997,ECU,MLE,24.8
1999,ECU,MLE,24.9
2004,ECU,MLE,25.3
2006,ECU,MLE,25.5
1985,EGY,MLE,24.6
1987,EGY,MLE,24.8
1994,EGY,MLE,25.4
1996,EGY,MLE,25.6
2001,EGY,MLE,26.1
2003,EGY,MLE,26.3
2005,EGY,MLE,26.5
1982,SLV,MLE,23.8
1984,SLV,MLE,23.9
1991,SLV,MLE,24.4
1993,SLV,MLE,24.6
1998,SLV,MLE,25.2
2000,SLV,MLE,25.4
2002,SLV,MLE,25.7
2007,SLV,MLE,26.3
1981,GNQ,MLE,21.1
1988,GNQ,MLE,21.2
1990,GNQ,MLE,21.2
1995,GNQ,MLE,21.4
1997,GNQ,MLE,21.6
1999,GNQ,MLE,21.9
2004,GNQ,MLE,23
2006,GNQ,MLE,23.4
1985,ERI,MLE,20
1987,ERI,MLE,20
1994,ERI,MLE,20.3
1996,ERI,MLE,20.5
2001,ERI,MLE,20.7
2003,ERI,MLE,20.8
1982,EST,MLE,24.7
1984,EST,MLE,24.7
1991,EST,MLE,24.8
1993,EST,MLE,24.8
1998,EST,MLE,25
2000,EST,MLE,25.2
2007,EST,MLE,26.2
1981,ETH,MLE,19.4
1993,ETH,MLE,19.6
1994,ETH,MLE,19.6
1980,FJI,MLE,22.3
1981,FJI,MLE,22.5
1982,FJI,MLE,22.6
1983,FJI,MLE,22.7
1996,FJI,MLE,24.6
1997,FJI,MLE,24.8
1998,FJI,MLE,24.9
1999,FJI,MLE,25.1
1985,FIN,MLE,25.5
1986,FIN,MLE,25.6
1987,FIN,MLE,25.6
1988,FIN,MLE,25.6
2002,FIN,MLE,26.2
2003,FIN,MLE,26.3
2004,FIN,MLE,26.4
2005,FIN,MLE,26.5
1990,FRA,MLE,25
1991,FRA,MLE,25
1992,FRA,MLE,25
1993,FRA,MLE,25.1
1994,FRA,MLE,25.1
2007,FRA,MLE,25.8
1980,GAB,MLE,22.4
1981,GAB,MLE,22.4
1982,GAB,MLE,22.5
1996,GAB,MLE,23.3
1997,GAB,MLE,23.3
1998,GAB,MLE,23.4
1999,GAB,MLE,23.5
1985,GEO,MLE,24.8
1986,GEO,MLE,24.8
1987,GEO,MLE,24.9
1988,GEO,MLE,24.9
2001,GEO,MLE,24.7
2002,GEO,MLE,24.8
2003,GEO,MLE,24.9
2004,GEO,MLE,25
1990,DEU,MLE,25.9
1991,DEU,MLE,26
1992,DEU,MLE,26.1
1993,DEU,MLE,26.2
2007,DEU,MLE,27.1
1980,GHA,MLE,21
1981,GHA,MLE,21
1982,GHA,MLE,21
1995,GHA,MLE,21.6
1996,GHA,MLE,21.7
1997,GHA,MLE,21.8
1998,GHA,MLE,21.9
1999,GHA,MLE,22
1984,GRC,MLE,24.9
1985,GRC,MLE,24.9
1986,GRC,MLE,24.9
1987,GRC,MLE,25
2001,GRC,MLE,25.7
2002,GRC,MLE,25.8
2003,GRC,MLE,25.9
2004,GRC,MLE,26
1990,GRD,MLE,23.8
1991,GRD,MLE,23.8
1992,GRD,MLE,23.9
1993,GRD,MLE,23.9
2006,GRD,MLE,25.1
2007,GRD,MLE,25.3
1980,GTM,MLE,23.1
1981,GTM,MLE,23.2
1995,GTM,MLE,24.2
1996,GTM,MLE,24.2
1997,GTM,MLE,24.3
1998,GTM,MLE,24.4
1984,GIN,MLE,21.2
1985,GIN,MLE,21.2
1986,GIN,MLE,21.2
1987,GIN,MLE,21.3
2000,GIN,MLE,21.9
2001,GIN,MLE,22
2002,GIN,MLE,22
2003,GIN,MLE,22.1
2004,GIN,MLE,22.2
1989,GNB,MLE,21
1990,GNB,MLE,21
1991,GNB,MLE,21.1
1992,GNB,MLE,21.1
2006,GNB,MLE,21.5
2007,GNB,MLE,21.6
1980,GUY,MLE,22.5
1981,GUY,MLE,22.6
1995,GUY,MLE,22.9
1996,GUY,MLE,23
1997,GUY,MLE,23.1
1998,GUY,MLE,23.2
1983,HTI,MLE,22.8
1984,HTI,MLE,22.9
1985,HTI,MLE,22.9
1986,HTI,MLE,22.9
2000,HTI,MLE,23.2
2001,HTI,MLE,23.3
2002,HTI,MLE,23.4
2003,HTI,MLE,23.4
1989,HND,MLE,23.6
1990,HND,MLE,23.7
1991,HND,MLE,23.7
1992,HND,MLE,23.8
2005,HND,MLE,24.8
2006,HND,MLE,24.9
2007,HND,MLE,25
1980,HUN,MLE,25.2
1981,HUN,MLE,25.3
1994,HUN,MLE,26
1995,HUN,MLE,26.1
1996,HUN,MLE,26.1
1997,HUN,MLE,26.2
1983,ISL,MLE,25
1984,ISL,MLE,25.1
1985,ISL,MLE,25.2
1986,ISL,MLE,25.3
2000,ISL,MLE,26.3
2001,ISL,MLE,26.4
2002,ISL,MLE,26.5
2003,ISL,MLE,26.6
1988,IND,MLE,20.7
1989,IND,MLE,20.7
1990,IND,MLE,20.7
1991,IND,MLE,20.7
2005,IND,MLE,20.9
2006,IND,MLE,21
2007,IND,MLE,21
1980,IDN,MLE,19.9
1994,IDN,MLE,20.7
1995,IDN,MLE,20.8
1996,IDN,MLE,20.9
1997,IDN,MLE,20.9
1982,IRN,MLE,23.2
1983,IRN,MLE,23.3
1984,IRN,MLE,23.4
1985,IRN,MLE,23.5
1986,IRN,MLE,23.6
1999,IRN,MLE,24.7
2000,IRN,MLE,24.8
2001,IRN,MLE,24.9
2002,IRN,MLE,24.9
1988,IRQ,MLE,25.5
1989,IRQ,MLE,25.6
1990,IRQ,MLE,25.6
1991,IRQ,MLE,25.6
2004,IRQ,MLE,26.5
2005,IRQ,MLE,26.5
2006,IRQ,MLE,26.6
2007,IRQ,MLE,26.7
1980,IRL,MLE,25.8
1993,IRL,MLE,26.3
1994,IRL,MLE,26.4
1995,IRL,MLE,26.4
1996,IRL,MLE,26.5
1982,ISR,MLE,24.8
1983,ISR,MLE,24.8
1984,ISR,MLE,24.9
1985,ISR,MLE,25
1999,ISR,MLE,26.1
2000,ISR,MLE,26.3
2001,ISR,MLE,26.4
2002,ISR,MLE,26.5
1987,ITA,MLE,25.4
1988,ITA,MLE,25.5
1989,ITA,MLE,25.5
1990,ITA,MLE,25.5
1991,ITA,MLE,25.6
2004,ITA,MLE,26.2
2005,ITA,MLE,26.3
2006,ITA,MLE,26.4
2007,ITA,MLE,26.4
1993,JAM,MLE,22.8
1994,JAM,MLE,22.9
1995,JAM,MLE,23
1996,JAM,MLE,23
1981,JPN,MLE,22.1
1982,JPN,MLE,22.1
1983,JPN,MLE,22.1
1984,JPN,MLE,22.1
1985,JPN,MLE,22.2
1998,JPN,MLE,22.9
1999,JPN,MLE,23
2000,JPN,MLE,23.1
2001,JPN,MLE,23.1
1987,JOR,MLE,25.4
1988,JOR,MLE,25.6
1989,JOR,MLE,25.7
1990,JOR,MLE,25.7
2004,JOR,MLE,27.1
2005,JOR,MLE,27.2
2006,JOR,MLE,27.3
2007,JOR,MLE,27.4
1992,KAZ,MLE,25
1993,KAZ,MLE,25
1994,KAZ,MLE,25
1995,KAZ,MLE,24.9
1996,KAZ,MLE,24.9
1981,KEN,MLE,20.3
1982,KEN,MLE,20.3
1983,KEN,MLE,20.4
1984,KEN,MLE,20.4
1998,KEN,MLE,21.1
1999,KEN,MLE,21.1
2000,KEN,MLE,21.2
2001,KEN,MLE,21.2
1986,KIR,MLE,25.9
1987,KIR,MLE,26
1988,KIR,MLE,26.1
1989,KIR,MLE,26.2
1990,KIR,MLE,26.4
2003,KIR,MLE,28.5
2004,KIR,MLE,28.6
2005,KIR,MLE,28.8
2006,KIR,MLE,28.9
1992,KWT,MLE,26.7
1993,KWT,MLE,26.8
1994,KWT,MLE,27
1995,KWT,MLE,27.2
1981,KGZ,MLE,24.3
1982,KGZ,MLE,24.3
1983,KGZ,MLE,24.4
1984,KGZ,MLE,24.4
1997,KGZ,MLE,24.2
1998,KGZ,MLE,24.2
1999,KGZ,MLE,24.2
2000,KGZ,MLE,24.2
1986,LAO,MLE,19.7
1987,LAO,MLE,19.8
1988,LAO,MLE,19.8
1989,LAO,MLE,19.9
2003,LAO,MLE,20.7
2004,LAO,MLE,20.8
2005,LAO,MLE,20.8
2006,LAO,MLE,20.9
1991,LVA,MLE,25.3
1992,LVA,MLE,25.3
1993,LVA,MLE,25.3
1994,LVA,MLE,25.3
1995,LVA,MLE,25.3
1980,LBN,MLE,23.9
1981,LBN,MLE,24
1982,LBN,MLE,24.1
1983,LBN,MLE,24.2
1997,LBN,MLE,26
1998,LBN,MLE,26.2
1999,LBN,MLE,26.3
2000,LBN,MLE,26.4
1986,LSO,MLE,20.5
1987,LSO,MLE,20.5
1988,LSO,MLE,20.5
1989,LSO,MLE,20.5
2002,LSO,MLE,21.2
2003,LSO,MLE,21.3
2004,LSO,MLE,21.4
2005,LSO,MLE,21.5
1991,LBR,MLE,21.3
1992,LBR,MLE,21.4
1993,LBR,MLE,21.4
1994,LBR,MLE,21.4
1980,LBY,MLE,24.3
1981,LBY,MLE,24.4
1982,LBY,MLE,24.5
1983,LBY,MLE,24.6
1996,LBY,MLE,25.6
1997,LBY,MLE,25.7
1998,LBY,MLE,25.8
1999,LBY,MLE,25.8
2000,LBY,MLE,25.9
1985,LTU,MLE,26
1986,LTU,MLE,26
1987,LTU,MLE,26
1988,LTU,MLE,26
2002,LTU,MLE,26.2
2003,LTU,MLE,26.3
2004,LTU,MLE,26.4
2005,LTU,MLE,26.5
1991,LUX,MLE,25.7
1992,LUX,MLE,25.9
1993,LUX,MLE,26
1994,LUX,MLE,26.1
2007,LUX,MLE,27.3
1980,MKD,MLE,25.2
1981,MKD,MLE,25.3
1982,MKD,MLE,25.3
1996,MKD,MLE,25.5
1997,MKD,MLE,25.6
1998,MKD,MLE,25.6
1999,MKD,MLE,25.7
1985,MDG,MLE,20.7
1986,MDG,MLE,20.7
1987,MDG,MLE,20.8
1988,MDG,MLE,20.8
2001,MDG,MLE,21.2
2002,MDG,MLE,21.2
2003,MDG,MLE,21.2
2004,MDG,MLE,21.3
2005,MDG,MLE,21.3
1990,MWI,MLE,20.8
1991,MWI,MLE,20.9
1992,MWI,MLE,20.9
1993,MWI,MLE,20.9
2007,MWI,MLE,21.9
1980,MYS,MLE,21.6
1981,MYS,MLE,21.7
1982,MYS,MLE,21.8
1996,MYS,MLE,23.4
1997,MYS,MLE,23.5
1998,MYS,MLE,23.7
1999,MYS,MLE,23.8
1984,MDV,MLE,20.7
1985,MDV,MLE,20.9
1986,MDV,MLE,21
1987,MDV,MLE,21.1
2001,MDV,MLE,22.5
2002,MDV,MLE,22.6
2003,MDV,MLE,22.7
2004,MDV,MLE,22.8
1990,MLI,MLE,20.5
1991,MLI,MLE,20.5
1992,MLI,MLE,20.6
1993,MLI,MLE,20.6
2006,MLI,MLE,21.6
2007,MLI,MLE,21.7
1980,MLT,MLE,25.6
1981,MLT,MLE,25.7
1982,MLT,MLE,25.7
1995,MLT,MLE,26.6
1996,MLT,MLE,26.7
1997,MLT,MLE,26.8
1998,MLT,MLE,26.9
1984,MHL,MLE,25.3
1985,MHL,MLE,25.5
1986,MHL,MLE,25.7
1987,MHL,MLE,25.8
2001,MHL,MLE,28.2
2002,MHL,MLE,28.4
2003,MHL,MLE,28.6
2004,MHL,MLE,28.7
1989,MRT,MLE,21.2
1990,MRT,MLE,21.3
1991,MRT,MLE,21.4
1992,MRT,MLE,21.4
2006,MRT,MLE,22.4
2007,MRT,MLE,22.5
1980,MUS,MLE,22
1981,MUS,MLE,22.1
1995,MUS,MLE,23.7
1996,MUS,MLE,23.8
1997,MUS,MLE,23.9
1998,MUS,MLE,24
1983,MEX,MLE,24.9
1984,MEX,MLE,25
1985,MEX,MLE,25.1
1986,MEX,MLE,25.2
1987,MEX,MLE,25.3
2000,MEX,MLE,26.6
2001,MEX,MLE,26.7
2002,MEX,MLE,26.8
2003,MEX,MLE,26.9
1989,FSM,MLE,25.6
1990,FSM,MLE,25.8
1991,FSM,MLE,25.9
1992,FSM,MLE,26.1
2006,FSM,MLE,27.9
2007,FSM,MLE,28
1980,MDA,MLE,24.6
1981,MDA,MLE,24.6
1994,MDA,MLE,24.3
1995,MDA,MLE,24.2
1996,MDA,MLE,24.1
1997,MDA,MLE,24.1
1983,MNG,MLE,23.5
1984,MNG,MLE,23.5
1985,MNG,MLE,23.5
1986,MNG,MLE,23.6
2000,MNG,MLE,24
2001,MNG,MLE,24
2002,MNG,MLE,24.1
2003,MNG,MLE,24.2
1988,MNE,MLE,25.6
1989,MNE,MLE,25.6
1990,MNE,MLE,25.7
1991,MNE,MLE,25.7
1992,MNE,MLE,25.7
2005,MNE,MLE,26.4
2006,MNE,MLE,26.5
2007,MNE,MLE,26.6
1980,MAR,MLE,22.3
1994,MAR,MLE,23.5
1995,MAR,MLE,23.6
1996,MAR,MLE,23.7
1997,MAR,MLE,23.7
1983,MOZ,MLE,20.4
1984,MOZ,MLE,20.4
1985,MOZ,MLE,20.4
1986,MOZ,MLE,20.4
1999,MOZ,MLE,21
2000,MOZ,MLE,21.1
2001,MOZ,MLE,21.2
2002,MOZ,MLE,21.3
1988,MMR,MLE,20
1989,MMR,MLE,20
1990,MMR,MLE,20
1991,MMR,MLE,20
2005,MMR,MLE,21.2
2006,MMR,MLE,21.3
2007,MMR,MLE,21.5
1994,MDV,FMLE,24.3
1996,MDV,FMLE,24.6
2003,MDV,FMLE,25.7
2005,MDV,FMLE,25.9
1984,MLI,FMLE,19.5
1986,MLI,FMLE,19.7
1991,MLI,FMLE,20.3
1993,MLI,FMLE,20.6
1995,MLI,FMLE,20.8
2000,MLI,FMLE,21.5
2002,MLI,FMLE,21.9
1981,MLT,FMLE,25.9
1983,MLT,FMLE,26
1988,MLT,FMLE,26
