"","countrycode","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","irrelevantcolumn","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"3960","NOR","Norway",52.0799054373522,221.339598108747,47.7787372591343,203.059633351321,0.648205342163555,142,2115,-8.25878645918806,1.24463617343409,-0.86430093415728,0.130254028567145
"3961","NPL","Nepal",53.9137055837564,229.133248730965,50.019191422767,212.58156354676,0.692822436365713,131,2364,-7.22360690815281,1.28505809211981,-0.700155887656723,0.124555641055596
"3962","NRU","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3963","NZL","New Zealand",54.9891422366993,233.703854505972,50.640210581396,215.220894970933,0.513231880001963,135,1842,-7.90870975325159,0.933333125642824,-1.00341799864487,0.11841669326864
"3964","NeFoIC","Net Food Importing Developing Countries",50.7229853479853,215.572687728938,47.7802068982015,203.065879317356,0.602499243173118,132,2184,-5.80166650206972,1.18782291507424,-0.572656062801338,0.117244587155941
"3965","OEC","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3966","OED","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3967","OMN","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3968","OSS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3969","Oceania","Oceania",43.6256231306082,185.408898305085,40.2405286959699,171.022246957872,0.489567140152567,144,2006,-7.75941795605734,1.12220091088873,-0.71718102428778,0.103721851727239
"3970","PAK","Pakistan",39.6359810625986,168.452919516044,36.9896184932169,157.205878596172,0.658640462552784,145,1901,-6.67666725645636,1.661723628116,-0.591638133607178,0.147249971901596
"3971","PAN","Panama",38.152628892292,162.148672792241,35.4769901083338,150.777207960418,0.389793963082333,146,1959,-7.01298668438227,1.021669998633,-0.580472936795429,0.0845647954619661
"3972","PCN","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3973","PER","Peru",49.2224669603524,209.195484581498,45.9414786115939,195.251284099274,0.489614719670936,148,2270,-6.66563167466047,0.994697645010986,-0.614281959569329,0.0916679541234132
"3974","PHL","Philippines",36.6716072255674,155.854330708661,33.6239916429004,142.901964482327,0.431746503105969,149,2159,-8.31055907618403,1.17733182636445,-0.599924327296641,0.0849894691153482
"3975","PLW","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3976","PNG","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
