order,Country,Year,Indicator,Value
1447,Paraguay,2004,Ever breastfed,95.7
1468,Peru,2012,Ever breastfed,98.6
1121,Philippines,2008,Ever breastfed,88.8
500,Rwanda,2010,Ever breastfed,98.4
531,Sao Tome and Principe,2008,Ever breastfed,98.2
538,Senegal,2010,Ever breastfed,96.9
571,Sierra Leone,2008,Ever breastfed,95
578,South Africa,1998,Ever breastfed,87.6
590,Swaziland,2006,Ever breastfed,93.5
930,Tajikistan,2012,Ever breastfed,98.3
597,Tanzania,2010,Ever breastfed,96.9
1159,Timor-Leste,2009,Ever breastfed,97.1
630,Togo,1998,Ever breastfed,97.4
869,Turkey,1998,Ever breastfed,95.2
937,Turkmenistan,2000,Ever breastfed,97.2
641,Uganda,2011,Ever breastfed,97.6
883,Ukraine,2007,Ever breastfed,96.1
944,Uzbekistan,1996,Ever breastfed,96.3
1166,Vietnam,2002,Ever breastfed,97.8
890,Yemen,1997,Ever breastfed,96.8
673,Zambia,2007,Ever breastfed,97.7
701,Zimbabwe,2010,Ever breastfed,96
,Albania,2012,median years breastfeeding duration,1
,Armenia,2005,median years breastfeeding duration,1
,Azerbaijan,2011,median years breastfeeding duration,1
,Bangladesh,2006,median years breastfeeding duration,3
,Benin,1997,median years breastfeeding duration,2
,Bolivia,2007,median years breastfeeding duration,2
,Botswana,2012,median years breastfeeding duration,1
,Brazil,1990,median years breastfeeding duration,1
,Burkina Faso,2002,median years breastfeeding duration,2
,Burundi,2007,median years breastfeeding duration,2
,Cambodia,2009,median years breastfeeding duration,2
,Cameroon,1999,median years breastfeeding duration,1
,Central African Republic,1999,median years breastfeeding duration,2
,Chad,1993,median years breastfeeding duration,2
,Colombia,1997,median years breastfeeding duration,1
,Comoros,2012,median years breastfeeding duration,2
,Congo (Brazzaville),2004,median years breastfeeding duration,1
,Congo Democratic Republic,2004,median years breastfeeding duration,2
,Cote d'Ivoire,2007,median years breastfeeding duration,2
,Dominican Republic,2004,median years breastfeeding duration,1
,Ecuador,2008,median years breastfeeding duration,1
,Egypt,2004,median years breastfeeding duration,2
,El Salvador,2010,median years breastfeeding duration,2
,Eritrea,2009,median years breastfeeding duration,2
,Ethiopia,2001,median years breastfeeding duration,2
,Gabon,2006,median years breastfeeding duration,1
,Ghana,2005,median years breastfeeding duration,2
,Guatemala,2003,median years breastfeeding duration,2
,Guinea,2003,median years breastfeeding duration,2
,Guyana,2011,median years breastfeeding duration,2
,Haiti,2000,median years breastfeeding duration,1
,Honduras,2006,median years breastfeeding duration,2
,India,2001,median years breastfeeding duration,2
,Indonesia,1998,median years breastfeeding duration,2
,Jordan,2006,median years breastfeeding duration,1
,Kazakhstan,2012,median years breastfeeding duration,1
,Kenya,2003,median years breastfeeding duration,2
,Kyrgyz Republic,2008,median years breastfeeding duration,2
,Lesotho,1991,median years breastfeeding duration,1
,Liberia,2006,median years breastfeeding duration,2
,Madagascar,1990,median years breastfeeding duration,2
,Malawi,1992,median years breastfeeding duration,2
,Maldives,1992,median years breastfeeding duration,2
,Mali,2000,median years breastfeeding duration,2
,Mauritania,2004,median years breastfeeding duration,2
,Mexico,2004,median years breastfeeding duration,1
,Moldova,2007,median years breastfeeding duration,1
,Morocco,2009,median years breastfeeding duration,1
,Mozambique,2011,median years breastfeeding duration,2
,Namibia,2012,median years breastfeeding duration,1
,Nepal,1998,median years breastfeeding duration,3
,Nicaragua,2003,median years breastfeeding duration,1
,Niger,1992,median years breastfeeding duration,2
,Nigeria,2005,median years breastfeeding duration,2
,Pakistan,2010,median years breastfeeding duration,2
,Paraguay,2008,median years breastfeeding duration,1
,Peru,2008,median years breastfeeding duration,2
,Philippines,2006,median years breastfeeding duration,1
,Rwanda,1992,median years breastfeeding duration,2
,Sao Tome and Principe,1996,median years breastfeeding duration,1
,Senegal,2010,median years breastfeeding duration,2
,Sierra Leone,2009,median years breastfeeding duration,2
,South Africa,2009,median years breastfeeding duration,1
,Sri Lanka,1998,median years breastfeeding duration,2
,Sudan,1993,median years breastfeeding duration,2
,Swaziland,1993,median years breastfeeding duration,1
,Tajikistan,1998,median years breastfeeding duration,2
,Tanzania,2000,median years breastfeeding duration,2
,Thailand,2000,median years breastfeeding duration,1
,Timor-Leste,2006,median years breastfeeding duration,1
,Togo,2011,median years breastfeeding duration,2
,Trinidad and Tobago,2011,median years breastfeeding duration,1
,Tunisia,2007,median years breastfeeding duration,1
,Turkey,1996,median years breastfeeding duration,1
,Turkmenistan,1997,median years breastfeeding duration,1
,Uganda,1997,median years breastfeeding duration,2
,Ukraine,1992,median years breastfeeding duration,1
,Uzbekistan,1992,median years breastfeeding duration,1
,Vietnam,1996,median years breastfeeding duration,2
,Yemen,2002,median years breastfeeding duration,1
,Zambia,1999,median years breastfeeding duration,2
,Zimbabwe,2010,median years breastfeeding duration,1
