plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
1,,C3 cereal,wheat,350,700,tunnel,1,field,0.903275746,3,0.029607473,0.000876602,2.214930484,2.000692986,0.061317167,0.035112616,wet,medium,,rinconada,,"Sa´nchez de la Puente L, Pe´rez Pe´rez P, Mart?´nez-Carrasco R, Morcuende Morcuende R & Mart?´n del Molino IM (2000) Action of elevated CO2 and high temperatures on the mineral composition of two varieties of wheat. Agrochimica, XLIV, 5–6.",Spain,1997,Spai,1,ok,
1,1,C3_cereal,wheat,350,550,GC,0,pots,0.958823529,1,0.026882785,0.000722684,17,16.3,,,NA,3,,default,"1-University_of_Western_Sydney,_Australia550NANAambienthigh",Conroy_et_al_1994,"University_of_Western_Sydney,_Australia",,UWS,1,ok,
1,1,C3_cereal,wheat,350,550,GC,0,pots,0.864516129,1,0.027928979,0.000780028,15.5,13.4,,,NA,1,,default,"1-University_of_Western_Sydney,_Australia550NANAambientlow",Conroy_et_al_1994,"University_of_Western_Sydney,_Australia",,UWS,1,ok,
1,1,C3_cereal,wheat,350,550,GC,0,pots,0.987730061,1,0.028462502,0.000810114,16.3,16.1,,,NA,2,,default,"1-University_of_Western_Sydney,_Australia550NANAambientmedium",Conroy_et_al_1994,"University_of_Western_Sydney,_Australia",,UWS,1,ok,
1,1,C3_cereal,wheat,388,712,OTC,1,field,0.978165939,3,0.015639794,0.000244603,22.9,22.4,0.2,0.3,NA,2,,default,"1-wageningen?_Same_site_as_Dijkstra_et_al_1995_whatever_that_is1993,_1994712NANAambientNA",Dijkstra_et_al_1999,wageningen?_Same_site_as_Dijkstra_et_al_1995_whatever_that_is,"1993,_1994",Wage,1,ok,
1,1,C3_cereal,wheat,373,736,OTC,1,field,0.882051282,3,0.04232563,0.001791459,39,34.4,,,NA,2,,default,1-Wageningen1995736NANAambientNA,van_Oijen_et_al_1999,Wageningen,1995,Wage,2,ok,
1,1,C3_cereal,wheat,373,736,OTC,1,field,0.846547315,3,0.0538658,0.002901524,39.1,33.1,,,NA,2,,default,1-Wageningen1995736NANAlowNA,van_Oijen_et_al_1999,Wageningen,1995,Wage,2,ok,
1,1,C3_cereal,wheat,373,736,OTC,1,field,0.878640777,3,0.057665326,0.00332529,20.6,18.1,,,NA,2,,default,1-Wageningen1996736NANAambientNA,van_Oijen_et_al_1999,Wageningen,1996,Wage,3,ok,
1,1,C3_cereal,wheat,373,736,OTC,1,field,0.867647059,3,0.062467804,0.003902227,20.4,17.7,,,NA,2,,default,1-Wageningen1996736NANAlowNA,van_Oijen_et_al_1999,Wageningen,1996,Wage,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.89857437,4,0.066725885,0.004452344,11.518346,10.3500905,0.839593301,0.146722348,wet,1,TOS1_maybe,yitpi,"1-Walpeup,_Australia2008550wetyitpiambientlowTOS1_maybe",,"Walpeup,_Australia",2008,Walp,1,ok,
