plantorder,plantnumber,type,plant,paircount,CO2_quant,CO2_qual,facility,field01,fieldpots,replicate_facilities,N_est,SE_est,Var,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude
15,54,oilcrop,soybean,88,550,1,FACE,1,field,4,5.98,0.082865353,0.006866667,dry,1,,pana,54-Champaign_Illinois2008550drypanaambientlow,,Champaign_Illinois,2008,Illn,6,
2,2,C3_cereal,rice,89,584,1,FACE,1,field,4,1.0925,0.01652019,0.000272917,wet,2,,Norin8,"2-Tsukubamirai,_Japan2010584wetNorin8ambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,
2,2,C3_cereal,rice,90,584,1,FACE,1,field,4,1.205,0.017559423,0.000308333,wet,3,,86y8,"2-Tsukubamirai,_Japan2010584wet86y8ambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,
3,3,C3_cereal,barley,91,700,1,GH,0,pots,3,1.41,,,NA,1,,default,"3-Helsinki,_Finland1992700NANAambientlow",Kleemola_et_al_1994,"Helsinki,_Finland",1992,Helsi,1,
13,32,pulses,peas,92,550,1,FACE,1,field,4,3.4225,0.020966243,0.000439583,wet,1,TOS_2_maybe,Kaspa,"32-Horsham,_Australia2010550wetKaspaambientlowTOS_2_maybe",,"Horsham,_Australia",2010,Hors,4,
13,32,pulses,peas,93,550,1,FACE,1,field,4,3.25,0.048304589,0.002333333,wet,1,TOS_2_maybe,OZP0601,"32-Horsham,_Australia2010550wetOZP0601ambientlowTOS_2_maybe",,"Horsham,_Australia",2010,Hors,4,
2,2,C3_cereal,rice,94,571,1,FACE,1,field,3,1.15,0.02081666,0.000433333,wet,2,,akitakomachi,"2-Shizukuishi,_Japan2008571wetakitakomachiambientmedium",,"Shizukuishi,_Japan",2008,Shiz,4,
2,2,C3_cereal,rice,95,584,1,FACE,1,field,4,1.0075,0.011086779,0.000122917,wet,1,,koshihikari,"2-Tsukubamirai,_Japan2010584wetkoshihikariambientlow",zhang_et_al_2013_rice_own_data,"Tsukubamirai,_Japan",2010,Tsuk,1,
1,1,C3_cereal,wheat,96,550,1,FACE,1,field,3,96.35036496,,,NA,3,,default,1-Changping550NANAambienthigh,Lam_et_al_2012b,Changping,,Chang,1,
2,2,C3_cereal,rice,97,584,1,FACE,1,field,4,1.1675,0.004787136,2.29167E-05,wet,2,,Akitakomachi,"2-Tsukubamirai,_Japan2010584wetAkitakomachiambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,
