plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
1,1,C3_cereal,wheat,385,550,FACE,1,field,0.907462687,2,0.052124084,0.104248168,6.7,6.08,0.23,0.28,NA,1,,batis,"1-Braunschweig,_Germany2004/2005550NAbatisambientlow",Wieser_et_al_2008_not_averaged,"Braunschweig,_Germany",2004/2005,Brau,7,ok,
1,1,C3_cereal,wheat,375,550,FACE,1,field,0.865079365,2,0.038036591,0.076073182,126,109,,,NA,3,,batis,"1-Braunschweig,_Germany2004/2005550NAbatisambienthigh",Wroblewitz_et_al_2013,"Braunschweig,_Germany",2004/2005,Brau,7,ok,
1,1,C3_cereal,wheat,385,550,FACE,1,field,0.865079365,4,0.037698307,0.075396614,126,109,,,NA,3,-13.771,batis,"1-Braunschweig,_Germany2004/2005550NAbatisambienthigh-13.771",Wieser_et_al_2008_Erbs_et_al_2010_Wroblewitz_et_al_2013,"Braunschweig,_Germany",2004/2005,Brau,7,ok,
1,1,C3_cereal,wheat,350,700,GH,0,pots,0.700196464,1,0.066266666,0.132533332,2.545,1.782,0.123,0.145,NA,2,,default,"1-Cambridge,_UK1990700NANAambientmedium",Thompson_and_Woodward_1994,"Cambridge,_UK",1990,Camb,1,ok,
1,1,C3_cereal,wheat,350,700,tunnel,1,field,0.861386139,3,0.004163446,0.008326892,10.1,8.7,,,NA,2,,default,1-canberra_Aus_Ginninderra_and_black_mountain1991_or_so700NANAambientmedium,Blumenthal_et_al_1996,canberra_Aus_Ginninderra_and_black_mountain,1991_or_so,Canb,1,ok,
1,1,C3_cereal,wheat,415,550,FACE,1,field,0.96350365,3,0.021775785,0.04355157,100,96.35036496,,,NA,3,,default,1-Changping550NANAambienthigh,Lam_et_al_2012b,Changping,,Chang,1,ok,
1,1,C3_cereal,wheat,415,550,FACE,1,field,0.941176471,3,0.034678465,0.06935693,100,94.11764706,,,NA,1,,default,1-Changping550NANAambientlow,Lam_et_al_2012b,Changping,,Chang,1,ok,
1,1,C3_cereal,wheat,362,680,OTC,0,pots,0.739624119,2,0.003915427,0.007830854,2.554,1.889,0,0.01,NA,2,,default,"1-Giessen,_Germany1994680NANAambientmedium",Fangmeier_et_al_1997_,"Giessen,_Germany",1994,Gies,1,ok,
1,1,C3_cereal,wheat,362,520,OTC,0,pots,0.84064213,2,0.003915427,0.007830854,2.554,2.147,0,0.01,NA,2,,default,"1-Giessen,_Germany1994520NANAambientmedium",Fangmeier_et_al_1997__and_1996,"Giessen,_Germany",1994,Gies,1,ok,
1,1,C3_cereal,wheat,362,680,OTC,0,pots,0.821860221,2,0.009501274,0.019002548,1.903,1.564,0.022,0,NA,1,,default,"1-Giessen,_Germany1994680NANAambientlow",Fangmeier_et_al_1997_,"Giessen,_Germany",1994,Gies,1,ok,
1,1,C3_cereal,wheat,362,520,OTC,0,pots,0.911192853,2,0.020289832,0.040579664,1.903,1.734,0.022,0.033,NA,1,,default,"1-Giessen,_Germany1994520NANAambientlow",Fangmeier_et_al_1997_,"Giessen,_Germany",1994,Gies,1,ok,
1,1,C3_cereal,wheat,355,660,OTC,1,field,0.883870968,3,2.142675142,4.285350284,15.5,13.7,0.202072594,0.28,wet,2,,Dragon,"1-Göteborg,_Sweden1994660wetDragonambientmedium",Pleijel_and_Danielsson_2009,"Göteborg,_Sweden",1994,Gote,1,ok,49_days_pre_CO2
1,1,C3_cereal,wheat,347,667,OTC,1,field,0.897810219,4,0.013108921,0.026217842,13.7,12.3,0.11,0.15,wet,2,,Dragon,"1-Göteborg,_Sweden1995667wetDragonambientmedium",Pleijel_and_Danielsson_2009,"Göteborg,_Sweden",1995,Gote,2,ok,
1,1,C3_cereal,wheat,347,515,OTC,1,field,0.890510949,4,0.040059324,0.080118648,13.7,12.2,0.11,0.54,wet,2,,Dragon,"1-Göteborg,_Sweden1995515wetDragonambientmedium",Pleijel_and_Danielsson_2009,"Göteborg,_Sweden",1995,Gote,2,ok,
1,1,C3_cereal,wheat,358,696,OTC,1,field,0.965277778,5,0.031609436,0.063218872,14.4,13.9,0.120747671,0.44,extra_wet,2,,Dragon,"1-Göteborg,_Sweden1996696",Pleijel_and_Danielsson_2009,"Göteborg,_Sweden",1996,Gote,3,ok,
1,1,C3_cereal,wheat,355,675,OTC,1,field,0.948387097,5,0.034064395,0.06812879,15.5,14.7,0.178885438,0.5,wet,2,,Dragon,"1-Göteborg,_Sweden1996675",Pleijel_and_Danielsson_2009,"Göteborg,_Sweden",1996,Gote,3,ok,
1,,C3 cereal,wheat,399,549,FACE,1,field,0.937879811,15,0.023159201,0.046318402,14.81,13.89,0.237542979,0.260780879,wet,2,,Triso,"1-Heidfeldhof,_Stuttgart2004549wetTrisoambientmedium",Högy et al. 2009 the other one,"Heidfeldhof, Stuttgart",2004,Heid,1,ok,
1,,C3 cereal,wheat,403,572,FACE,1,field,0.964990452,15,0.005953455,0.01190691,15.71,15.16,0.074877678,0.059385745,wet,2,,Triso,"1-Heidfeldhof,_Stuttgart2005572wetTrisoambientmedium",Högy et al. 2009 the other one,"Heidfeldhof, Stuttgart",2005,Heid,2,ok,
1,1,C3_cereal,wheat,375,526,FACE,1,field,0.921017403,5,0.051583521,0.103167042,14.94,13.76,0.35,0.7,NA,2,,default,"1-Heidfeldhof,_Stuttgart2008526NANAambientNA",Hogy_et_al_2013_,"Heidfeldhof,_Stuttgart",2008,Heid,4,ok,
1,1,C3_cereal,wheat,375,526,FACE,1,field,0.92636,15,0.0000536,0.0001072,,,,,NA,2,,default,"1-Heidfeldhof,_Stuttgart2004-2006526NANAambientNA",Högy_et_al_2009_BUT_THERE_ARE_TWO,"Heidfeldhof,_Stuttgart",2004-2006,Heid,5,ok,SE_combined_with_sorghum
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.957119652,4,0.010443284,0.020886568,13.76437625,13.174155,0.08152274,0.12072487,wet,2,TOS1,yitpi,"1-Horsham,_Australia2007550wetyitpiambientmediumTOS1",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.953085859,4,0.038359246,0.076718492,13.2205875,12.600355,0.102711685,0.497593784,wet,1,TOS1,janz,"1-Horsham,_Australia2007550wetjanzambientlowTOS1",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.977283009,4,0.023880901,0.047761802,14.30344625,13.978515,0.174237789,0.296110085,dry,2,TOS1,yitpi,"1-Horsham,_Australia2007550dryyitpiambientmediumTOS1",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.952667426,4,0.022566725,0.04513345,13.95709,13.296465,0.19163198,0.256660767,dry,1,TOS1,yitpi,"1-Horsham,_Australia2007550dryyitpiambientlowTOS1",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.965568995,4,0.024864884,0.049729768,13.81458375,13.33893375,0.20283905,0.282190845,wet,2,TOS2,yitpi,"1-Horsham,_Australia2007550wetyitpiambientmediumTOS2",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.981361455,4,0.020140993,0.040281986,13.22568375,12.97917625,0.211449738,0.167025834,wet,1,TOS1,yitpi,"1-Horsham,_Australia2007550wetyitpiambientlowTOS1",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.996766957,4,0.021894493,0.043788986,13.8948025,13.84988,0.268094554,0.145392235,dry,2,TOS2,yitpi,"1-Horsham,_Australia2007550dryyitpiambientmediumTOS2",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.955163372,4,0.022916354,0.045832708,14.0352325,13.40594,0.305130941,0.136040092,wet,1,TOS2,yitpi,"1-Horsham,_Australia2007550wetyitpiambientlowTOS2",,"Horsham,_Australia",2007,Hors,1,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.952460813,4,0.026028235,0.05205647,14.05127625,13.38329,0.366029598,0.110527376,dry,1,TOS2,yitpi,"1-Horsham,_Australia2007550dryyitpiambientlowTOS2",,"Horsham,_Australia",2007,Hors,1,ok,
