countrycode,region,weight_region,Weight,changed
AFRICA,,Africa,60.7,
ALA,,Europe,70.8,
Americas,,Latin Am. Caribbean,67.9,
ASM,,Oceania,74.1,
ANR,,Latin Am. Caribbean,67.9,
AIA,,Latin Am. Caribbean,67.9,
ATA,,Europe,70.8,
ARB,,Europe,70.8,
ABW,,Latin Am. Caribbean,67.9,
Ashm,,Oceania,74.1,
ASIA,,Asia,57.7,
Australia and New Zealand,,Oceania,74.1,
IOT,,Oceania,74.1,
VGB,,Latin Am. Caribbean,67.9,
CSS,,Latin Am. Caribbean,67.9,
CYM,,Latin Am. Caribbean,67.9,
Central America,,Latin Am. Caribbean,67.9,
Central Asia,,Asia,57.7,
CEB,,Europe,70.8,
CHI,,Europe,70.8,
HKG,,Asia,57.7,
MAC,,Asia,57.7,
CHN,,Asia,57.7,
TWN,,Asia,57.7,
CUW,,Latin Am. Caribbean,67.9,
EAS,,Asia,57.7,
EAP,,Oceania,74.1,
CEA,,Oceania,74.1,
Eastern Africa,,Africa,60.7,
Eastern Europe,,Europe,70.8,
Europe,,Europe,70.8,
EMU,,Europe,70.8,
EUU,,Europe,70.8,
ECS,,Europe,70.8,
ECA,,Europe,70.8,
CEU,,Europe,70.8,
EUU,,Europe,70.8,
FLK,,Latin Am. Caribbean,67.9,
FRO,,Europe,70.8,
FCS,,Asia,57.7,
GUF,,Latin Am. Caribbean,67.9,
ATF,,Europe,70.8,
Gaza,,Asia,57.7,
GRL,,Europe,70.8,
Guadeloupe,,Latin Am. Caribbean,67.9,
GUM,,Oceania,74.1,
GGY,,Europe,70.8,
HMD,,Europe,70.8,
HPC,,Asia,57.7,
HIC,,Europe,70.8,
NOC,,Europe,70.8,
OEC,,Europe,70.8,
IOA,,Oceania,74.1,
IMN,,Europe,70.8,
JEY,,Europe,70.8,
KOS,,Europe,70.8,
LLDC,,Africa,60.7,
LCN,,Latin Am. Caribbean,67.9,
LAC,,Latin Am. Caribbean,67.9,
LCR,,Latin Am. Caribbean,67.9,
CLA,,Latin Am. Caribbean,67.9,
LDC,,Africa,60.7,
LeDeR,,Africa,60.7,
LeDeREC,,Africa,60.7,
LeDeRELDR,,Africa,60.7,
LIE,,Europe,70.8,
LIFDC,,Africa,60.7,
LMY,,Latin Am. Caribbean,67.9,
LIC,,Africa,60.7,
LMC,,Latin Am. Caribbean,67.9,
Martinique,,Latin Am. Caribbean,67.9,
Mayotte,,Africa,60.7,
Melanesia,,Oceania,74.1,
MCA,,Latin Am. Caribbean,67.9,
Micronesia,,Oceania,74.1,
MAFR,,Africa,60.7,
MEA,,Africa,60.7,
MNA,,Africa,60.7,
CME,,Africa,60.7,
MIC,,Latin Am. Caribbean,67.9,
MSR,,Latin Am. Caribbean,67.9,
MoDeR,,Europe,70.8,
CYN,,Europe,70.8,
MNP,,,,
NeFoIC,,Africa,60.7,
NFK,,Oceania,74.1,
NAFR,,Africa,60.7,
NAC,,Northern Am.,81.96721311,
NEUR,,Europe,70.8,
INX,,,,
Oceania,,Oceania,74.1,
OED,,Europe,70.8,
OSS,,,,
PSS,,Oceania,74.1,
PCN,,Oceania,74.1,
POLYN,,Oceania,74.1,
PRI,,Latin Am. Caribbean,67.9,
SGS,,,,
SSD,,Africa,60.7,
SHN,,,,
VCT,,,,
BLM,,,,
MAF,,,,
SPM,,,,
SRB,,Europe,70.8,
SXM,,,,
SST,,Latin Am. Caribbean,67.9,
SOL,,Africa,60.7,
SouAm,,Latin Am. Caribbean,67.9,
SouEAs,,Asia,57.7,
SAS,,Asia,57.7,
CSA,,Asia,57.7,
SouCeAs,,Asia,57.7,
SCE,,,,
SouAfr,,Africa,60.7,
SouAs,,Asia,57.7,
SouEur,,Europe,70.8,
SSF,,Africa,60.7,
SSA,,Africa,60.7,
CAA,,Africa,60.7,
TCA,,,,
VIR,,Latin Am. Caribbean,67.9,
UMC,,Europe,70.8,
VAT,,Europe,70.8,
ESH,,Africa,60.7,
WLF,,,,
WeAf,,Africa,60.7,
WeAs,,Asia,57.7,
WeEu,,Africa,60.7,
FrePol,,Oceania,74.1,
KAS,,,,
StKiN,,,,
