"","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","countrycode","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"65","Eastern Africa",57,242.25,54.871501352,233.203880746,0.843378156517301,NA,2143,-3.73420815438597,1.47961080090755,-0.422124090247317,0.167258850452568
"66","Eastern Asia",89,378.25,84.178051265,357.75671787625,0.76714701864501,NA,2957,-5.4179199269663,0.861962942297765,-0.693043020755835,0.110259547826895
"67","Eastern Europe",89,378.25,85.155600764,361.911303247,0.457066948777137,NA,3230,-4.31954970337077,0.513558369412513,-0.505842004736841,0.0601403879969916
"68","Ecuador",62,263.5,59.878844876,254.485090723,0.212738102824035,"ECU",2434,-3.42121794193547,0.34312597229683,-0.370374251314706,0.0371461354561277
"69","Egypt",100,425,94.909184167,403.36403270975,0.688482711613209,"EGY",3531,-5.090815833,0.688482711613209,-0.612743338721325,0.0828675028138243
"70","El Salvador",63,267.75,61.545203088,261.567113124,1.61176518694087,"SLV",2469,-2.30920144761904,2.55835743958868,-0.250420691616036,0.277440342021008
"71","Equatorial Guinea",NA,NA,NA,NA,NA,"GNQ",NA,NA,NA,NA,NA
"72","Eritrea",50.2,213.35,48.6293908468724,206.674911099208,0.79715046469333,"ERI",1640,-3.12870349228607,1.58794913285524,-0.407017615901969,0.206578626521137
"73","Estonia",91,386.75,87.070405482,370.0492232985,0.438924796443888,"EST",3147,-4.31823573406592,0.482334941147129,-0.530688805258975,0.0592764659957586
"74","Ethiopia",59,250.75,56.38484994,239.635612245,0.503838018908831,"ETH",2099,-4.43245772881354,0.853962743913272,-0.529508706765125,0.102015797063484
"75","Europe",94,399.5,90.423614882,384.3003632485,0.409450157698018,NA,3310,-3.80466501914892,0.435585274146828,-0.459203527235649,0.0525729054446096
"76","European Union",100,425,96.266972364,409.134632547,0.414198641480322,NA,3353,-3.73302763599999,0.414198641480322,-0.473169324575007,0.0525005734056477
"77","Fiji",71,301.75,68.659740885,291.80389876125,0.406222572745991,"FJI",2900,-3.29613959859154,0.572144468656325,-0.342969008232759,0.0595326184196711
"78","Finland",109,463.25,105.157163466,446.9179447305,0.337977375852694,"FIN",3221,-3.52553810458714,0.31007098702082,-0.507049216687364,0.0445949657675862
"79","France",106,450.5,102.516904287,435.69684321975,0.392864960513407,"FRA",3452,-3.28593935188678,0.370627321239063,-0.42882841194235,0.0483683685452485
"80","French Polynesia",91,386.75,88.953072238,378.0505570115,0.267282772766101,"PYF",2796,-2.24937116703297,0.293717332710001,-0.311138876555794,0.0406277462180233
"81","Gabon",79,335.75,76.201747833,323.85742829025,0.629751435606067,"GAB",2736,-3.54209135063293,0.797153715957047,-0.434670018631217,0.0978232310426091
"82","Gambia",70,297.5,68.182257973,289.77459638525,0.622893702960349,"GMB",2843,-2.59677432428569,0.889848147086213,-0.271734210860003,0.0931163643187296
"83","Georgia",72,306,68.562550816,291.390840968,0.352224156993037,"GEO",2689,-4.77423497777776,0.489200218045884,-0.543293381628855,0.0556694930167499
"84","Germany",98,416.5,94.454895029,401.43330387325,0.362829130414635,"DEU",3481,-3.61745405204079,0.370233806545546,-0.432826662647225,0.0442982994617122
"85","Ghana",62,263.5,58.530863194,248.7561685745,1.41871428364988,"GHA",2990,-5.59538194516128,2.28824884459657,-0.493104729949832,0.201656712558929
"86","Greece",107,454.75,102.484684058,435.5599072465,0.568590719166488,"GRC",3370,-4.21992144112147,0.531393195482699,-0.569438954109788,0.0717065447020051
"87","Grenada",68,289,65.97910032,280.41117636,0.257274050306647,"GRD",2407,-2.97191129411765,0.378344191627423,-0.356826906522642,0.0454264525884193
"88","Guatemala",54,229.5,52.522252289,223.21957222825,1.48717629171343,"GTM",2443,-2.73656983518517,2.75403016983969,-0.257078500685631,0.258718757256737
"89","Guinea",52,221,48.534096852,206.269911621,0.676493521132179,"GIN",2539,-6.66519836153847,1.30094907910034,-0.580153146081135,0.11323739522693
"90","Guinea-Bissau",44,187,41.998721466,178.4945662305,0.388332422170252,"GNB",2296,-4.54836030454544,0.882573686750574,-0.370445721668117,0.071882090340748
"91","Guyana",71,301.75,68.671643602,291.8544853085,0.266688898936494,"GUY",2628,-3.2793752084507,0.375618167516188,-0.376541654927702,0.0431289124992427
"92","Haiti",41,174.25,39.521477098,167.9662776665,0.72347089997251,"HTI",2095,-3.6061534195122,1.76456317066466,-0.299939013532219,0.146766173025449
"93","Honduras",63,267.75,60.973622156,259.137894163,1.17182521308863,"HND",2614,-3.21647276825396,1.86004002077561,-0.329460820084163,0.190522461959705
"94","Hungary",76,323,73.218146414,311.1771222595,0.398979392857715,"HUN",2911,-3.66033366578947,0.524972885339099,-0.406144889745791,0.0582501690018994
"95","Iceland",124,527,121.131171587,514.80747924475,0.275870733864603,"ISL",3262,-2.31357130080644,0.222476398277906,-0.373774394704168,0.0359426921803974
"96","India",56,238,53.191668718,226.0645920515,0.442396706720839,"IND",2448,-5.01487728928571,0.789994119144355,-0.487557514236112,0.0768049838057012
"97","Indonesia",58,246.5,55.485669116,235.814093743,0.427253548234884,"IDN",2687,-4.33505324827587,0.736644048680834,-0.397689105210272,0.0675782500929757
"98","Iran (Islamic Republic of)",84,357,78.674495961,334.36660783425,0.584324531698231,"IRN",3030,-6.33988576071428,0.695624442497895,-0.746976639133662,0.0819597115418311
"99","Iraq",56,238,52.423774939,222.80104349075,0.309594775301347,"IRQ",2458,-6.38611618035714,0.55284781303812,-0.618346481255085,0.0535304229060507
"100","Ireland",96,408,92.750918776,394.191404798,0.407512368313215,"IRL",3532,-3.38445960833331,0.424492050326265,-0.390956829048696,0.049035321781743
"101","Israel",118,501.5,113.97343125,484.3870828125,0.459287081695635,"ISR",3551,-3.41234639830507,0.389226340420029,-0.481918253660937,0.0549695887695423
"102","Italy",106,450.5,101.914768152,433.137764646,0.460309966913329,"ITA",3476,-3.85399230943394,0.434254685767292,-0.49948893423475,0.0562807065414744
"103","Jamaica",72,306,68.86023929,292.6560169825,0.435452597541301,"JAM",2759,-4.36077876388887,0.604795274362919,-0.483652882113082,0.0670776926259707
"104","Japan",80,340,77.530260358,329.5036065215,0.316943259291577,"JPN",2629,-3.08717455249999,0.396179074114471,-0.399254221319892,0.0512365481928186
"105","Jordan",78,331.5,74.46795641,316.4888147425,0.334881490968356,"JOR",3111,-4.52826101282051,0.429335244831225,-0.482519616120218,0.045748837563983
"106","Kazakhstan",89,378.25,85.240181917,362.27077314725,0.482112002432461,"KAZ",3052,-4.2245147,0.541698879137597,-0.523565755332568,0.0671355180320432
"107","Kenya",60,255,57.949521093,246.28546464525,1.31009651010684,"KEN",2179,-3.417464845,2.1834941835114,-0.399932783604863,0.25552593703323
"108","Kiribati",74,314.5,71.245263195,302.79236857875,0.294927025482928,"KIR",2999,-3.72261730405404,0.39855003443639,-0.390384508877958,0.041795260363536
"109","Kuwait",96,408,92.01256182,391.053387735,0.345339020829331,"KWT",3383,-4.1535814375,0.35972814669722,-0.500934444723618,0.0433842990991622
"110","Kyrgyzstan",80,340,76.257663567,324.09507015975,0.482480156471633,"KGZ",2796,-4.67792054124999,0.603100195589542,-0.568845845502503,0.0733383642705451
"111","Land Locked Developing Countries",63,267.75,60.674597437,257.86703910725,0.567303348928946,NA,2362,-3.69111517936508,0.900481506236421,-0.418414940421251,0.102076174129891
"112","Lao People's Democratic Republic",61,259.25,57.16207988,242.93883949,0.481134779397568,"LAO",2341,-6.29167232786885,0.788745539996013,-0.696760380606579,0.0873482619581232
"113","Latvia",88,374,84.158771732,357.674779861,0.385631938466331,"LVA",3202,-4.36503212272725,0.438218111893559,-0.509844476545905,0.0511847513579609
"114","Least Developed Countries",57,242.25,55.094902295,234.15333475375,0.523571376640021,NA,2310,-3.34227667543857,0.918546274807055,-0.350504989015149,0.0963280671307398
"115","Lebanon",76,323,72.303483515,307.28980493875,0.420955328144265,"LBN",3135,-4.86383748026317,0.553888589663507,-0.50112264948166,0.0570673092380583
"116","Lesotho",74,314.5,71.846334588,305.346921999,1.46091934369532,"LSO",2585,-2.91035866486485,1.97421532931799,-0.354084255357832,0.24018983406983
"117","Liberia",35,148.75,32.889887651,139.78202251675,0.809771853541423,"LBR",2238,-6.02889242571431,2.31363386726121,-0.400713917928955,0.153777049935257
"118","Libya",74,314.5,70.008161428,297.534686069,0.385428483162948,"LBY",3155,-5.39437644864862,0.520849301571552,-0.537727858351819,0.0519198432152941
"119","Lithuania",117,497.25,113.268248736,481.390057128,0.422186599623747,"LTU",3387,-3.18953099487178,0.360843247541664,-0.468259311248889,0.0529758797874497
"120","Low Income Food Deficit Countries",57,242.25,54.775611983,232.79635092775,0.513852864380479,NA,2486,-3.90243511754386,0.901496253299085,-0.380275505722043,0.0878469297512886
"121","Luxembourg",110,467.5,105.362192557,447.78931836725,0.497398338788138,"LUX",3503,-4.21618858454544,0.452180307989217,-0.562680035191263,0.0603466440151181
"122","Madagascar",46,195.5,43.787699767,186.09772400975,0.668479963158336,"MDG",2081,-4.8093483326087,1.45321731121377,-0.451815280646324,0.136522818040506
"123","Malawi",65,276.25,63.076695869,268.07595744325,1.31048603361416,"MWI",2325,-2.95892943230769,2.0161323594064,-0.351571722870966,0.239551210445599
"124","Malaysia",71,301.75,68.336896111,290.43180847175,0.295555957797795,"MYS",2772,-3.7508505478873,0.416275996898303,-0.408304167685784,0.045314315318926
"125","Maldives",101,429.25,98.510438277,418.66936267725,0.233264577832361,"MDV",2663,-2.46491259702971,0.230955027556794,-0.397320214898611,0.0372277302210866
"126","Mali",79,335.75,77.719445549,330.30764358325,0.743068268335568,"MLI",2817,-1.62095500126584,0.940592744728567,-0.193196890903445,0.112106501257585
"127","Malta",106,450.5,101.773794004,432.538624517,0.501091188781882,"MLT",3333,-3.98698678867923,0.472727536586681,-0.538895154005398,0.0638955161213021
"128","Marshall Islands",NA,NA,NA,NA,NA,"MHL",NA,NA,NA,NA,NA
"129","Mauritania",77,327.25,74.484130212,316.557553401,0.450273496554679,"MRT",2763,-3.26736336103897,0.584770774746336,-0.386986847593196,0.0692603098211142
"130","Mauritius",85,361.25,81.994673102,348.4773606835,0.334619129766387,"MUS",3022,-3.53567870352942,0.393669564431044,-0.422655172617473,0.0470592753642338
"131","Melanesia",65,276.25,62.509040342,265.6634214535,0.266471681315167,NA,2736,-3.8322456276923,0.409956432792564,-0.386936350383771,0.0413927136545855
"132","Mexico",74,314.5,72.560040249,308.38017105825,1.03303368134444,"MEX",2944,-1.94589155540539,1.39599146127627,-0.207874624380094,0.14913020196039
"133","Micronesia",74,314.5,71.245263195,302.79236857875,0.294927025482928,"FSM",2999,-3.72261730405404,0.39855003443639,-0.390384508877958,0.041795260363536
"134","Middle Africa",60,255,57.655983176,245.037928498,1.21166951438982,NA,2363,-3.90669470666668,2.01944919064971,-0.421585759712231,0.217926171652846
"135","Monaco",NA,NA,NA,NA,NA,"MCO",NA,NA,NA,NA,NA
"136","Mongolia",69,293.25,66.734226563,283.62046289275,0.232311474854729,"MNG",2406,-3.28372961884057,0.336683296890912,-0.400230137458436,0.0410359005873898
"137","Montenegro",105,446.25,100.678927279,427.88544093575,0.594259002439681,"MNE",3509,-4.11530735333331,0.565960954704458,-0.523355915196634,0.0719749432991919
"138","Morocco",93,395.25,87.604620516,372.319637193,0.521402106180217,"MAR",3300,-5.80148331612902,0.560647426000233,-0.694859478999997,0.0671502712504825
"139","Mozambique",42,178.5,40.559058636,172.375999203,1.53220473962629,"MOZ",2259,-3.43081277142858,3.64810652291975,-0.271093439442231,0.288263397229382
"140","Myanmar",80,340,77.085286632,327.612468186,0.490541749382562,"MMR",2497,-3.64339170999998,0.613177186728202,-0.496096588466155,0.0834922881408044
"141","Namibia",58,246.5,56.037422862,238.1590471635,0.500876498084309,"NAM",2069,-3.38375368620687,0.863580169110878,-0.403139334775252,0.102886665870387
"142","Nauru",NA,NA,NA,NA,NA,"NRU",NA,NA,NA,NA,NA
"143","Nepal",63,267.75,59.610727693,253.34559269525,0.532021157610829,"NPL",2567,-5.37979731269841,0.844478027953696,-0.561137799172186,0.0880829731143756
"144","Net Food Importing Developing Countries",66,280.5,63.671589164,270.604253947,0.523254549814455,NA,2481,-3.52789520606059,0.792809923961296,-0.398861187142278,0.0896344956352856
"145","Netherlands",98,416.5,95.308616549,405.06162033325,0.344823598753718,"NLD",3080,-2.74630964387753,0.351860815054814,-0.371375963206166,0.0475811783994578
"146","Netherlands Antilles",88.2,374.85,85.0412592775578,361.425351929621,0.296246825256833,"ANT",3102,-3.5813386875762,0.335880754259448,-0.432773954557683,0.0405882981090116
"147","New Caledonia",78,331.5,75.73155905,321.8591259625,0.267952787889059,"NCL",2733,-2.90825762820512,0.343529215242384,-0.352757923069887,0.041668472320838
"148","New Zealand",97,412.25,94.125180798,400.0320183915,0.407182799193826,"NZL",3111,-2.96373113608244,0.41977608164312,-0.392734863661198,0.0556260654636375
"149","Nicaragua",60,255,58.254383166,247.5811284555,2.058581233079,"NIC",2520,-2.90936138999999,3.43096872179834,-0.294399664464284,0.347181358753403
"150","Niger",80,340,79.70689872,338.75431956,1.1003293262114,"NER",2535,-0.366376599999985,1.37541165776425,-0.0491392678500957,0.184473358437808
"151","Nigeria",61,259.25,58.944047572,250.512202181,0.598648278191935,"NGA",2704,-3.37041381639342,0.981390619986779,-0.323143410465974,0.0940922774525046
"152","Niue",NA,NA,NA,NA,NA,"NIU",NA,NA,NA,NA,NA
"153","Northern Africa",90,382.5,85.88158587,364.9967399475,0.509618542904219,NA,3157,-4.57601569999999,0.566242825449132,-0.55442698930947,0.0686056004859972
"154","Northern America",101,429.25,98.051286717,416.71796854725,0.459465742709025,NA,3562,-2.91951810198018,0.454916576939628,-0.351825700526387,0.054821151221599
"155","Northern Europe",97,412.25,93.564299652,397.648273521,0.403076446080763,NA,3313,-3.54195912164946,0.415542727918312,-0.4407403102626,0.0517076636234
"156","Norway",99,420.75,95.818342627,407.22795616475,0.321105925086228,"NOR",3343,-3.2137953262626,0.324349419279018,-0.404488298990426,0.0408226198509264
"157","Occupied Palestinian Territory",55,233.75,51.902592534,220.5860182695,0.318193678617528,"PSE",2004,-5.63164993818182,0.578533961122778,-0.656885315893214,0.0674811943175895
"158","Oceania",97,412.25,94.686306062,402.4168007635,0.280434937444248,NA,3149,-2.38525148247419,0.289108182932214,-0.312264186614794,0.0378484752028597
"159","Oman",NA,NA,NA,NA,NA,"OMN",NA,NA,NA,NA,NA
"160","Pakistan",61,259.25,58.847689656,250.102681038,0.29024570289987,"PAK",2410,-3.52837761311474,0.475812627704704,-0.379556803402488,0.0511844081877363
"161","Palau",NA,NA,NA,NA,NA,"PLW",NA,NA,NA,NA,NA
"162","Panama",69,293.25,67.026695524,284.863455977,0.270347759036163,"PAN",2587,-2.85986155942028,0.391808346429221,-0.324180286934674,0.0444135282529451
"163","Papua New Guinea",NA,NA,NA,NA,NA,"PNG",NA,NA,NA,NA,NA
"164","Paraguay",65,276.25,63.150221949,268.38844328325,1.03149427817996,"PRY",2610,-2.84581238615385,1.58691427412302,-0.301209069607279,0.167963627672982
"165","Peru",66,280.5,62.844757824,267.090220752,0.533185081347522,"PER",2582,-4.78066996363636,0.807856183859881,-0.519356283811,0.0877628425920591
"166","Philippines",52,221,49.646443881,210.99738649425,0.270970705252268,"PHL",2577,-4.52606945961537,0.521097510100515,-0.388149534565385,0.0446886106838237
"167","Poland",99,420.75,94.368454194,401.0659303245,0.490914960714507,"POL",3439,-4.67832909696969,0.495873697691421,-0.572377716647281,0.0606684670845203
"168","Polynesia",85,361.25,82.601172638,351.0549837115,0.243645244080359,NA,2815,-2.82214983764707,0.286641463623952,-0.362167541332149,0.0367848059446368
"169","Portugal",107,454.75,103.162284681,438.43970989425,0.434441899113432,"PRT",3395,-3.5866498308411,0.406020466461151,-0.480420916222382,0.0543852156474841
"170","Qatar",NA,NA,NA,NA,NA,"QAT",NA,NA,NA,NA,NA
"171","Republic of Korea",91,386.75,86.923818773,369.42622978525,0.638196882615696,"KOR",3277,-4.47932002967032,0.701315255621644,-0.528647244880988,0.0827688968909584
"172","Republic of Moldova",68,289,65.916404088,280.144717374,0.573880441021863,"MDA",2775,-3.06411163529411,0.843941825032151,-0.319109283819818,0.0878915990754204
"173","Romania",97,412.25,92.732398369,394.11269306825,0.547842624529376,"ROU",3294,-4.39958931030927,0.564786210855027,-0.550616482445355,0.070684005897081
"174","Russian Federation",94,399.5,90.191253556,383.312827613,0.43951112025406,"RUS",3283,-4.05185791914893,0.467565021546872,-0.493060383399328,0.056896809658232
"175","Rwanda",51,216.75,48.278147384,205.182126382,2.70794230849304,"RWA",2142,-5.33696591372548,5.30969080096674,-0.54005012222222,0.537290140574015
"176","Saint Kitts and Nevis",73,310.25,71.01701683,301.8223215275,0.2382595495778,"KNA",2429,-2.71641530136986,0.326382944627123,-0.346960826368875,0.0416880644588576
"177","Saint Lucia",80,340,77.902163661,331.08419555925,0.388642384042427,"LCA",2575,-2.62229542375,0.485802980053034,-0.346244832650486,0.0641448595021482
"178","Saint Vincent and the Grenadines",86,365.5,82.672958162,351.3600721885,0.326279574787577,"VCT",2899,-3.86865329999998,0.379394854404159,-0.487751907951015,0.0478333284873129
"179","Samoa",78,331.5,75.173604958,319.4878210715,0.379732507984143,"WSM",2833,-3.62358338717949,0.486836548697619,-0.424009139728203,0.0569665781479918
"180","San Marino",NA,NA,NA,NA,NA,"SMR",NA,NA,NA,NA,NA
"181","Sao Tome and Principe",58,246.5,54.542422588,231.805295999,0.725332606748466,"STP",2659,-5.96134036551725,1.25057345991115,-0.552640240729599,0.115933192127905
