,V1,mRRYield,mRRFe,mRRprotein,mRRZn
55,Horsham__Australia 2009 wheat Wet Low TOS_2 Janz ,1.479353244,0.839354678,0.855847101,0.914793727
56,Horsham__Australia 2009 wheat Wet Low TOS_2 Silverstar ,2.279861665,0.888571429,0.866843423,0.737954353
57,Horsham__Australia 2009 wheat Wet Low TOS_2 Yitpi ,1.391200521,0.977690082,0.977816696,0.803086675
58,Horsham__Australia 2009 wheat Wet Low TOS_2 Zebu ,1.585351743,0.897446565,0.917594655,0.844845652
59,Horsham__Australia 2009 wheat Wet Medium TOS_1 Yitpi ,1.189608644,0.86321325,0.906936048,0.910299736
60,Horsham__Australia 2009 wheat Wet Medium TOS_2 Yitpi ,1.284983782,1.002585752,0.97087807,1.003648188
69,Walpeup__Australia 2008 wheat Wet Low TOS_1 Yitpi ,1.648024091,0.930894309,0.8984375,0.780397937
70,Walpeup__Australia 2008 wheat Wet Low TOS_2 Yitpi ,1.554357843,0.880580291,0.877480856,0.773574172
71,Walpeup__Australia 2009 wheat Wet Low TOS_1 Yitpi ,1.276038886,0.946608315,0.889748549,0.941705019
72,Walpeup__Australia 2009 wheat Wet Low TOS_2 Yitpi ,1.789374398,0.848594045,0.855284553,0.841635943
