"","summary.metaplantsfield1.Author.","summary.metaplantsfield2.Author.","summary.metaplantsfield3.Author.","summary.metaplantsfield7.Author.","summary.metaplantsfield10.Author.","summary.metaplantsfield15.Author.","summary.metaplantsfield18.Author.","summary.metaplantsfield20.Author.","summary.metaplantsfieldC3.Author.","summary.metaplantsfieldC4.Author.","summary.metaplantsfieldRoot.Author.","summary.metaplantsfieldOil.Author.","summary.metaplantsfieldVeg.Author."
"Sanchez_de_la_Puente_et_al_2000",2,0,0,0,0,0,0,0,2,0,0,0,0
"Sator_et_al._1990",0,0,0,0,0,0,0,0,0,0,0,0,0
"Seneweera_et_al._1996__Seneweera_&_Conroy_1997_",0,0,0,0,0,0,0,0,0,0,0,0,0
"Seneweera_et_al._2011",0,0,0,0,0,0,0,0,0,0,0,0,0
"Shivashankar_and_Vlassak_1978",0,0,0,0,0,3,0,0,0,0,0,3,0
"Shivashankar_et_al._1976",0,0,0,0,0,0,0,0,0,0,0,0,0
"Singh_et_al_2013",0,0,0,0,0,0,2,0,0,0,0,2,0
"Sun_et_al_2012",0,0,0,0,0,0,0,0,0,0,0,0,0
"sun_et_al_2012_strawberry",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas_et_al._2001;_2003",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thompson_and_Woodward_1994",0,0,0,0,0,0,0,0,0,0,0,0,0
"van_Oijen_et_al._1999",4,0,0,0,0,0,0,0,4,0,0,0,0
"Weerakoon_et_al._2005",0,3,0,0,0,0,0,0,3,0,0,0,0
"Weigel_and_Manderscheid_2005",0,0,0,0,0,0,0,0,0,0,0,0,0
"Wheeler_et_al._2004",0,0,0,0,0,0,0,0,0,0,0,0,0
"Wieser_et_al_2008__Erbs_et_al._2010__Wroblewitz_et_al_2013",1,0,0,0,0,0,0,0,1,0,0,0,0
"Wieser_et_al_2008__Erbs_et_al_2010__Wroblewitz_et_al_2013",1,0,0,0,0,0,0,0,1,0,0,0,0
"Wolf_1996",0,0,0,0,0,0,0,0,0,0,0,0,0
"wolf_1996_faba_bean",0,0,0,0,0,0,0,0,0,0,0,0,0
"wolf_1998_sugar_beet",0,0,0,0,0,0,0,0,0,0,0,0,0
"Wu_et_al._1997",0,0,0,0,0,0,0,0,0,0,0,0,0
"Wu_et_al_2004",0,0,0,0,0,0,0,0,0,0,0,0,0
"Yang_et_al._2007",0,3,0,0,0,0,0,0,3,0,0,0,0
"zhang_et_al_2013_rice",0,2,0,0,0,0,0,0,2,0,0,0,0
"zhang_et_al_2013_rice__own_data",0,2,0,0,0,0,0,0,2,0,0,0,0
"Ziska_et_al._1997",0,4,0,0,0,0,0,0,4,0,0,0,0
"Ziska_et_al._1998",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ziska_et_al._2004",0,0,0,0,0,0,0,0,0,0,0,0,0
