"","Crop","mRRYield","mRRZn","mRRprotein","mRRFe","mRRN","mRRP","mRRK","mRRS","mRRB","mRRCa","mRRMg","mRRMn","mRRCu","SE controlFACEav.Crop","SE mRRYield","SE mRRZn","SE mRRprotein","SE mRRFe","SE mRRN","SE mRRP","SE mRRK","SE mRRS","SE mRRB","SE mRRCa","SE mRRMg","SE mRRMn","SE mRRCu","yieldlow","yieldhi","Znlow","Znhi","Protlow","Prothi","Felow","Fehi","Nlow","Nhi","Plow","Phi","Klow","Khi","Slow","Shi","Blow","Bhi","Calow","Cahi","Mglow","Mghi","Mnlow","Mnhi","Culow","Cuhi"
"1","Corn",NA,0.97179126,NA,0.902742171,0.883911216,0.9393002825,0.972751711,0.9858693515,1.042492816,0.8846153845,0.956365492,0.9326923075,0.819760101,"Corn",NA,0.043813421,NA,0.030210753,0.001195167,0.0114871195,0.00305474100000003,0.00400406649999996,0.0137571839999999,0.1153846155,0.048802467,0.0673076925,0.048926768,NA,NA,0.415088962581785,1.52849355741822,NA,NA,0.518878158147996,1.286606183852,0.86872517940408,0.89909725259592,0.793342590304096,1.0852579746959,0.933937546438013,1.01156587556199,0.934992862773742,1.03674584022626,0.867691219502774,1.21729441249723,-0.581485163447796,2.3507159324478,0.336271354667591,1.57645962933241,0.0774669862755099,1.78791762872449,0.198086569712679,1.44143363228732
"2","Field_peas",NA,0.9000467974,NA,0.9736771592,0.975612432,0.9579382054,1.0121519926,0.9710267412,0.9731910142,1.0015244522,0.999714064,0.9688135396,0.9574721036,"Field_peas",NA,0.0198326537071433,NA,0.0181526406983795,0.0178348439065731,0.0356632006345237,0.0195118633440862,0.0196221348904566,0.00787287604989298,0.0367638103192984,0.0132380867434542,0.0183735409807985,0.0104522888310103,0.605286223381247,1.82803876061875,0.844982523091719,0.955111071708281,0.919402101706718,1.04045918579328,0.92327734878657,1.02407696961343,0.926094966933628,1.02512989706637,0.85892128656259,1.05695512423741,0.957978375125024,1.06632561007498,0.916546960829861,1.02550652157014,0.951332406027446,0.995049622372554,0.899451750990564,1.10359715340944,0.962959242858953,1.03646888514105,0.917800411678711,1.01982666752129,0.928451897437028,0.986492309762972
"3","Rice",NA,0.96595431596,NA,0.94738320512,0.91922002268,0.99179708748,1.0141507202,0.91886527416,1.04777940064,1.43707949744,0.99407460496,0.92354259812,0.89254174456,"Rice",NA,0.00944018503023423,NA,0.0129389684236727,0.00557218816493333,0.00792124150543853,0.00842098107287487,0.00545555859949371,0.0221398691265784,0.312509996665836,0.00805989172467975,0.0260537059111578,0.01873471867528,NA,NA,0.946470731654597,0.985437900265403,NA,NA,0.920678486801431,0.974087923438568,0.907719591541273,0.930720453818727,0.975448448530617,1.00814572642938,0.996770669476197,1.0315307709238,0.907605554613627,0.930124993706373,1.00208495659502,1.09347384468498,0.792090564827001,2.082068430053,0.977439806022556,1.01070940389744,0.869770391964882,0.977314804275118,0.853875185633584,0.931208303486416
"4","Sorghum",NA,1.036566569,NA,1.0933674835,1.045671359,1.0447214015,1.0633520075,1.0414955545,1.0403751175,1.26754386,1.04828204,1.067168995,1.0269874065,"Sorghum",NA,0.0145885469999999,NA,0.0216035665000001,0.022956092,0.0135687535,0.0601774045,0.0113585684999999,0.1047026025,0.100877193,0.013161892,0.04858976,0.0198445494999999,NA,NA,0.851201504014694,1.22193163398531,NA,NA,0.818868144519434,1.36786682248057,0.753986554105537,1.33735616389446,0.872314041514313,1.21712876148569,0.2987255854314,1.8279784295686,0.897171257629136,1.18581985137086,-0.289997586275316,2.37074782127532,-0.0142224074686084,2.54931012746861,0.881044345532581,1.21551973446742,0.449777556358408,1.68456043364159,0.774838497655848,1.27913631534415
"5","soybean",NA,0.9488348896,NA,0.9599131022,1.00530942232,0.99583139756,1.00129105968,0.97095834024,0.93766609396,0.942804821,0.96438057912,0.991548217,0.9410553232,"soybean",NA,0.00666714583402207,NA,0.00810554693333128,0.00413691420410166,0.00828944582693462,0.00451295656866717,0.00340234069403503,0.0135793439231622,0.00788548022996767,0.00374507155052999,0.00994320716022934,0.0109450405853888,NA,NA,0.935074576902997,0.962595202297002,NA,NA,0.943184075543089,0.976642128856911,0.996771251044576,1.01384759359542,0.978722822241096,1.0129399728789,0.991976775109238,1.01060534425076,0.963936254175413,0.977980426304587,0.909639705569133,0.965692482350867,0.926529989695624,0.959079652304376,0.956651131333667,0.972110026906333,0.971026446044033,1.01206998795597,0.918465869678856,0.963644776721144
"6","wheat",1.32672390433333,0.920495414,0.937414019666667,0.950881074333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wheat",0.0695269471186157,0.0375875436267291,0.0143335567141019,0.0266393666591973,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14799919698297,1.50544861168369,0.823873557106943,1.01711727089306,0.900568439137334,0.974259600196,0.882402402286345,1.01935974638032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
