"","Year.of.study","Crop","Elevated_CO2_Target_ppm","Elevated_CO2_Achieved_ppm","Ambient_CO2_ppm","FACE_ring_diameter_m","code","Level1","Level2","Level3","WateringRegime","Pptn","Irrign","TotH2O","NapplicnQ","Napplicn","TOS","Cultivar","RRB","RRCa","RRCu","RRFe","RRK","RRMg","RRMn","RRN","RRP","RRP","RRS","RRZn","Location"
"1",2001,"soybean",550,548.6,370,"20","1","1","2","24","Dry",NA,0,NA,"Low",0,"26/05/1997","Clark",0.690647482014389,1.0030959752322,1.30097087378641,1.00230149597238,1.01492537313433,0.958015267175573,1.02903225806452,1.00934579439252,1.05210084033613,1.05210084033613,0.964179104477612,1.28346456692913,"Champaign__Illinois"
"2",2001,"soybean",550,548.6,370,"20","9","1","2","3","Dry",NA,0,NA,"Low",0,"26/05/1997","Dwight",1.14806378132118,1.01183431952663,1.24770642201835,1.01822916666667,1.01507537688442,0.946564885496183,1.05900621118012,0.990196078431372,0.958471760797342,0.958471760797342,0.996774193548387,1.14745308310992,"Champaign__Illinois"
"3",2001,"soybean",550,548.6,370,"20","17","1","2","20","Dry",NA,0,NA,"Low",0,"26/05/1997","Flyer",0.451807228915663,0.875346260387812,1.30681818181818,0.879210220673635,1.04838709677419,0.922448979591837,0.95,0.963358778625954,1.01386481802426,1.01386481802426,1.02373887240356,1.10985915492958,"Champaign__Illinois"
"4",2001,"soybean",550,548.6,370,"20","25","1","2","4","Dry",NA,0,NA,"Low",0,"26/05/1997","Loda",1.1,0.933333333333333,1.04032258064516,0.80952380952381,1.01456310679612,0.942084942084942,0.969072164948453,1.00661157024793,0.901664145234493,0.901664145234493,0.956386292834891,1.02284263959391,"Champaign__Illinois"
"5",2001,"soybean",550,548.6,370,"20","33","1","2","25","Dry",NA,0,NA,"Low",0,"26/05/1997","Pana",0.761290322580645,1.01156069364162,1.22935779816514,0.957393483709273,0.979381443298969,0.928853754940711,1.00949367088608,1.02258064516129,0.901840490797546,0.901840490797546,0.98371335504886,1.0941475826972,"Champaign__Illinois"
"6",2001,"soybean",550,548.6,370,"20","41","1","2","14","Dry",NA,0,NA,"Low",0,"26/05/1997","Spencer",0.904761904761905,0.962025316455696,1.31460674157303,0.91283863368669,1.01442307692308,0.930894308943089,0.939209726443769,1.00626959247649,1.00318979266348,1.00318979266348,0.978593272171254,1.12947658402204,"Champaign__Illinois"
"7",2001,"soybean",550,548.6,370,"20","49","1","2","9","Dry",NA,0,NA,"Low",0,"26/05/1997","Williams",0.582658959537572,1.08979591836735,1.07563025210084,0.9575,0.979487179487179,0.954545454545455,1.04137931034483,0.987786259541985,0.899686520376175,0.899686520376175,0.951219512195122,0.983050847457627,"Champaign__Illinois"
"8",2001,"soybean",550,548.6,370,"20","3","2","4","20","Dry",NA,0,NA,"Low",0,"26/05/1997","Clark",1.0531914893617,0.944767441860465,0.833333333333333,0.938331318016929,0.985148514851485,0.937984496124031,0.771341463414634,1.03095975232198,1.02680067001675,1.02680067001675,0.923312883435583,0.815195071868583,"Champaign__Illinois"
"9",2001,"soybean",550,548.6,370,"20","11","2","4","19","Dry",NA,0,NA,"Low",0,"26/05/1997","Dwight",1.04555808656036,0.958208955223881,0.897260273972603,0.887792848335389,1,0.925196850393701,0.689944134078212,0.991680532445923,1.17570093457944,1.17570093457944,0.980456026058632,0.832976445396146,"Champaign__Illinois"
"10",2001,"soybean",550,548.6,370,"20","19","2","4","25","Dry",NA,0,NA,"Low",0,"26/05/1997","Flyer",1.00665188470067,1.02941176470588,0.783582089552239,1.06959706959707,1.02072538860104,1.02654867256637,0.849462365591398,0.961309523809524,1.03649635036496,1.03649635036496,0.922413793103448,0.78310502283105,"Champaign__Illinois"
"11",2001,"soybean",550,548.6,370,"20","27","2","4","24","Dry",NA,0,NA,"Low",0,"26/05/1997","Loda",0.856088560885609,1.08988764044944,0.801242236024845,0.967097532314924,0.967136150234742,0.94140625,0.756329113924051,1.02739726027397,1.01246105919003,1.01246105919003,0.993527508090615,0.808823529411765,"Champaign__Illinois"
"12",2001,"soybean",550,548.6,370,"20","35","2","4","4","Dry",NA,0,NA,"Low",0,"26/05/1997","Pana",0.879781420765027,0.986301369863014,0.76969696969697,0.99877750611247,0.975609756097561,0.968127490039841,0.811320754716981,1.0185497470489,0.968888888888889,0.968888888888889,0.92,0.742647058823529,"Champaign__Illinois"
"13",2001,"soybean",550,548.6,370,"20","43","2","4","22","Dry",NA,0,NA,"Low",0,"26/05/1997","Spencer",0.980132450331126,0.858181818181818,0.888888888888889,0.954022988505747,0.995215311004785,0.924,0.785498489425982,1.01088646967341,1.08910891089109,1.08910891089109,0.9875,0.815217391304348,"Champaign__Illinois"
"14",2001,"soybean",550,548.6,370,"20","51","2","4","12","Dry",NA,0,NA,"Low",0,"26/05/1997","Williams",0.76379974326059,0.956204379562044,0.831168831168831,0.967377666248431,0.995098039215686,0.927710843373494,0.86986301369863,1.0127186009539,1.03376205787781,1.03376205787781,0.946268656716418,0.761904761904762,"Champaign__Illinois"
"15",2001,"soybean",550,548.6,370,"20","5","3","13","25","Dry",NA,0,NA,"Low",0,"26/05/1997","Clark",0.881453154875717,1.02710843373494,1.01680672268908,0.965648854961832,0.97,0.952941176470588,1.02754820936639,1.07166123778502,0.991212653778559,0.991212653778559,1.04040404040404,1.05853658536585,"Champaign__Illinois"
