Study,Location,Year,Crop,Cultivar,WateringRegime,Pptn,Irrign,TotH2O,CO2treatment,NapplicnQ,Napplicn,Phos_App,Temperature_treatment,TOS,CO2_indicator,Pair_Count,Pair-CO2_ID,24hCO2,Yield,Zn,Fe,Ph,N,P,K,S,B,Ca,Mg,Mn,Cu
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Janz,Dry,97,10,107,aCO2,Low,0,0,,TOS1,0,15,150,No,259.4605263,26.0125,46.225,2.472833333,16.742978,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Janz,Dry,97,10,107,eCO2,Low,0,0,,TOS1,1,15,151,No,301.7993421,28.745,47.755,2.463641667,15.797523,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Dry,97,10,107,aCO2,Low,0,0,,TOS1,0,16,160,No,370.4317827,25.325,44.5175,1.860208333,14.780563,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Dry,97,10,107,eCO2,Low,0,0,,TOS1,1,16,161,No,454.9403809,22.9475,43.2375,2.228658333,14.337459,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Janz,Dry,50,25,75,aCO2,Low,0,0,,TOS2,0,17,170,No,128.0197368,31.6825,38.675,2.310341667,15.92487,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Janz,Dry,50,25,75,eCO2,Low,0,0,,TOS2,1,17,171,No,158.0065789,29.465,36.78,2.579066667,15.35298133,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Dry,50,25,75,aCO2,Low,0,0,,TOS2,0,18,180,No,190.6644737,28.64,37.52,1.7586,14.98736,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Dry,50,25,75,eCO2,Low,0,0,,TOS2,1,18,181,No,169.3947368,29.63,38.295,1.695591667,15.081565,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Dry,97,10,107,aCO2,Medium,50,0,,TOS1,0,19,190,No,312.0814854,29.27,44.8,2.16945,15.607751,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Dry,97,10,107,eCO2,Medium,50,0,,TOS1,1,19,191,No,457.6170001,25.135,44.5075,1.938308333,14.861602,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Dry,50,25,75,aCO2,Medium,50,0,,TOS2,0,20,200,No,154.7006579,30.855,36.32,2.118641667,15.19166,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Dry,50,25,75,eCO2,Medium,50,0,,TOS2,1,20,201,No,115.5953947,32.2975,38.51,2.215608333,16.47194,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Janz,Wet,97,40,137,aCO2,Low,0,0,,TOS1,0,21,210,No,262.5855263,31.215,42.91,2.871975,17.130467,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Janz,Wet,97,40,137,eCO2,Low,0,0,,TOS1,1,21,211,No,467.8289474,21.4075,38.9875,2.447216667,15.178721,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Wet,97,40,137,aCO2,Low,0,0,,TOS1,0,22,220,No,402.9494955,28.9375,41.825,2.652291667,16.308273,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Yitpi,Wet,97,40,137,eCO2,Low,0,0,,TOS1,1,22,221,No,556.3856384,23.5375,38.535,1.9821,13.914558,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2008,wheat,Janz,Wet,50,80,130,aCO2,Low,0,0,,TOS2,0,23,230,No,149.7828947,37.5925,38.7925,2.959483333,17.271434,,,,,,,,
