num,locyrwntc,Location,year,Crop,WateringRegime,NapplicnQ,TOS,Cultivar,Zn,Fe,N,P,K,S,B,Ca,Mg,Mn,Cu,Yield,CorrYield,protein,LocYrCrL1L2L3WNTC,LocYrCrL1L2WNTC,LocYrCrWNTC,CropCO2,PairedFACEdata$Location,RRB,RRCa,RRCu,RRFe,RRK,RRMg,RRMn,RRN,RRP,RRP,RRS,RRZn,RRyield
11,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Loda,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Loda,47.6,85.1,5.84,0.642,2.13,3090,54.2,0.267,0.256,31.6,16.1,,,,Champaign__Illinois 2001 soybean 2 4 24 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda,soybean aCO2,Champaign__Illinois,0.856088561,1.08988764,0.801242236,0.967097532,0.96713615,0.94140625,0.756329114,1.02739726,1.012461059,1.012461059,0.993527508,0.808823529,
12,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Pana,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Pana,54.4,81.8,5.93,0.675,2.05,3250,54.9,0.365,0.251,31.8,16.5,,,,Champaign__Illinois 2001 soybean 2 4 4 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana,soybean aCO2,Champaign__Illinois,0.879781421,0.98630137,0.76969697,0.998777506,0.975609756,0.96812749,0.811320755,1.018549747,0.968888889,0.968888889,0.92,0.742647059,
13,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Spencer,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Spencer,46,78.3,6.43,0.606,2.09,3200,45.3,0.275,0.25,33.1,11.7,,,,Champaign__Illinois 2001 soybean 2 4 22 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer,soybean aCO2,Champaign__Illinois,0.98013245,0.858181818,0.888888889,0.954022989,0.995215311,0.924,0.785498489,1.01088647,1.089108911,1.089108911,0.9875,0.815217391,
14,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Williams,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Williams,50.4,79.7,6.29,0.622,2.04,3350,77.9,0.274,0.249,29.2,15.4,,,,Champaign__Illinois 2001 soybean 2 4 12 Dry Low 26/05/1997 Williams,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Williams,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams,soybean aCO2,Champaign__Illinois,0.763799743,0.95620438,0.831168831,0.967377666,0.995098039,0.927710843,0.869863014,1.012718601,1.033762058,1.033762058,0.946268657,0.761904762,
15,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Clark,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Clark,41,78.6,6.14,0.569,2,2970,52.3,0.332,0.255,36.3,11.9,,,,Champaign__Illinois 2001 soybean 3 13 25 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark,soybean aCO2,Champaign__Illinois,0.881453155,1.027108434,1.016806723,0.965648855,0.97,0.952941176,1.027548209,1.071661238,0.991212654,0.991212654,1.04040404,1.058536585,
16,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Dwight,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Dwight,40.9,70.7,6.04,0.545,1.92,2950,46.1,0.343,0.252,35.2,14.4,,,,Champaign__Illinois 2001 soybean 3 13 24 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight,soybean aCO2,Champaign__Illinois,1.123644252,1.011661808,0.868055556,0.946251768,0.973958333,0.94047619,1.190340909,1.064569536,0.950458716,0.950458716,0.979661017,0.938875306,
17,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Flyer,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Flyer,39,78.7,6.3,0.539,1.96,3220,47.2,0.292,0.226,29.9,13.1,,,,Champaign__Illinois 2001 soybean 3 13 21 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer,soybean aCO2,Champaign__Illinois,0.900423729,1.109589041,0.770992366,0.817026684,0.93877551,0.96460177,1.280936455,1.028571429,0.884972171,0.884972171,0.937888199,0.928205128,
18,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Loda,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Loda,42.2,78,5.96,0.595,1.97,3150,51.6,0.263,0.256,38,14.8,,,,Champaign__Illinois 2001 soybean 3 13 23 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda,soybean aCO2,Champaign__Illinois,0.798449612,1.022813688,0.959459459,0.930769231,0.974619289,0.94921875,0.886842105,1.048657718,0.892436975,0.892436975,0.99047619,0.990521327,
19,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Pana,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Pana,43.4,74.8,6.01,0.609,1.96,2890,50.7,0.346,0.243,35.9,13.9,,,,Champaign__Illinois 2001 soybean 3 13 6 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana,soybean aCO2,Champaign__Illinois,1.053254438,1.014450867,0.985611511,0.926470588,0.948979592,0.995884774,1.208913649,1.038269551,0.932676519,0.932676519,1.024221453,1.029953917,
20,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Spencer,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Spencer,38.3,71.7,6.18,0.591,2.03,3020,48.1,0.262,0.238,33.8,11.5,,,,Champaign__Illinois 2001 soybean 3 13 14 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer,soybean aCO2,Champaign__Illinois,0.968814969,0.938931298,0.92173913,0.963737796,0.97044335,0.953781513,1.144970414,1.024271845,0.846023689,0.846023689,0.947019868,0.979112272,
