num,locyrwntc,Location,year,Crop,WateringRegime,NapplicnQ,TOS,Cultivar,Zn,Fe,N,P,K,S,B,Ca,Mg,Mn,Cu,Yield,CorrYield,protein,LocYrCrL1L2L3WNTC,LocYrCrL1L2WNTC,LocYrCrWNTC,CropCO2,PairedFACEdata$Location,RRB,RRCa,RRCu,RRFe,RRK,RRMg,RRMn,RRN,RRP,RRP,RRS,RRZn,RRyield
93,Champaign__Illinois 2008 Corn B Dry Low NA Cv34B43,Champaign__Illinois,2008,Corn,Dry,Low,,Cv34B43,21.3,14.1,1,0.298,0.37,920,4.3,0.005,0.098,4.1,1.8,,,,Champaign__Illinois 2008 Corn B 4 NA Dry Low NA Cv34B43,Champaign__Illinois 2008 Corn B 4 Dry Low NA Cv34B43,Champaign__Illinois 2008 Corn Dry Low NA Cv34B43,Corn aCO2,Champaign__Illinois,1.139534884,1.2,0.944444444,1.070921986,0.891891892,0.908163265,0.975609756,1.17,0.842281879,0.842281879,1.141304348,0.82629108,
94,Champaign__Illinois 2008 Corn B Dry Low NA DKC61-19,Champaign__Illinois,2008,Corn,Dry,Low,,DKC61-19,20.6,13.8,0.91,0.287,0.35,940,4.1,0.004,0.104,4,1.9,,,,Champaign__Illinois 2008 Corn B 4 NA Dry Low NA DKC61-19,Champaign__Illinois 2008 Corn B 4 Dry Low NA DKC61-19,Champaign__Illinois 2008 Corn Dry Low NA DKC61-19,Corn aCO2,Champaign__Illinois,1.073170732,1,1,0.833333333,0.828571429,0.855769231,0.9,1.076923077,0.738675958,0.738675958,1.085106383,0.849514563,
95,Champaign__Illinois 2008 Corn B Dry Medium NA Cv34B43,Champaign__Illinois,2008,Corn,Dry,Medium,,Cv34B43,23,17.3,1.41,0.245,0.34,970,4.1,0.004,0.094,4.9,2.3,,,,Champaign__Illinois 2008 Corn B 4 NA Dry Medium NA Cv34B43,Champaign__Illinois 2008 Corn B 4 Dry Medium NA Cv34B43,Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43,Corn aCO2,Champaign__Illinois,1.073170732,1,0.956521739,0.98265896,0.941176471,0.882978723,0.673469388,0.780141844,0.812244898,0.812244898,1.030927835,0.72173913,
96,Champaign__Illinois 2008 Corn B Dry Medium NA DKC61-19,Champaign__Illinois,2008,Corn,Dry,Medium,,DKC61-19,21.9,14.3,1.24,0.284,0.34,1070,4.1,0.002,0.1,4.5,2.2,,,,Champaign__Illinois 2008 Corn B 4 NA Dry Medium NA DKC61-19,Champaign__Illinois 2008 Corn B 4 Dry Medium NA DKC61-19,Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19,Corn aCO2,Champaign__Illinois,0.975609756,1.5,0.818181818,0.881118881,0.882352941,0.98,0.8,0.919354839,0.862676056,0.862676056,0.990654206,0.881278539,
97,Champaign__Illinois 2008 Corn C Dry Low NA Cv34B43,Champaign__Illinois,2008,Corn,Dry,Low,,Cv34B43,17.9,14.4,1,0.262,0.34,880,4.2,0.006,0.096,3.5,1.7,,,,Champaign__Illinois 2008 Corn C 10 NA Dry Low NA Cv34B43,Champaign__Illinois 2008 Corn C 10 Dry Low NA Cv34B43,Champaign__Illinois 2008 Corn Dry Low NA Cv34B43,Corn aCO2,Champaign__Illinois,1.095238095,0.833333333,1.235294118,1.090277778,0.970588235,0.90625,1,1.04,0.877862595,0.877862595,1.022727273,0.938547486,
98,Champaign__Illinois 2008 Corn C Dry Low NA DKC61-19,Champaign__Illinois,2008,Corn,Dry,Low,,DKC61-19,17.8,13.2,0.94,0.259,0.32,900,4.7,0.004,0.103,3.8,1.8,,,,Champaign__Illinois 2008 Corn C 10 NA Dry Low NA DKC61-19,Champaign__Illinois 2008 Corn C 10 Dry Low NA DKC61-19,Champaign__Illinois 2008 Corn Dry Low NA DKC61-19,Corn aCO2,Champaign__Illinois,0.70212766,1,1.055555556,1.022727273,1,0.932038835,1.078947368,0.925531915,0.972972973,0.972972973,1.033333333,1.073033708,
99,Champaign__Illinois 2008 Corn C Dry Medium NA Cv34B43,Champaign__Illinois,2008,Corn,Dry,Medium,,Cv34B43,17.3,18.7,1.19,0.243,0.34,1000,4.5,0.005,0.09,3.6,2.4,,,,Champaign__Illinois 2008 Corn C 10 NA Dry Medium NA Cv34B43,Champaign__Illinois 2008 Corn C 10 Dry Medium NA Cv34B43,Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43,Corn aCO2,Champaign__Illinois,1,1,0.958333333,0.941176471,0.911764706,0.888888889,1.083333333,0.882352941,0.913580247,0.913580247,0.91,1.046242775,
100,Champaign__Illinois 2008 Corn C Dry Medium NA DKC61-19,Champaign__Illinois,2008,Corn,Dry,Medium,,DKC61-19,18.2,14.4,1.18,0.24,0.3,960,3.9,0.003,0.094,3.3,2.2,,,,Champaign__Illinois 2008 Corn C 10 NA Dry Medium NA DKC61-19,Champaign__Illinois 2008 Corn C 10 Dry Medium NA DKC61-19,Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19,Corn aCO2,Champaign__Illinois,1.025641026,1.333333333,0.863636364,0.993055556,1.033333333,1.053191489,1.363636364,0.788135593,1.041666667,1.041666667,0.989583333,1.236263736,
101,Champaign__Illinois 2008 Corn D Dry Low NA Cv34B43,Champaign__Illinois,2008,Corn,Dry,Low,,Cv34B43,17.2,16.1,0.91,0.229,0.33,810,4.5,0.005,0.081,3.5,1.8,,,,Champaign__Illinois 2008 Corn D 11 NA Dry Low NA Cv34B43,Champaign__Illinois 2008 Corn D 11 Dry Low NA Cv34B43,Champaign__Illinois 2008 Corn Dry Low NA Cv34B43,Corn aCO2,Champaign__Illinois,1.111111111,1.2,1.055555556,0.937888199,1.060606061,0.987654321,1.057142857,1.142857143,0.947598253,0.947598253,1.148148148,0.930232558,
102,Champaign__Illinois 2008 Corn D Dry Low NA DKC61-19,Champaign__Illinois,2008,Corn,Dry,Low,,DKC61-19,17.2,12.9,0.88,0.226,0.31,900,4.5,0.004,0.09,3.8,1.9,,,,Champaign__Illinois 2008 Corn D 11 NA Dry Low NA DKC61-19,Champaign__Illinois 2008 Corn D 11 Dry Low NA DKC61-19,Champaign__Illinois 2008 Corn Dry Low NA DKC61-19,Corn aCO2,Champaign__Illinois,0.977777778,1.25,0.842105263,1.085271318,0.967741935,1.033333333,1.210526316,1.079545455,1.07079646,1.07079646,1.055555556,1.069767442,
103,Champaign__Illinois 2008 Corn D Dry Medium NA Cv34B43,Champaign__Illinois,2008,Corn,Dry,Medium,,Cv34B43,15.5,17.8,1.12,0.212,0.32,940,4.5,0.005,0.08,3.5,2.9,,,,Champaign__Illinois 2008 Corn D 11 NA Dry Medium NA Cv34B43,Champaign__Illinois 2008 Corn D 11 Dry Medium NA Cv34B43,Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43,Corn aCO2,Champaign__Illinois,1,1,0.689655172,0.921348315,1,0.9625,0.942857143,0.946428571,1.014150943,1.014150943,1.031914894,1,
104,Champaign__Illinois 2008 Corn D Dry Medium NA DKC61-19,Champaign__Illinois,2008,Corn,Dry,Medium,,DKC61-19,17.9,14.9,1.13,0.239,0.29,930,3.9,0.003,0.093,3.7,3.3,,,,Champaign__Illinois 2008 Corn D 11 NA Dry Medium NA DKC61-19,Champaign__Illinois 2008 Corn D 11 Dry Medium NA DKC61-19,Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19,Corn aCO2,Champaign__Illinois,1.051282051,1,0.545454545,0.906040268,0.931034483,1,1.054054054,1.044247788,0.89539749,0.89539749,1.075268817,1.011173184,
105,Champaign__Illinois 2008 soybean 1 Dry Low 16/06/2004 Loda,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Loda,41.7,70,6.11,0.504,1.83,3120,39.4,0.219,0.244,22.5,14.8,,,,Champaign__Illinois 2008 soybean 1 17 3 Dry Low 16/06/2004 Loda,Champaign__Illinois 2008 soybean 1 17 Dry Low 16/06/2004 Loda,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda,soybean aCO2,Champaign__Illinois,0.918781726,0.99086758,0.891891892,0.994285714,1.010928962,0.93852459,0.928888889,0.955810147,1.08531746,1.08531746,0.929487179,0.904076739,
106,Champaign__Illinois 2008 soybean 1 Dry Low 16/06/2004 Pana,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Pana,37.5,64.4,5.92,0.492,1.71,2900,40.6,0.307,0.234,23.3,14.3,,,,Champaign__Illinois 2008 soybean 1 17 1 Dry Low 16/06/2004 Pana,Champaign__Illinois 2008 soybean 1 17 Dry Low 16/06/2004 Pana,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana,soybean aCO2,Champaign__Illinois,0.977832512,1.006514658,1.034965035,1.077639752,1.029239766,0.987179487,0.939914163,0.993243243,1.148373984,1.148373984,1,1.090666667,
107,Champaign__Illinois 2008 soybean 2 Dry Low 16/06/2004 Loda,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Loda,38.8,74.7,6.01,0.572,1.91,3110,36,0.222,0.244,22.2,14.7,,,,Champaign__Illinois 2008 soybean 2 24 3 Dry Low 16/06/2004 Loda,Champaign__Illinois 2008 soybean 2 24 Dry Low 16/06/2004 Loda,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda,soybean aCO2,Champaign__Illinois,0.958333333,0.846846847,0.897959184,1.020080321,0.958115183,0.942622951,1.054054054,1.059900166,0.823426573,0.823426573,0.945337621,0.886597938,
108,Champaign__Illinois 2008 soybean 2 Dry Low 16/06/2004 Pana,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Pana,39.5,73.7,5.89,0.565,1.77,3010,39.4,0.316,0.239,22.4,14.8,,,,Champaign__Illinois 2008 soybean 2 24 1 Dry Low 16/06/2004 Pana,Champaign__Illinois 2008 soybean 2 24 Dry Low 16/06/2004 Pana,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana,soybean aCO2,Champaign__Illinois,1.038071066,0.898734177,0.925675676,0.905020353,1.02259887,0.966527197,1.080357143,1.042444822,0.897345133,0.897345133,0.980066445,0.941772152,
109,Champaign__Illinois 2008 soybean 3 Dry Low 16/06/2004 Loda,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Loda,35.2,81,6.35,0.48,1.83,3060,36.4,0.219,0.239,24.7,13.4,,,,Champaign__Illinois 2008 soybean 3 25 4 Dry Low 16/06/2004 Loda,Champaign__Illinois 2008 soybean 3 25 Dry Low 16/06/2004 Loda,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda,soybean aCO2,Champaign__Illinois,0.928571429,0.940639269,1.044776119,0.883950617,1.049180328,1.016736402,0.894736842,0.966929134,1.229166667,1.229166667,1,1.053977273,
110,Champaign__Illinois 2008 soybean 3 Dry Low 16/06/2004 Pana,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Pana,36.4,70.3,6.06,0.539,1.81,3020,40.7,0.311,0.244,25.5,14.6,,,,Champaign__Illinois 2008 soybean 3 25 1 Dry Low 16/06/2004 Pana,Champaign__Illinois 2008 soybean 3 25 Dry Low 16/06/2004 Pana,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana,soybean aCO2,Champaign__Illinois,0.995085995,0.916398714,1.102739726,1.027027027,0.994475138,1.004098361,0.874509804,1.00660066,1.183673469,1.183673469,1.006622517,1.129120879,
111,Champaign__Illinois 2008 soybean 4 Dry Low 16/06/2004 Loda,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Loda,42,70.5,5.99,0.604,1.8,3040,37.8,0.243,0.237,23.9,15.4,,,,Champaign__Illinois 2008 soybean 4 32 3 Dry Low 16/06/2004 Loda,Champaign__Illinois 2008 soybean 4 32 Dry Low 16/06/2004 Loda,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda,soybean aCO2,Champaign__Illinois,1.015873016,0.860082305,0.798701299,1.104964539,1.033333333,0.978902954,1.108786611,1.03672788,0.885761589,0.885761589,0.990131579,0.823809524,
112,Champaign__Illinois 2008 soybean 4 Dry Low 16/06/2004 Pana,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Pana,39.6,69.2,5.74,0.613,1.76,2980,40.7,0.318,0.239,23.2,15.3,,,,Champaign__Illinois 2008 soybean 4 32 5 Dry Low 16/06/2004 Pana,Champaign__Illinois 2008 soybean 4 32 Dry Low 16/06/2004 Pana,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana,soybean aCO2,Champaign__Illinois,0.985257985,0.905660377,0.947712418,1.148843931,1.017045455,1.012552301,1.099137931,1.010452962,0.89233279,0.89233279,1,0.911616162,
113,Horsham__Australia 2007 wheat 1 Dry Low TOS_1 Janz,Horsham__Australia,2007,wheat,Dry,Low,TOS_1,Janz,28.14,33.08,,,,,,,,,,275.7,275.7,13.85,Horsham__Australia 2007 wheat 1 2 K Dry Low TOS_1 Janz,Horsham__Australia 2007 wheat 1 2 Dry Low TOS_1 Janz,Horsham__Australia 2007 wheat Dry Low TOS_1 Janz,wheat aCO2,Horsham__Australia,,,,0.862454655,,,,,,,,1.054726368,1.178454842
114,Horsham__Australia 2007 wheat 1 Dry Low TOS_1 Yitpi,Horsham__Australia,2007,wheat,Dry,Low,TOS_1,Yitpi,27.43,35.53,,,,,,,,,,354.8,354.8,13.93,Horsham__Australia 2007 wheat 1 2 H Dry Low TOS_1 Yitpi,Horsham__Australia 2007 wheat 1 2 Dry Low TOS_1 Yitpi,Horsham__Australia 2007 wheat Dry Low TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,0.807205179,,,,,,,,1.177907401,0.844137542
115,Horsham__Australia 2007 wheat 1 Dry Low TOS_2 Janz,Horsham__Australia,2007,wheat,Dry,Low,TOS_2,Janz,29.92,34.1,,,,,,,,,,241.6,241.6,13.41,Horsham__Australia 2007 wheat 1 2 C Dry Low TOS_2 Janz,Horsham__Australia 2007 wheat 1 2 Dry Low TOS_2 Janz,Horsham__Australia 2007 wheat Dry Low TOS_2 Janz,wheat aCO2,Horsham__Australia,,,,1.02111437,,,,,,,,0.992647059,0.975165563
116,Horsham__Australia 2007 wheat 1 Dry Low TOS_2 Yitpi,Horsham__Australia,2007,wheat,Dry,Low,TOS_2,Yitpi,32.65,39.97,,,,,,,,,,311.1,311.1,13.39,Horsham__Australia 2007 wheat 1 2 B Dry Low TOS_2 Yitpi,Horsham__Australia 2007 wheat 1 2 Dry Low TOS_2 Yitpi,Horsham__Australia 2007 wheat Dry Low TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.842381786,,,,,,,,0.892189893,1.083574413
117,Horsham__Australia 2007 wheat 1 Dry Medium TOS_1 Yitpi,Horsham__Australia,2007,wheat,Dry,Medium,TOS_1,Yitpi,29.52,32.04,,,,,,,,,,309.5,309.5,14.05,Horsham__Australia 2007 wheat 1 2 J Dry Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat 1 2 Dry Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat Dry Medium TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,0.925093633,,,,,,,,0.996612466,1.300484653
118,Horsham__Australia 2007 wheat 1 Dry Medium TOS_2 Yitpi,Horsham__Australia,2007,wheat,Dry,Medium,TOS_2,Yitpi,27.04,35.76,,,,,,,,,,244.9,244.9,13.13,Horsham__Australia 2007 wheat 1 2 E Dry Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat 1 2 Dry Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat Dry Medium TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.967281879,,,,,,,,1.212278107,1.139240506
119,Horsham__Australia 2007 wheat 1 Wet Low TOS_1 Janz,Horsham__Australia,2007,wheat,Wet,Low,TOS_1,Janz,25.02,28.58,,,,,,,,,,294.9,294.9,13.12,Horsham__Australia 2007 wheat 1 1 E Wet Low TOS_1 Janz,Horsham__Australia 2007 wheat 1 1 Wet Low TOS_1 Janz,Horsham__Australia 2007 wheat Wet Low TOS_1 Janz,wheat aCO2,Horsham__Australia,,,,0.920573828,,,,,,,,1.113109512,1.575788403
120,Horsham__Australia 2007 wheat 1 Wet Low TOS_1 Yitpi,Horsham__Australia,2007,wheat,Wet,Low,TOS_1,Yitpi,29.4,31.69,,,,,,,,,,323.3,323.3,12.81,Horsham__Australia 2007 wheat 1 1 C Wet Low TOS_1 Yitpi,Horsham__Australia 2007 wheat 1 1 Wet Low TOS_1 Yitpi,Horsham__Australia 2007 wheat Wet Low TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,0.939097507,,,,,,,,0.97244898,1.240024745
121,Horsham__Australia 2007 wheat 1 Wet Low TOS_2 Janz,Horsham__Australia,2007,wheat,Wet,Low,TOS_2,Janz,34.59,37.74,,,,,,,,,,231.8,231.8,13.91,Horsham__Australia 2007 wheat 1 1 K Wet Low TOS_2 Janz,Horsham__Australia 2007 wheat 1 1 Wet Low TOS_2 Janz,Horsham__Australia 2007 wheat Wet Low TOS_2 Janz,wheat aCO2,Horsham__Australia,,,,0.90381558,,,,,,,,0.963862388,1.688955997
122,Horsham__Australia 2007 wheat 1 Wet Low TOS_2 Yitpi,Horsham__Australia,2007,wheat,Wet,Low,TOS_2,Yitpi,37.99,43.63,,,,,,,,,,253.3,253.3,14.78,Horsham__Australia 2007 wheat 1 1 J Wet Low TOS_2 Yitpi,Horsham__Australia 2007 wheat 1 1 Wet Low TOS_2 Yitpi,Horsham__Australia 2007 wheat Wet Low TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.817327527,,,,,,,,1.043169255,1.180418476
123,Horsham__Australia 2007 wheat 1 Wet Medium TOS_1 Yitpi,Horsham__Australia,2007,wheat,Wet,Medium,TOS_1,Yitpi,28.29,31.95,,,,,,,,,,292.6,292.6,13.76,Horsham__Australia 2007 wheat 1 1 B Wet Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat 1 1 Wet Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat Wet Medium TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,0.853208138,,,,,,,,0.885118416,1.11038961
124,Horsham__Australia 2007 wheat 1 Wet Medium TOS_2 Yitpi,Horsham__Australia,2007,wheat,Wet,Medium,TOS_2,Yitpi,35.68,39.67,,,,,,,,,,120.7,120.7,14.11,Horsham__Australia 2007 wheat 1 1 H Wet Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat 1 1 Wet Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat Wet Medium TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.871943534,,,,,,,,0.806053812,3.844241922
125,Horsham__Australia 2007 wheat 2 Dry Low TOS_1 Janz,Horsham__Australia,2007,wheat,Dry,Low,TOS_1,Janz,26.89,35.14,,,,,,,,,,304.9,304.9,14.25,Horsham__Australia 2007 wheat 2 8 E Dry Low TOS_1 Janz,Horsham__Australia 2007 wheat 2 8 Dry Low TOS_1 Janz,Horsham__Australia 2007 wheat Dry Low TOS_1 Janz,wheat aCO2,Horsham__Australia,,,,0.93340922,,,,,,,,0.791744143,0.818629059
126,Horsham__Australia 2007 wheat 2 Dry Low TOS_1 Yitpi,Horsham__Australia,2007,wheat,Dry,Low,TOS_1,Yitpi,32.77,34.89,,,,,,,,,,298,298,13.59,Horsham__Australia 2007 wheat 2 8 C Dry Low TOS_1 Yitpi,Horsham__Australia 2007 wheat 2 8 Dry Low TOS_1 Yitpi,Horsham__Australia 2007 wheat Dry Low TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,0.968185727,,,,,,,,0.57827281,0.994966443
127,Horsham__Australia 2007 wheat 2 Dry Low TOS_2 Janz,Horsham__Australia,2007,wheat,Dry,Low,TOS_2,Janz,24.2,35.01,,,,,,,,,,260.5,260.5,12.84,Horsham__Australia 2007 wheat 2 8 J Dry Low TOS_2 Janz,Horsham__Australia 2007 wheat 2 8 Dry Low TOS_2 Janz,Horsham__Australia 2007 wheat Dry Low TOS_2 Janz,wheat aCO2,Horsham__Australia,,,,1.025992574,,,,,,,,0.908264463,0.824184261
128,Horsham__Australia 2007 wheat 2 Dry Low TOS_2 Yitpi,Horsham__Australia,2007,wheat,Dry,Low,TOS_2,Yitpi,33.53,44.18,,,,,,,,,,209.5,209.5,15.07,Horsham__Australia 2007 wheat 2 8 H Dry Low TOS_2 Yitpi,Horsham__Australia 2007 wheat 2 8 Dry Low TOS_2 Yitpi,Horsham__Australia 2007 wheat Dry Low TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.876188321,,,,,,,,0.673725022,0.818138425
129,Horsham__Australia 2007 wheat 2 Dry Medium TOS_1 Yitpi,Horsham__Australia,2007,wheat,Dry,Medium,TOS_1,Yitpi,32.65,32.8,,,,,,,,,,302.6,302.6,14.05,Horsham__Australia 2007 wheat 2 8 B Dry Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat 2 8 Dry Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat Dry Medium TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,1.017682927,,,,,,,,0.577641654,0.989755453
130,Horsham__Australia 2007 wheat 2 Dry Medium TOS_2 Yitpi,Horsham__Australia,2007,wheat,Dry,Medium,TOS_2,Yitpi,25.77,40.25,,,,,,,,,,232.1,232.1,14.1,Horsham__Australia 2007 wheat 2 8 K Dry Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat 2 8 Dry Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat Dry Medium TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.905341615,,,,,,,,0.920450136,0.864713486
131,Horsham__Australia 2007 wheat 2 Wet Low TOS_1 Janz,Horsham__Australia,2007,wheat,Wet,Low,TOS_1,Janz,25.91,29.43,,,,,,,,,,392.5,392.5,13.04,Horsham__Australia 2007 wheat 2 7 H Wet Low TOS_1 Janz,Horsham__Australia 2007 wheat 2 7 Wet Low TOS_1 Janz,Horsham__Australia 2007 wheat Wet Low TOS_1 Janz,wheat aCO2,Horsham__Australia,,,,0.957186544,,,,,,,,0.9436511,1.254267516
132,Horsham__Australia 2007 wheat 2 Wet Low TOS_1 Yitpi,Horsham__Australia,2007,wheat,Wet,Low,TOS_1,Yitpi,29.94,32.97,,,,,,,,,,393.2,393.2,13.09,Horsham__Australia 2007 wheat 2 7 K Wet Low TOS_1 Yitpi,Horsham__Australia 2007 wheat 2 7 Wet Low TOS_1 Yitpi,Horsham__Australia 2007 wheat Wet Low TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,1.015165302,,,,,,,,1.165330661,0.957019329
133,Horsham__Australia 2007 wheat 2 Wet Low TOS_2 Janz,Horsham__Australia,2007,wheat,Wet,Low,TOS_2,Janz,31.78,34.21,,,,,,,,,,253.6,253.6,12.93,Horsham__Australia 2007 wheat 2 7 E Wet Low TOS_2 Janz,Horsham__Australia 2007 wheat 2 7 Wet Low TOS_2 Janz,Horsham__Australia 2007 wheat Wet Low TOS_2 Janz,wheat aCO2,Horsham__Australia,,,,1.139432914,,,,,,,,1.059786029,1.056388013
134,Horsham__Australia 2007 wheat 2 Wet Low TOS_2 Yitpi,Horsham__Australia,2007,wheat,Wet,Low,TOS_2,Yitpi,30.59,36.92,,,,,,,,,,276.9,276.9,13.4,Horsham__Australia 2007 wheat 2 7 C Wet Low TOS_2 Yitpi,Horsham__Australia 2007 wheat 2 7 Wet Low TOS_2 Yitpi,Horsham__Australia 2007 wheat Wet Low TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,1.031419285,,,,,,,,1.187969925,0.959552185
135,Horsham__Australia 2007 wheat 2 Wet Medium TOS_1 Yitpi,Horsham__Australia,2007,wheat,Wet,Medium,TOS_1,Yitpi,29.98,33.51,,,,,,,,,,304.9,304.9,13.91,Horsham__Australia 2007 wheat 2 7 J Wet Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat 2 7 Wet Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat Wet Medium TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,0.858251268,,,,,,,,0.954636424,1.695309938
136,Horsham__Australia 2007 wheat 2 Wet Medium TOS_2 Yitpi,Horsham__Australia,2007,wheat,Wet,Medium,TOS_2,Yitpi,30.43,36.12,,,,,,,,,,312.2,312.2,13.36,Horsham__Australia 2007 wheat 2 7 B Wet Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat 2 7 Wet Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat Wet Medium TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.977851606,,,,,,,,1.062767006,0.947469571
137,Horsham__Australia 2007 wheat 3 Dry Low TOS_1 Janz,Horsham__Australia,2007,wheat,Dry,Low,TOS_1,Janz,25.85,29.93,,,,,,,,,,306.5,306.5,13.53,Horsham__Australia 2007 wheat 3 11 B Dry Low TOS_1 Janz,Horsham__Australia 2007 wheat 3 11 Dry Low TOS_1 Janz,Horsham__Australia 2007 wheat Dry Low TOS_1 Janz,wheat aCO2,Horsham__Australia,,,,1.108920815,,,,,,,,1.405802708,0.736704731
138,Horsham__Australia 2007 wheat 3 Dry Low TOS_1 Yitpi,Horsham__Australia,2007,wheat,Dry,Low,TOS_1,Yitpi,38.54,34.01,,,,,,,,,,130.6,130.6,13.82,Horsham__Australia 2007 wheat 3 11 E Dry Low TOS_1 Yitpi,Horsham__Australia 2007 wheat 3 11 Dry Low TOS_1 Yitpi,Horsham__Australia 2007 wheat Dry Low TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,0.930902676,,,,,,,,0.9159315,2.558192956
139,Horsham__Australia 2007 wheat 3 Dry Low TOS_2 Janz,Horsham__Australia,2007,wheat,Dry,Low,TOS_2,Janz,37.67,43.31,,,,,,,,,,125.4,125.4,14.63,Horsham__Australia 2007 wheat 3 11 J Dry Low TOS_2 Janz,Horsham__Australia 2007 wheat 3 11 Dry Low TOS_2 Janz,Horsham__Australia 2007 wheat Dry Low TOS_2 Janz,wheat aCO2,Horsham__Australia,,,,0.910644193,,,,,,,,1.082824529,0.937001595
140,Horsham__Australia 2007 wheat 3 Dry Low TOS_2 Yitpi,Horsham__Australia,2007,wheat,Dry,Low,TOS_2,Yitpi,38.3,39.77,,,,,,,,,,96.4,96.4,13.68,Horsham__Australia 2007 wheat 3 11 H Dry Low TOS_2 Yitpi,Horsham__Australia 2007 wheat 3 11 Dry Low TOS_2 Yitpi,Horsham__Australia 2007 wheat Dry Low TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.997485542,,,,,,,,0.954046997,2.643153527
141,Horsham__Australia 2007 wheat 3 Dry Medium TOS_1 Yitpi,Horsham__Australia,2007,wheat,Dry,Medium,TOS_1,Yitpi,38.43,32.11,,,,,,,,,,219.7,219.7,14.32,Horsham__Australia 2007 wheat 3 11 C Dry Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat 3 11 Dry Medium TOS_1 Yitpi,Horsham__Australia 2007 wheat Dry Medium TOS_1 Yitpi,wheat aCO2,Horsham__Australia,,,,0.981937091,,,,,,,,0.830861306,1.53117888
142,Horsham__Australia 2007 wheat 3 Dry Medium TOS_2 Yitpi,Horsham__Australia,2007,wheat,Dry,Medium,TOS_2,Yitpi,40.21,42.58,,,,,,,,,,171.2,171.2,14.38,Horsham__Australia 2007 wheat 3 11 K Dry Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat 3 11 Dry Medium TOS_2 Yitpi,Horsham__Australia 2007 wheat Dry Medium TOS_2 Yitpi,wheat aCO2,Horsham__Australia,,,,0.994128699,,,,,,,,0.955235016,0.773948598
