AreaName,Value,sPDFname,countrycode
Burundi,1604,Burundi,BUR
Comoros,2139,Comoros,COM
Democratic Republic of the Congo,1727,Congo (Kinshasa),COD
Eritrea,1640,Eritrea,ERI
Netherlands Antilles,3102,,ANT
Seychelles,2426,Seychelles,SYC
