country,max protein,source main protein,source.meatorveg,simplified.source.protein,source main veg protein,source main carbs,av age boysandgirls,FBS order,Pop order
Southern Europe,26,Wheat and products,v,Wheat and products,Wheat and products,Maize and products,41.3139502,178,196
Spain,18,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),40.75275632,179,197
Sri Lanka,20,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,32.13923194,180,198
Sudan (former),18,Sorghum and products,v,Sorghum and products,Sorghum and products,Wheat and products,22.63711499,181,201
Suriname,13,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),29.82050061,182,202
Swaziland,17,Maize and products,v,Maize and products,Maize and products,Sorghum and products,22.76701298,183,203
Sweden,27,Milk - Excluding Butter,m,animals,Wheat and products,Rice (Milled Equivalent),40.56335661,184,204
Switzerland,23,Milk - Excluding Butter,m,animals,Wheat and products,Maize and products,40.92584912,185,205
Syrian Arab Republic,36,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,24.81382962,186,206
Tajikistan,29,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,24.31849865,187,207
Thailand,19,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,35.27127656,188,209
The former Yugoslav Republic of Macedonia,22,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,36.83321409,189,208
Timor-Leste,15,Maize and products,v,Maize and products,Maize and products,Rice (Milled Equivalent),20.97802121,190,210
Togo,15,Maize and products,v,Maize and products,Maize and products,Wheat and products,22.14470393,191,211
Trinidad and Tobago,18,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),33.66869463,192,213
Tunisia,49,Wheat and products,v,Wheat and products,Wheat and products,Maize and products,31.24065048,193,214
Turkey,43,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,30.42532611,194,215
Turkmenistan,44,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,27.29918415,195,216
Uganda,8,Maize and products,v,Maize and products,Maize and products,Wheat and products,19.72450848,196,217
Ukraine,25,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,39.82666022,197,218
United Arab Emirates,23,Wheat and products,v,Wheat and products,Wheat and products,Maize and products,26.75703595,198,219
United Kingdom,24,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,39.56644099,199,220
United Republic of Tanzania,12,Maize and products,v,Maize and products,Maize and products,Wheat and products,21.49540828,200,221
United States of America,22,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,37.34496852,201,222
Uruguay,22,Wheat and products,v,Wheat and products,Wheat and products,Maize and products,35.75231689,202,224
Uzbekistan,40,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,27.10257922,203,225
Vanuatu,9,Wheat and productsPelagic Fish,b,NA,Wheat and products,Wheat and products,24.44933326,204,226
Venezuela (Bolivarian Republic of),16,Poultry Meat,m,animals,Wheat and products,Wheat and products,28.77761309,205,227
Viet Nam,29,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),"Roots, Other",30.78698857,206,228
Western Africa,8,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,21.94081563,207,229
Western Asia,35,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),27.40250656,208,230
Western Europe,24,Milk - Excluding Butter,m,animals,Wheat and products,Rice (Milled Equivalent),41.36396709,209,231
World,16,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,30.97581526,210,233
Yemen,27,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,21.79039567,211,234
Zambia,26,Maize and products,v,Maize and products,Maize and products,Rice (Milled Equivalent),20.4147837,212,235
Zimbabwe,23,Maize and products,v,Maize and products,Maize and products,Wheat and products,22.04313229,213,236
