Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"FBS","Food Balance Sheets","4","Algeria","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","252","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","21","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","15","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","18","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
