"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","BFP","EAR_1","EAR_2","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"157","IRN",273,"Iran (Islamic Republic of)",0.620818996458053,0.494483141320715,3.98524651626788,4.05569784092427,3.89345219397874,3.9240522451867,3.86188614221737,3.96390351863513,3.99450356984309,3.93233746687376,1.6855827393594,37.635972819553,38.5914209635475,40.2770037029069,0.320513105114425,0.375089091059656,0.356550619333108,0.39451954944877,0.0545759859452306,0.0360375142186835,0.0740064443343452,75424000,"Iran (Islamic Republic of)",4116339.16393307,2718093.47242998,5581862.05747365
"158","IRQ",274,"Iraq",0.578626199807849,NA,3.70088817013999,NA,3.61306171459948,3.65232785805923,3.57219050158469,NA,NA,NA,2.68574995570448,34.6762389919354,33.262153550393,35.9479035060975,0.418651693988683,0.478643049079023,0.451678983309237,0.506811761193586,0.05999135509034,0.0330272893205539,0.0881600672049031,31837000,"Iraq",1909944.77201115,1051489.81009847,2806752.0596025
"159","ISL",275,"Iceland",NA,0.428936867281207,NA,3.84300399892707,NA,NA,NA,3.76181754434916,3.78418935107889,3.73893376427275,1.34227176650381,37.8878840116859,41.7499339385433,43.0922057050471,NA,NA,NA,NA,NA,NA,NA,322000,"Iceland",NA,NA,NA
"160","ISR",276,"Israel",0.626186096406919,0.428936867281207,3.93100886798207,4.03506996359222,3.85447058108387,3.88264081733226,3.82548372261779,3.95853167669403,3.98670191294242,3.92954481822795,1.77695233318843,36.8489579874789,39.3721433563559,41.1490956895443,0.366385019591947,0.413241755238574,0.395812598074446,0.431356106011946,0.0468567356466274,0.0294275784824987,0.0649710864199994,7542000,"Israel",353393.500246864,221942.796915005,490011.933779636
"161","ITA",277,"Italy",0.607817620134975,0.428936867281207,3.93089397343788,4.02362168505465,3.83969359841291,3.86904620225253,3.80945329733638,3.93242131002968,3.9617739138693,3.90218100895314,0.805573049335211,38.8104652175593,41.7509290105585,42.5565020598937,0.383522504399187,0.44188304559753,0.422896692124622,0.461583790062453,0.0583605411983437,0.0393741877254352,0.0780612856632664,60729000,"Italy",3544177.30643422,2391155.04637795,4740583.8170445
"162","JAM",278,"Jamaica",0.66377561674112,0.460304637208337,3.56124439498496,3.67560325015724,3.4759170106063,3.49928935287894,3.45198530218091,3.59027586577858,3.61364820805122,3.56634415735319,1.66630760734294,36.7669754288782,37.9299702908174,39.5962778981603,0.570247250221805,0.620027196353229,0.606551039725258,0.633676338065937,0.049779946131424,0.0363037895034524,0.0634290878441311,2755000,"Jamaica",137143.751592073,100016.940082011,174747.137010581
"163","JEY",279,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","JOR",280,"Jordan",0.604380738674086,0.475750399065234,3.80570956978951,3.87517838732426,3.72547251725264,3.76161149693773,3.68797838487015,3.79494133478739,3.83108031447249,3.7574472024049,1.08594339111632,34.4197105958275,36.2224752517738,37.3084186428901,0.378826334272546,0.430223337082318,0.406871284518773,0.454710725237724,0.0513970028097721,0.0280449502462274,0.0758843909651781,6731000,"Jordan",345953.225912576,188770.560107357,510777.835586614
"165","JPN",281,"Japan",0.54591692681258,0.426991284213103,3.67848620169644,3.73633806878971,3.61128286011461,3.62780025707512,3.59448805019892,3.66913472720787,3.68565212416839,3.65233991729218,0.73406862802573,38.9470086465479,36.5901605001427,37.3242291281685,0.457081772823248,0.506108913632079,0.494038878363876,0.518375871906356,0.049027140808831,0.0369571055406285,0.0612940990831085,127319000,"Japan",6242086.54063956,4705341.72032728,7803903.40116229
"166","KAS",282,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","KAZ",283,"Kazakhstan",0.568580359782409,0.445006573545981,3.66999069687788,3.73261708439346,3.57373816413661,3.60008470710913,3.54667865426841,3.63636455165219,3.66271109462471,3.60930504178399,0.793334784810891,36.3106892189506,37.2726084635812,38.0659432483921,0.4784904553874,0.545913424488407,0.527507466896949,0.564714992138799,0.067422969101007,0.0490170115095493,0.0862245367513997,16098000,"Kazakhstan",1085374.95658801,789075.851280725,1388042.59262403
"168","KEN",284,"Kenya",0.677007926700436,0.477422316242137,3.6260524700769,3.74125630246151,3.56953050722139,3.61789433506416,3.51870821529598,3.684734339606,3.73309816744876,3.63391204768059,1.96657084241169,33.4828700692933,29.6586192706351,31.6251901130468,0.399668758574273,0.432223271493427,0.40433030461457,0.461900186504878,0.0325545129191543,0.00466154604029706,0.0622314279306048,42028000,"Kenya",1368201.06896622,195915.456981605,2615462.45306746
