"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","EAR_1","EAR_2_BFP","Def_amb_HHS_EAR2","Def_amb_SOFI_EAR2","Def_CO2_HHS_EAR2","Def_CO2_SOFI_EAR2","Def_CO2u_HHS_EAR2","Def_CO2u_SOFI_EAR2","Def_CO2l_HHS_EAR2","Def_CO2l_SOFI_EAR2","Difference_HHS2","Difference_SOFI2","DifferenceCIu_HHS2","DifferenceCIu_SOFI2","DifferenceCIl_HHS2","DifferenceCIl_SOFI2","pop","country.y","People_already_deficient_HHS2","People_made_deficient_HHS2","People_made_deficient_SOFI2","People_made_deficientCIu_HHS2","People_made_deficientCIu_SOFI2","People_made_deficientCIl_HHS2","People_made_deficientCIl_SOFI2"
"50","CHE",170,"Switzerland",0.594429733306791,0.428936867281207,3.98220972944008,4.06688966530316,3.9371218472806,3.95446781637086,3.91946967636631,4.02180178314368,4.03914775223394,4.00414961222939,38.2180981745383,42.9169443375203,0.35381030387048,0.236632956026257,0.382392601432231,0.270249058837918,0.371310744560256,0.257039542797283,0.393769790161215,0.284031476151707,0.0285822975617516,0.0336161028116609,0.0175004406897768,0.0204065867710261,0.0399594862907355,0.0473985201254501,7915000,"Switzerland",2800408.55513485,226228.885201264,266071.453754296,138515.988059583,161518.134292672,316279.333991171,375159.286792937
"51","CHI",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1227977092848,43.7597187812898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","CHL",172,"Chile",0.704172098556409,0.441298172206176,4.00056606985669,4.1511232036531,3.96087202911931,3.98055634601803,3.94079244633087,4.11142916291572,4.13111347981445,4.09134958012728,36.9344317531729,41.0424780473313,0.34233758856892,0.161291810152042,0.363273684486686,0.184269289234816,0.352835721032399,0.172630901132119,0.37402683987675,0.196632006295701,0.0209360959177656,0.0229774790827746,0.0104981324634788,0.011339090980077,0.0316892513078302,0.0353401961436598,17308000,"Chile",5925178.98295087,362361.948144687,397694.207964662,181701.676677891,196256.986683173,548477.561635925,611668.114854464
"53","CHN",175,"China, mainland",0.643056948610437,0.524744149811262,4.22405567926523,4.29313858746274,4.16322132224081,4.17645792282694,4.14980716113467,4.23230423043832,4.24554083102445,4.21889006933218,19.068577615549,18.8247474638239,0.0225186107993869,0.00482866215732367,0.0280856140862531,0.00671925319661917,0.0267855379238735,0.00625967756577619,0.0294563108779308,0.00721516555619165,0.0055670032868662,0.0018905910392955,0.00426692712448665,0.00143101540845252,0.00693770007854388,0.00238650339886798,1399292000,"China",31510111.9426957,7789863.16328558,2645488.91655788,5970676.98987718,2002408.41292435,9707868.21830582,3339415.11400877
"54","CHN",175,"China, mainland",0.643056948610437,0.524744149811262,4.22405567926523,4.29313858746274,4.16322132224081,4.17645792282694,4.14980716113467,4.23230423043832,4.24554083102445,4.21889006933218,19.068577615549,18.8247474638239,0.0225186107993869,0.00482866215732367,0.0280856140862531,0.00671925319661917,0.0267855379238735,0.00625967756577619,0.0294563108779308,0.00721516555619165,0.0055670032868662,0.0018905910392955,0.00426692712448665,0.00143101540845252,0.00693770007854388,0.00238650339886798,1368440000,"China, mainland",30815367.762313,7618109.97787919,2587160.40181354,5839033.75423252,1958258.72554277,9493826.29548259,3265786.7111469
"55","CHN",176,"China",0.643056948610437,0.524744149811262,4.24758617667542,4.31666908487294,4.18822486815953,4.20117187296992,4.17510803727321,4.25730777635704,4.27025478116743,4.24419094547072,19.068577615549,18.8247474638239,0.0206304695932566,0.00423539004676377,0.0256723737136079,0.00587472928667051,0.0244925874971662,0.00547557034481702,0.0269157777100785,0.00630523606898424,0.00504190412035131,0.00163933923990674,0.0038621179039096,0.00124018029805325,0.00628530811682188,0.00206984602222047,1399292000,"China",28868051.0580872,7055096.10037462,2293914.28368759,5404230.68599747,1735374.36962353,8794981.36540392,2896318.98012492
"56","CHN",176,"China",0.643056948610437,0.524744149811262,4.24758617667542,4.31666908487294,4.18822486815953,4.20117187296992,4.17510803727321,4.25730777635704,4.27025478116743,4.24419094547072,19.068577615549,18.8247474638239,0.0206304695932566,0.00423539004676377,0.0256723737136079,0.00587472928667051,0.0244925874971662,0.00547557034481702,0.0269157777100785,0.00630523606898424,0.00504190412035131,0.00163933923990674,0.0038621179039096,0.00124018029805325,0.00628530811682188,0.00206984602222047,1368440000,"China, mainland",28231559.810196,6899543.27445354,2243337.38945798,5285076.62442606,1697112.32706799,8601067.03938373,2832460.09064738
"57","CHN",173,"China, mainland",0.643056948610437,0.524744149811262,4.22405567926523,4.29313858746274,4.16322132224081,4.17645792282694,4.14980716113467,4.23230423043832,4.24554083102445,4.21889006933218,19.068577615549,18.8247474638239,0.0225186107993869,0.00482866215732367,0.0280856140862531,0.00671925319661917,0.0267855379238735,0.00625967756577619,0.0294563108779308,0.00721516555619165,0.0055670032868662,0.0018905910392955,0.00426692712448665,0.00143101540845252,0.00693770007854388,0.00238650339886798,1399292000,"China",31510111.9426957,7789863.16328558,2645488.91655788,5970676.98987718,2002408.41292435,9707868.21830582,3339415.11400877
"58","CHN",173,"China, mainland",0.643056948610437,0.524744149811262,4.22405567926523,4.29313858746274,4.16322132224081,4.17645792282694,4.14980716113467,4.23230423043832,4.24554083102445,4.21889006933218,19.068577615549,18.8247474638239,0.0225186107993869,0.00482866215732367,0.0280856140862531,0.00671925319661917,0.0267855379238735,0.00625967756577619,0.0294563108779308,0.00721516555619165,0.0055670032868662,0.0018905910392955,0.00426692712448665,0.00143101540845252,0.00693770007854388,0.00238650339886798,1368440000,"China, mainland",30815367.762313,7618109.97787919,2587160.40181354,5839033.75423252,1958258.72554277,9493826.29548259,3265786.7111469
"59","CHN",174,"China",0.643056948610437,0.524744149811262,4.24758617667542,4.31666908487294,4.18822486815953,4.20117187296992,4.17510803727321,4.25730777635704,4.27025478116743,4.24419094547072,19.068577615549,18.8247474638239,0.0206304695932566,0.00423539004676377,0.0256723737136079,0.00587472928667051,0.0244925874971662,0.00547557034481702,0.0269157777100785,0.00630523606898424,0.00504190412035131,0.00163933923990674,0.0038621179039096,0.00124018029805325,0.00628530811682188,0.00206984602222047,1399292000,"China",28868051.0580872,7055096.10037462,2293914.28368759,5404230.68599747,1735374.36962353,8794981.36540392,2896318.98012492
"60","CHN",174,"China",0.643056948610437,0.524744149811262,4.24758617667542,4.31666908487294,4.18822486815953,4.20117187296992,4.17510803727321,4.25730777635704,4.27025478116743,4.24419094547072,19.068577615549,18.8247474638239,0.0206304695932566,0.00423539004676377,0.0256723737136079,0.00587472928667051,0.0244925874971662,0.00547557034481702,0.0269157777100785,0.00630523606898424,0.00504190412035131,0.00163933923990674,0.0038621179039096,0.00124018029805325,0.00628530811682188,0.00206984602222047,1368440000,"China, mainland",28231559.810196,6899543.27445354,2243337.38945798,5285076.62442606,1697112.32706799,8601067.03938373,2832460.09064738
"61","CIV",178,"CÃ´te d'Ivoire",0.639731573022418,0.564317048403231,3.72719738996346,3.77259876716506,3.67595358279289,3.69279302643218,3.65882570834474,3.72135495999449,3.73819440363378,3.70422708554634,33.7450751612712,32.8036292543463,0.355715965908035,0.308599251946827,0.385972535740221,0.341263243885348,0.375942707614503,0.330382090238705,0.396252911766818,0.352467788479843,0.0302565698321854,0.0326639919385217,0.0202267417064675,0.021782838291878,0.0405369458587827,0.043868536533016,19390000,"Côte d'Ivoire",6897332.5789568,586674.889046075,633354.803687935,392196.521688406,422369.234479515,786011.380201797,850610.92337518
"62","CIV",177,"CÃ´te d'Ivoire",0.639731573022418,0.564317048403231,3.72719738996346,3.77259876716506,3.67595358279289,3.69279302643218,3.65882570834474,3.72135495999449,3.73819440363378,3.70422708554634,33.7450751612712,32.8036292543463,0.355715965908035,0.308599251946827,0.385972535740221,0.341263243885348,0.375942707614503,0.330382090238705,0.396252911766818,0.352467788479843,0.0302565698321854,0.0326639919385217,0.0202267417064675,0.021782838291878,0.0405369458587827,0.043868536533016,19390000,"Côte d'Ivoire",6897332.5789568,586674.889046075,633354.803687935,392196.521688406,422369.234479515,786011.380201797,850610.92337518
"63","CLA",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CME",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CMR",181,"Cameroon",0.624491121365301,0.476587423862346,3.97939268956359,4.06081948360376,3.93977685866473,3.96188573108102,3.91716811152085,4.02120365270491,4.04331252512119,3.99859490556102,32.7190979354377,33.6210829557606,0.228623333539814,0.126116076554523,0.248267664124806,0.144158582681797,0.237195080222017,0.13388545918299,0.25986950088152,0.155200323886146,0.0196443305849919,0.0180425061272746,0.00857174668220337,0.00776938262846713,0.031246167341706,0.0290842473316228,21156000,"Cameroon",4836755.2443683,415595.457856088,381707.259628621,181343.872808694,164369.058887851,661043.916281132,615306.336547812
"66","COD",182,"Democratic Republic of the Congo",0.657247233587957,NA,2.97036567013313,NA,2.91947835045883,2.94665324212389,2.89154430614455,NA,NA,NA,33.0954746496774,30.7882518776182,0.756463141681197,NA,0.780059903735669,NA,0.767625392568342,NA,0.792434399399777,NA,0.0235967620544724,NA,0.0111622508871452,NA,0.0359712577185803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","COG",183,"Congo",0.674802175239916,0.500758143565517,3.70414664487006,3.80644627355073,3.65889609156479,3.67038058962743,3.64727816597468,3.76119572024546,3.7726802183081,3.74957779465535,32.900249834907,31.3233023081451,0.350126665549962,0.234817961535859,0.37527242799947,0.263462346135133,0.368835148118169,0.256027347660444,0.381820024726637,0.271094284919227,0.0251457624495079,0.028644384599274,0.0187084825682065,0.0212093861245853,0.0316933591766742,0.0362763233833685,4225000,"Congo",1479285.16194859,106240.846349171,121022.524931932,79043.3388506725,89609.6563763729,133904.442521449,153267.466294732
"68","COL",184,"Colombia",0.728532115447865,0.499980204875923,3.56326187486962,3.70365129385521,3.52259330576726,3.54167923551014,3.50313600383416,3.66298272475285,3.68206865449572,3.64352542281975,35.6307661596912,37.2627445784584,0.529943011853001,0.431985556682152,0.552092263529743,0.464151169964868,0.541713477813258,0.449013417759195,0.56263636581255,0.479636933682882,0.0221492516767418,0.0321656132827168,0.0117704659602572,0.0170278610770432,0.0326933539595491,0.0476513770007302,47079000,"Colombia",24949187.0550274,1042764.61968933,1514324.90773703,554141.766942949,801654.671646119,1539170.41106161,2243379.17781738
"69","COM",185,"Comoros",0.783065481764489,0.487279033013975,3.54142190108671,3.72929724744472,3.49123353293644,3.51045704651632,3.47163322065644,3.67910887929445,3.69833239287433,3.65950856701444,33.4209898576276,33.1029008169428,0.478714087219964,0.318697342805953,0.504272973374015,0.356307108153011,0.494479577318836,0.341710944885481,0.514255638556623,0.371409182955149,0.025558886154051,0.0376097653470582,0.0157654900988716,0.0230136020795277,0.0355415513366586,0.0527118401491959,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CPV",186,"Cabo Verde",0.694553074493982,0.468119140728801,3.86967187752879,4.00130609921498,3.82420642010786,3.84556845166924,3.80237807257786,3.95584064179405,3.97720267335542,3.93401229426405,35.580538348621,35.580538348621,0.334008870799135,0.179435885017947,0.358149276309261,0.20599595325212,0.346729013539706,0.19323765107606,0.369951348775346,0.219535345109307,0.0241404055101257,0.0265600682341731,0.0127201427405709,0.0138017660581128,0.0359424779762104,0.0400994600913593,491000,"Cabo Verde",163998.355562376,11852.9391054717,13040.993502979,6245.5900856203,6776.66713453339,17647.7566863193,19688.8349048574
"71","CRI",187,"Costa Rica",0.695860460145859,0.443157775521755,3.72818102355492,3.87209750654943,3.67965153148554,3.69574555743478,3.6632942451706,3.82356801448005,3.83966204042929,3.8072107281651,36.5580143557055,39.1665846468494,0.465440154785193,0.322417255903638,0.493219481351221,0.362628550816787,0.483996617541724,0.349097467112475,0.502596897555081,0.376558957151251,0.0277793265660283,0.0402112949131488,0.0185564627565314,0.0266802112088367,0.037156742769888,0.0541417012476133,4738000,"Costa Rica",2205255.45337224,131618.449269842,190521.115298499,87920.520540446,126410.840707468,176048.647243729,256523.380511192
"72","CSA",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CSS",189,"Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37011000,"Caribbean",NA,NA,NA,NA,NA,NA,NA
"74","CUB",190,"Cuba",NA,0.445006573545981,NA,4.16366445179175,NA,NA,NA,4.1156850174336,4.13416077731959,4.09686146809041,37.8972759798175,41.400624979726,NA,0.161190345691268,NA,0.188953276492977,NA,0.177931162398848,NA,0.200605441178992,NA,0.0277629308017089,NA,0.0167408167075799,NA,0.0394150954877243,11276000,"Cuba",NA,NA,313054.80772007,NA,188769.449194671,NA,444444.616719579
"75","CUW",191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4884536792758,40.4388045077184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","CYM",192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","CYP",193,"Cyprus",NA,0.429905148832323,NA,3.96803379205015,NA,NA,NA,3.93012801652143,3.9454037640579,3.91461529590162,37.7571664847699,44.1581729132346,NA,0.337501392057078,NA,0.370277101104536,NA,0.356939173400336,NA,0.38398339072163,NA,0.032775709047458,NA,0.0194377813432585,NA,0.046481998664552,1117000,"Cyprus",NA,NA,36610.4670060106,NA,21712.0017604197,NA,51920.3925083046
"78","CZE",194,"Czech Republic",0.551105656221467,0.428936867281207,4.00702436120002,4.06688966530316,3.96439116536482,3.98256288097572,3.94588311734255,4.02425646946796,4.04242818507886,4.00574842144569,38.2854629604104,43.566171007758,0.336395422648906,0.247565106273424,0.365061673257747,0.280020950739855,0.352739568696656,0.265938336243576,0.377756648360304,0.294725898643627,0.0286662506088409,0.0324558444664308,0.0163441460477505,0.018373229970152,0.0413612257113986,0.0471607923702031,10611000,"Czech Republic",3569491.82972754,304177.585210411,344388.965633297,173427.733712681,194958.343213283,438883.966023651,500423.167840225
"79","DEU",195,"Germany",0.564585129731352,0.427965586347602,4.13108125679151,4.19888216959947,4.0874881037797,4.1035395271345,4.07117482334036,4.15528901658766,4.17134043994246,4.13897573614832,38.5070328680527,44.4150450576413,0.274990240373636,0.17180718856277,0.301330857246876,0.199003348948394,0.291500277940567,0.18870111549223,0.311471949157789,0.209813558256342,0.0263406168732401,0.0271961603856235,0.0165100375669313,0.0168939269294595,0.0364817087841533,0.0380063696935716,82893000,"Germany",22794765.9952918,2183452.75447349,2254371.32284549,1368566.54403563,1400388.28496369,3024078.28624482,3150462.00300923
"80","DJI",196,"Djibouti",0.630641895511421,0.512215056853556,3.80847858504535,3.87615105299873,3.73916091811283,3.7753343612442,3.70162968754236,3.80683338606621,3.84300682919757,3.76930215549573,35.1500576001549,35.1500576001549,0.346568450409525,0.268303182854083,0.387942515126669,0.314681471818571,0.366158396013342,0.29004772608714,0.410922406287918,0.341140937278278,0.0413740647171442,0.0463782889644879,0.019589945603817,0.0217445432330574,0.0643539558783933,0.0728377544241957,847000,"Djibouti",293543.477496868,35043.8328154211,39282.4107529213,16592.683926433,18417.6281183996,54507.8006289991,61693.5779972938
"81","DMA",197,"Dominica",NA,0.460304637208337,NA,4.05294290384192,NA,NA,NA,4.00175256803432,4.01655079954919,3.98673205537841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71000,"Dominica",NA,NA,NA,NA,NA,NA,NA
"82","DNK",198,"Denmark",0.545117677732751,0.427965586347602,4.18215669899796,4.23915606873741,4.13930743399573,4.15286212376905,4.12556648705857,4.19630680373518,4.2098614935085,4.18256585679802,37.6217985201742,40.6185840053489,0.190311680096191,0.105661130928818,0.212393819499644,0.125110106693073,0.205251608306492,0.118704647744981,0.219780284390337,0.131846061501061,0.0220821394034538,0.0194489757642546,0.0149399282103018,0.0130435168161622,0.0294686042941465,0.0261849305722422,5575000,"Denmark",1060987.61653626,123107.927174255,108428.03988572,83290.0997724324,72717.6062501041,164287.468939867,145980.98794025
"83","DOM",199,"Dominican Republic",0.674067850030109,0.466398769861772,3.68483927220604,3.80325909916386,3.63447477189514,3.64857421116515,3.62017369202991,3.75289459885296,3.76699403812297,3.73859351898773,35.115064271076,37.4507589008065,0.46346803589986,0.34958780924319,0.493225027699181,0.390334386618421,0.484883667777251,0.378783220298709,0.501688689749985,0.40215044233498,0.0297569917993219,0.0407465773752309,0.0214156318773919,0.0291954110555188,0.0382206538501256,0.0525626330917897,10148000,"Dominican Republic",4703273.62831177,301973.952779519,413496.267203843,217325.832291773,296275.031391404,387863.195271075,533405.600615482
"84","DZA",200,"Algeria",0.603809167372676,0.494483141320715,4.09437336371441,4.15440933049085,4.01483273179985,4.04728638133721,3.98129041284608,4.0748686985763,4.10732234811365,4.04132637962253,36.0267029125094,36.8575933649898,0.20981525278985,0.134166710550162,0.249732733696199,0.172060890412384,0.232976599587607,0.155844580695996,0.267701368922885,0.189912314829515,0.0399174809063482,0.0378941798622217,0.0231613467977567,0.0216778701458339,0.0578861161330346,0.0557456042793525,37763000,"Algeria",7923253.39110312,1507403.83146643,1430997.91413708,874641.939123688,818621.410317127,2185953.40353178,2105121.25440119
"85","EAP",201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","EAS",202,"Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1602729000,"Eastern Asia",NA,NA,NA,NA,NA,NA,NA
"87","Eastern Africa",203,"Eastern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324769000,"Eastern Africa",NA,NA,NA,NA,NA,NA,NA
"88","Eastern Europe",204,"Eastern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295628000,"Eastern Europe",NA,NA,NA,NA,NA,NA,NA
"89","ECA",205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","ECS",206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","ECU",207,"Ecuador",0.686737596695488,0.454093416142425,3.57085822641277,3.70356207447837,3.52292013811461,3.53495246215726,3.51074127222155,3.65562398618021,3.66765631022286,3.64344512028715,35.1742238162779,37.5315436664859,0.531524948594285,0.431479630759601,0.559187393430671,0.473275087731047,0.552265926032525,0.462738451692086,0.566174783745182,0.483959095309757,0.0276624448363865,0.0417954569714464,0.0207409774382403,0.0312588209324848,0.0346498351508968,0.0524794645501563,15246000,"Ecuador",8103629.36626847,421741.633975548,637213.536986672,316216.942023412,476571.983936664,528271.386710573,800101.916531683
"92","EGY",208,"Egypt",0.578126581999125,0.503851886924174,4.37617960986301,4.41636142029148,4.31346002600167,4.34221210615883,4.28385672910524,4.35364183643014,4.3823939165873,4.32403853953371,35.5597092386758,40.2213069195421,0.119140039200207,0.0759445776380818,0.142127659369612,0.0953671039851117,0.131241391500485,0.0860519391019634,0.153958286743251,0.105712572098682,0.022987620169405,0.0194225263470299,0.0121013523002786,0.0101073614638816,0.0348182475430443,0.0297679944606003,79392000,"Egypt",9458765.99218282,1825033.1404894,1541993.2117434,960750.561823719,802443.641340484,2764290.30893738,2363340.61621598
"93","EMU",209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","ERI",210,"Eritrea",NA,0.484842368383255,NA,3.72834714183386,NA,NA,NA,3.69304668851196,3.71799504130003,3.66745995490933,33.396203580584,30.3422884738956,NA,0.257408514804232,NA,0.281447303961438,NA,0.264345976058004,NA,0.299522588581648,NA,0.024038789157206,NA,0.00693746125377209,NA,0.0421140737774158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ESEASP",211,"ESEASP",0.59721060049329,0.502508201767343,3.90764018274478,3.95971318699383,3.85752117052429,3.87411528550491,3.84064703770962,3.90959417477334,3.92618828975396,3.89272004195868,76.3538209173081,70.1410896701494,0.717055593786952,0.718600228049107,0.744743326398342,0.751249170712022,0.7357353137518,0.740667092284634,0.753735970832428,0.761769397965895,0.0276877326113891,0.0326489426629157,0.0186797199648472,0.0220668642355278,0.0366803770454753,0.0431691699167885,616053000,"ESEASP",441744249.719233,17057110.7384441,20113479.0743172,11507697.523504,13594357.9128896,22597056.3199962,26594496.6347473
"96","ESP",212,"Spain",0.599988821410344,0.432792211465264,4.22672595435557,4.31306469811176,4.19078173544318,4.2048034144508,4.17656064962152,4.27712047919937,4.29114215820699,4.26289939337771,38.0812580843334,42.8511106880665,0.217203716171841,0.099721461511115,0.235219875824953,0.115052504399972,0.228095469816495,0.108883688069714,0.242569373278317,0.121558854176077,0.0180161596531125,0.0153310428888571,0.0108917536446541,0.00916222655859877,0.025365657106476,0.0218373926649616,46514000,"Spain",10103013.654017,838003.650104874,713108.128932299,506619.029027441,426171.806146663,1179858.17465062,1015744.48241803
"97","EST",213,"Estonia",0.607645473022924,0.464669243895559,4.02007610894834,4.09673386627973,3.96535601839254,3.98600903670056,3.94426744151175,4.04201377572393,4.06266679403196,4.02092519884314,38.0621198775382,40.6657041530245,0.302268940790594,0.199835392355582,0.334386267613885,0.234395380835539,0.322104544491901,0.220977919839412,0.347112530279648,0.248548685700907,0.0321173268232914,0.0345599884799569,0.0198356037013072,0.0211425274838304,0.0448435894890543,0.0487132933453251,1294000,"Estonia",391136.009383028,41559.820909339,44720.6250930643,25667.2711894915,27358.4305640766,58027.6047988363,63035.0015888507
"98","ETH",214,"Ethiopia",0.593977449947511,0.575101349252658,3.8309285797094,3.84196240427636,3.7882170811077,3.81574517037079,3.75990969293248,3.79925090567466,3.82677899493775,3.77094351749944,33.2172495737416,30.5868778586541,0.244825583017859,0.231862991346358,0.267972625150402,0.255122087650141,0.252928839394754,0.239993324627382,0.283898557673017,0.271184020515228,0.0231470421325433,0.0232590963037831,0.00810325637689555,0.00813033328102414,0.0390729746551584,0.0393210291688708,89393000,"Ethiopia",21885693.3427154,2069183.53735445,2079200.39588408,724374.397299823,726794.882990591,3492850.42334858,3515024.76049287
"99","Europe",215,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741012000,"Europe",NA,NA,NA,NA,NA,NA,NA
"100","EUU",216,"European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507399000,"European Union",NA,NA,NA,NA,NA,NA,NA
"101","EUU",217,"European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507399000,"European Union",NA,NA,NA,NA,NA,NA,NA
"102","FCS",218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","FIN",219,"Finland",0.556815831235897,0.427965586347602,4.21442591750956,4.2778705809181,4.16944058462025,4.18440210656082,4.15425181120957,4.23288524802879,4.24784676996936,4.21769647461811,37.9079533095019,43.0049374328487,0.207893010643199,0.11371553877945,0.231790361686858,0.135255096270194,0.223677137540114,0.127800908903651,0.240191859024738,0.143121937528894,0.023897351043659,0.0215395574907436,0.0157841268969157,0.0140853701242002,0.0322988483815396,0.029406398749444,5389000,"Finland",1120335.4343562,128782.824774278,116076.675317617,85060.6598474785,75906.0595993149,174058.493928117,158471.082860754
"104","FJI",220,"Fiji",0.647646649767822,0.462930451198671,3.97993165054868,4.08250244070292,3.93816863506811,3.95953787196355,3.91633276412928,4.04073942522235,4.06210866211779,4.01890355428351,35.8928725621054,38.3268746467969,0.303145812004545,0.17294671630389,0.326034471708355,0.197004347650143,0.314233724107453,0.184451284325889,0.338275523957268,0.210351753772485,0.0228886597038095,0.0240576313462539,0.0110879121029072,0.011504568021999,0.0351297119527231,0.0374050374685951,868000,"Fiji",263130.564819945,19867.3566229066,20882.0240085483,9624.30770532342,9985.96504309516,30492.5899749636,32467.5725227405
"105","FRA",221,"France",0.589129944626248,0.428936867281207,4.22091210884478,4.30245573661593,4.17989078494568,4.19678255314792,4.16270877519778,4.26143441271683,4.27832618091907,4.24425240296894,37.5240649600154,40.0180649077624,0.183444622951613,0.0764438443559747,0.202511135142218,0.0911395034645917,0.194520549589076,0.0848526618341546,0.210837068248355,0.0978821953030248,0.0190665121906046,0.014695659108617,0.0110759266374626,0.00840881747817998,0.027392445296742,0.0214383509470502,63582000,"France",11663776.0165095,1212286.97810302,934379.397444085,704229.567463147,534649.43289764,1741666.45685745,1363093.22991534
"106","FRO",222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","FSM",223,"Micronesia",0.762043020194141,NA,3.97232509472801,NA,3.93658027608597,3.94745864262807,3.92558226798773,NA,NA,NA,34.6419139079202,42.9614209481348,0.390418236165259,NA,0.408532106661094,NA,0.402996782177132,NA,0.414146917048538,NA,0.0181138704958352,NA,0.0125785460118738,NA,0.0237286808832796,NA,99000,"Micronesia",38651.4053803606,1793.27317908768,NA,1245.27605517551,NA,2349.13940744468,NA
"108","GAB",224,"Gabon",0.639435182046081,0.442229333653903,4.12629466426718,4.23294994851434,4.0894284357185,4.10126338924687,4.07745173684122,4.19608371996567,4.20791867349404,4.18410702108838,33.6320565556111,33.9682382957485,0.173689141437794,0.0548100541944872,0.188879657079189,0.0646916244617346,0.183916262037518,0.0613789407728698,0.193985660076415,0.0681836757598365,0.0151905156413948,0.00988157026724733,0.010227120599724,0.0065688865783826,0.0202965186386211,0.0133736215653493,1594000,"Gabon",276860.491451844,24213.6819323833,15751.2230059923,16302.0302359601,10470.8052059419,32352.6507099621,21317.5527751667
