"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","EAR_1","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_already_deficient_HHS2","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"1","ABW",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8716555844481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG",122,"Afghanistan",0.56191441287324,NA,3.77395172902699,NA,3.70139195793992,3.73974528797892,3.6615087802267,NA,NA,NA,16.6860525677646,16.0186600447068,0.0375394688422376,0.0493843758937003,0.0427974465247689,0.0570677575957757,0.0118449070514627,0.00525797768253123,0.019528288753538,29105000,"Afghanistan",1092586.24065333,344746.019732821,153033.440450071,568370.844171724
"3","AFRICA",123,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971211000,"Africa",NA,NA,NA,NA
"4","AGO",124,"Angola",0.646631620863716,0.5189060482667,3.72275940617391,3.79719388926044,3.67711979913873,3.70173101900403,3.65188755072292,3.75155428222526,3.77616550209057,3.72632203380946,16.9070712556438,16.632178998579,0.0793453263703561,0.0903002530435569,0.0842609138396908,0.0968197976012126,0.0109549266732008,0.00491558746933476,0.0174744712308565,20180000,"Angola",1601188.68615379,221070.420265192,99196.5551311756,352634.829438684
"5","ALB",125,"Albania",0.599135713292891,0.500758143565517,4.02521081791948,4.07931326021737,3.957676028564,3.9847607808614,3.92983722170001,4.0117784708619,4.03886322315929,3.98393966399791,18.5098795771893,20.5132403166859,0.0468709245745491,0.0589956111981837,0.0538664305208133,0.0646590940936353,0.0121246866236346,0.00699550594626428,0.0177881695190862,3154000,"Albania",147830.896108128,38241.2616109436,22063.8257545175,56103.886663198
"6","Americas",126,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947289000,"Americas",NA,NA,NA,NA
"7","AND",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ANR",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ANT",129,NA,NA,0.457657321783676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ARB",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
